# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.823417592706316870e-01;4.542742561893536868e-02;3.133826644182269305e-03;-2.229156829888269797e+00;-3.118315325839113696e-04;8.000000000000000000e+00
3.823417592706316870e-01;2.037976026753952619e-01;-1.193794957763930908e-01;-2.229142653880020752e+00;-1.324672069625653216e-04;8.000000000000000000e+00
3.823417592706316870e-01;3.622071085425130343e-01;-2.418992022866637004e-01;-2.229077655984136541e+00;6.996977044128021660e-06;8.000000000000000000e+00
3.823417592706316870e-01;5.206556981953787133e-01;-3.644251690395076682e-01;-2.228987401309833860e+00;1.075713563137978068e-04;8.000000000000000000e+00
3.823417592706316870e-01;6.791431266090823815e-01;-4.869572721878024923e-01;-2.228893181463016848e+00;1.747605691741795629e-04;8.000000000000000000e+00
3.823417592706316870e-01;8.376691487587153429e-01;-6.094953878844272532e-01;-2.228799252682828858e+00;2.152193422389020948e-04;8.000000000000000000e+00
3.823417592706316870e-01;9.962335196193662368e-01;-7.320393922822594490e-01;-2.228705614443391880e+00;2.356244694726265516e-04;8.000000000000000000e+00
3.823417592706316870e-01;1.154835994166128144e+00;-8.545891615341784098e-01;-2.228612266221496441e+00;2.426621505266370689e-04;8.000000000000000000e+00
3.823417592706316870e-01;1.313476327374089703e+00;-9.771445717930612451e-01;-2.228519207496597598e+00;2.430189729795595075e-04;8.000000000000000000e+00
3.823417592706316870e-01;1.472154274218340886e+00;-1.099705499211786508e+00;-2.228426437750802513e+00;2.422638055583594600e-04;8.000000000000000000e+00
3.823417592706316870e-01;1.630869589673973996e+00;-1.222271819943233417e+00;-2.228333956468862898e+00;2.415099823932168998e-04;8.000000000000000000e+00
3.823417592706316870e-01;1.789622028716078228e+00;-1.344843410140279083e+00;-2.228241763138167020e+00;2.407574966020235537e-04;8.000000000000000000e+00
