# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3823418;0.0454274;0.0031338;5.6248248;-0.0003118;8.0000000
0.3823418;0.2037976;-0.1193795;5.6248390;-0.0001325;8.0000000
0.3823418;0.3622071;-0.2418992;5.6249040;0.0000070;8.0000000
0.3823418;0.5206557;-0.3644252;5.6249942;0.0001076;8.0000000
0.3823418;0.6791431;-0.4869573;5.6250885;0.0001748;8.0000000
0.3823418;0.8376691;-0.6094954;5.6251824;0.0002152;8.0000000
0.3823418;0.9962335;-0.7320394;5.6252760;0.0002356;8.0000000
0.3823418;1.1548360;-0.8545892;5.6253694;0.0002427;8.0000000
0.3823418;1.3134763;-0.9771446;5.6254624;0.0002430;8.0000000
0.3823418;1.4721543;-1.0997055;5.6255552;0.0002423;8.0000000
0.3823418;1.6308696;-1.2222718;5.6256477;0.0002415;8.0000000
0.3823418;1.7896220;-1.3448434;5.6257399;0.0002408;8.0000000
0.3823418;1.9484113;-1.4674201;5.6258318;0.0002400;8.0000000
0.3823418;2.1072373;-1.5900019;5.6259234;0.0002393;8.0000000
0.3823418;2.2660996;-1.7125886;5.6260147;0.0002385;8.0000000
0.3823418;2.4249981;-1.8351800;5.6261058;0.0002378;8.0000000
0.3823418;2.5839325;-1.9577761;5.6261965;0.0002370;8.0000000
0.3823418;2.7429025;-2.0803767;5.6262870;0.0002363;8.0000000
0.3823418;2.9019080;-2.2029817;5.6263772;0.0002355;8.0000000
0.3823418;3.0609486;-2.3255910;5.6264671;0.0002348;8.0000000
0.3823418;3.2200241;-2.4482044;5.6265567;0.0002340;8.0000000
0.3823418;3.3791343;-2.5708219;5.6266461;0.0002333;8.0000000
0.3823418;3.5382789;-2.6934433;5.6267351;0.0002326;8.0000000
0.3823418;3.6974577;-2.8160684;5.6268239;0.0002318;8.0000000
0.3823418;3.8566705;-2.9386973;5.6269124;0.0002311;8.0000000
0.3823418;4.0159169;-3.0613296;5.6270006;0.0002304;8.0000000
0.3823418;4.1751968;-3.1839654;5.6270886;0.0002296;8.0000000
0.3823418;4.3345099;-3.3066044;5.6271762;0.0002289;8.0000000
0.3823418;4.4938560;-3.4292467;5.6272636;0.0002282;8.0000000
0.3823418;4.6532347;-3.5518919;5.6273507;0.0002274;8.0000000
0.3823418;4.8126460;-3.6745401;5.6274375;0.0002267;8.0000000
0.3823418;4.9720894;-3.7971911;5.6275240;0.0002260;8.0000000
0.3823418;5.1315649;-3.9198447;5.6276103;0.0002253;8.0000000
0.3823418;5.2910720;-4.0425009;5.6276963;0.0002245;8.0000000
0.3823418;5.4506107;-4.1651595;5.6277820;0.0002238;8.0000000
0.3823418;5.6101806;-4.2878204;5.6278674;0.0002231;8.0000000
0.3823418;5.7697815;-4.4104835;5.6279526;0.0002224;8.0000000
0.3823418;5.9294131;-4.5331486;5.6280374;0.0002216;8.0000000
0.3823418;6.0890753;-4.6558157;5.6281220;0.0002209;8.0000000
0.3823418;6.2487677;-4.7784845;5.6282064;0.0002202;8.0000000
0.3823418;6.4084901;-4.9011551;5.6282904;0.0002195;8.0000000
0.3823418;6.5682423;-5.0238271;5.6283742;0.0002188;8.0000000
0.3823418;6.7280241;-5.1465007;5.6284577;0.0002181;8.0000000
0.3823418;6.8878351;-5.2691755;5.6285410;0.0002173;8.0000000
0.3823418;7.0476752;-5.3918515;5.6286239;0.0002166;8.0000000
0.3823418;7.2075440;-5.5145285;5.6287066;0.0002159;8.0000000
0.3823418;7.3674414;-5.6372065;5.6287890;0.0002152;8.0000000
0.3823418;7.5273671;-5.7598853;5.6288712;0.0002145;8.0000000
0.3823418;7.6873209;-5.8825648;5.6289530;0.0002138;8.0000000
0.3823418;7.8473024;-6.0052449;5.6290347;0.0002131;8.0000000
0.3823418;8.0073116;-6.1279254;5.6291160;0.0002124;8.0000000
0.3823418;8.1673480;-6.2506062;5.6291971;0.0002117;8.0000000
0.3823418;8.3274116;-6.3732872;5.6292778;0.0002110;8.0000000
0.3823418;8.4875020;-6.4959683;5.6293584;0.0002103;8.0000000
0.3823418;8.6476189;-6.6186493;5.6294386;0.0002096;8.0000000
0.3823418;8.8077622;-6.7413302;5.6295186;0.0002089;8.0000000
0.3823418;8.9679316;-6.8640107;5.6295984;0.0002082;8.0000000
0.3823418;9.1281269;-6.9866908;5.6296778;0.0002075;8.0000000
0.3823418;9.2883477;-7.1093703;5.6297570;0.0002068;8.0000000
0.3823418;9.4485940;-7.2320492;5.6298359;0.0002061;8.0000000
0.3823418;9.6088653;-7.3547273;5.6299146;0.0002054;8.0000000
0.3823418;9.7691615;-7.4774045;5.6299930;0.0002047;8.0000000
0.3823418;9.9294823;-7.6000806;5.6300711;0.0002040;8.0000000
0.3823418;10.0898276;-7.7227555;5.6301490;0.0002033;8.0000000
0.3823418;10.2501969;-7.8454292;5.6302266;0.0002026;8.0000000
0.3823418;10.4105902;-7.9681014;5.6303039;0.0002019;8.0000000
0.3823418;10.5710071;-8.0907721;5.6303810;0.0002012;8.0000000
0.3823418;10.7314474;-8.2134411;5.6304578;0.0002006;8.0000000
0.3823418;10.8919108;-8.3361083;5.6305343;0.0001999;8.0000000
0.3823418;11.0523972;-8.4587736;5.6306106;0.0001992;8.0000000
0.3823418;11.2129062;-8.5814369;5.6306866;0.0001985;8.0000000
0.3823418;11.3734377;-8.7040980;5.6307624;0.0001978;8.0000000
0.3823418;11.5339913;-8.8267569;5.6308379;0.0001971;8.0000000
0.3823418;11.6945669;-8.9494133;5.6309131;0.0001964;8.0000000
0.3823418;11.8551642;-9.0720672;5.6309881;0.0001958;8.0000000
0.3823418;12.0157828;-9.1947184;5.6310628;0.0001951;8.0000000
0.3823418;12.1764227;-9.3173669;5.6311373;0.0001944;8.0000000
0.3823418;12.3370836;-9.4400124;5.6312115;0.0001937;8.0000000
0.3823418;12.4977651;-9.5626549;5.6312854;0.0001930;8.0000000
0.3823418;12.6584672;-9.6852943;5.6313591;0.0001924;8.0000000
0.3823418;12.8191894;-9.8079304;5.6314325;0.0001917;8.0000000
0.3823418;12.9799316;-9.9305631;5.6315057;0.0001910;8.0000000
0.3823418;13.1406935;-10.0531923;5.6315786;0.0001903;8.0000000
0.3823418;13.3014749;-10.1758178;5.6316512;0.0001897;8.0000000
0.3823418;13.4622756;-10.2984395;5.6317236;0.0001890;8.0000000
0.3823418;13.6230952;-10.4210574;5.6317958;0.0001883;8.0000000
0.3823418;13.7839336;-10.5436712;5.6318676;0.0001877;8.0000000
0.3823418;13.9447905;-10.6662809;5.6319392;0.0001870;8.0000000
0.3823418;14.1056656;-10.7888864;5.6320106;0.0001863;8.0000000
0.3823418;14.2665588;-10.9114874;5.6320817;0.0001857;8.0000000
0.3823418;14.4274697;-11.0340839;5.6321526;0.0001850;8.0000000
