# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.563831767698439679e-01;8.931581271771955599e-01;2.907107901659868876e-01;-1.153055147077799880e+00;4.101817406940403907e-03;8.000000000000000000e+00
4.563831767698439679e-01;1.075520214223842697e+00;3.718894951006497807e-01;-1.151065384645334255e+00;3.980501470979148047e-03;8.000000000000000000e+00
4.563831767698439679e-01;1.257606048472487137e+00;4.533777630732385155e-01;-1.149178083583948018e+00;3.789516934270300164e-03;8.000000000000000000e+00
4.563831767698439679e-01;1.439435345381632647e+00;5.351476482305996818e-01;-1.147446384623722393e+00;3.531576968074360938e-03;8.000000000000000000e+00
4.563831767698439679e-01;1.621027820409779885e+00;6.171712047195793138e-01;-1.145881301206955749e+00;3.220955264027451550e-03;8.000000000000000000e+00
4.563831767698439679e-01;1.802403189015433949e+00;6.994204866870258330e-01;-1.144483265321195820e+00;2.874883499868062693e-03;8.000000000000000000e+00
4.563831767698439679e-01;1.983581166657097494e+00;7.818675482797849963e-01;-1.143252672980368034e+00;2.510673529616873085e-03;8.000000000000000000e+00
4.563831767698439679e-01;2.164581468793269181e+00;8.644844436447030045e-01;-1.142189885175793007e+00;2.142817741289324614e-03;8.000000000000000000e+00
4.563831767698439679e-01;2.345423810882458326e+00;9.472432269286285011e-01;-1.141295228712756682e+00;1.774278945483844221e-03;8.000000000000000000e+00
4.563831767698439679e-01;2.526127908383160925e+00;1.030115952278405800e+00;-1.140568996929230305e+00;1.405130486802301255e-03;8.000000000000000000e+00
4.563831767698439679e-01;2.706713476753884073e+00;1.113074673840883877e+00;-1.140011450293719975e+00;1.035444548493263126e-03;8.000000000000000000e+00
4.563831767698439679e-01;2.887200231453131316e+00;1.196091445762909045e+00;-1.139622816879655165e+00;6.652924234234174755e-04;8.000000000000000000e+00
4.563831767698439679e-01;3.067607887939401756e+00;1.279138322191327948e+00;-1.139403292714029625e+00;2.947447895867504161e-04;8.000000000000000000e+00
4.563831767698439679e-01;3.247956161671200270e+00;1.362187357272987231e+00;-1.139353041998451888e+00;-7.612801066400953841e-05;8.000000000000000000e+00
4.563831767698439679e-01;3.428264768107028626e+00;1.445210605154733319e+00;-1.139472197201085057e+00;-4.472556884894453321e-04;8.000000000000000000e+00
4.563831767698439679e-01;3.608553422705391256e+00;1.528180119983413965e+00;-1.139760859018329908e+00;-8.185677243368534887e-04;8.000000000000000000e+00
4.563831767698439679e-01;3.788841840924789484e+00;1.611067955905875593e+00;-1.140219096205492999e+00;-1.189993082450793238e-03;8.000000000000000000e+00
4.563831767698439679e-01;3.969149738223726409e+00;1.693846167068965292e+00;-1.140846945276014379e+00;-1.561459924936393169e-03;8.000000000000000000e+00
4.563831767698439679e-01;4.149496830060704688e+00;1.776486807619528596e+00;-1.141644410069249549e+00;-1.932895326212915200e-03;8.000000000000000000e+00
4.563831767698439679e-01;4.329902831894226090e+00;1.858961931704413706e+00;-1.142611461187128086e+00;-2.304224988724820015e-03;8.000000000000000000e+00
4.563831767698439679e-01;4.510387459182795489e+00;1.941243593470467044e+00;-1.143748035300453880e+00;-2.675372960772405724e-03;8.000000000000000000e+00
4.563831767698439679e-01;4.690970427384917762e+00;2.023303847064537031e+00;-1.145054034325982073e+00;-3.046261357380040252e-03;8.000000000000000000e+00
4.563831767698439679e-01;4.871671451959086241e+00;2.105114746633466094e+00;-1.146529324475810130e+00;-3.416810085121840292e-03;8.000000000000000000e+00
4.563831767698439679e-01;5.052510248363815570e+00;2.186648346324106207e+00;-1.148173735181103439e+00;-3.786936571881502518e-03;8.000000000000000000e+00
4.563831767698439679e-01;5.233506532057598193e+00;2.267876700283300018e+00;-1.149987057892544629e+00;-4.156555502540155468e-03;8.000000000000000000e+00
4.563831767698439679e-01;5.414680018498944314e+00;2.348771862657896836e+00;-1.151969044760432936e+00;-4.525578561640940072e-03;8.000000000000000000e+00
4.563831767698439679e-01;5.596050423146355257e+00;2.429305887594743751e+00;-1.154119407197786717e+00;-4.893914184111463998e-03;8.000000000000000000e+00
4.563831767698439679e-01;5.777637461458329682e+00;2.509450829240685188e+00;-1.156437814330337543e+00;-5.261467315169280137e-03;8.000000000000000000e+00
4.563831767698439679e-01;5.959460848893374241e+00;2.589178741742570455e+00;-1.158923891337809486e+00;-5.628139180591878142e-03;8.000000000000000000e+00
4.563831767698439679e-01;6.141540300909992034e+00;2.668461679247244422e+00;-1.161577217691447617e+00;-5.993827068554810449e-03;8.000000000000000000e+00
4.563831767698439679e-01;6.323895532966680832e+00;2.747271695901555066e+00;-1.164397325293280439e+00;-6.358424124313926014e-03;8.000000000000000000e+00
4.563831767698439679e-01;6.506546260521949065e+00;2.825580845852349032e+00;-1.167383696523244696e+00;-6.721819159024193524e-03;8.000000000000000000e+00
