# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4563832;0.8931581;0.2907108;0.4177412;0.0041018;8.0000000
0.4563832;1.0755202;0.3718895;0.4197309;0.0039805;8.0000000
0.4563832;1.2576060;0.4533778;0.4216182;0.0037895;8.0000000
0.4563832;1.4394353;0.5351476;0.4233499;0.0035316;8.0000000
0.4563832;1.6210278;0.6171712;0.4249150;0.0032210;8.0000000
0.4563832;1.8024032;0.6994205;0.4263131;0.0028749;8.0000000
0.4563832;1.9835812;0.7818675;0.4275437;0.0025107;8.0000000
0.4563832;2.1645815;0.8644844;0.4286064;0.0021428;8.0000000
0.4563832;2.3454238;0.9472432;0.4295011;0.0017743;8.0000000
0.4563832;2.5261279;1.0301160;0.4302273;0.0014051;8.0000000
0.4563832;2.7067135;1.1130747;0.4307849;0.0010354;8.0000000
0.4563832;2.8872002;1.1960914;0.4311735;0.0006653;8.0000000
0.4563832;3.0676079;1.2791383;0.4313930;0.0002947;8.0000000
0.4563832;3.2479562;1.3621874;0.4314433;-0.0000761;8.0000000
0.4563832;3.4282648;1.4452106;0.4313241;-0.0004473;8.0000000
0.4563832;3.6085534;1.5281801;0.4310355;-0.0008186;8.0000000
0.4563832;3.7888418;1.6110680;0.4305772;-0.0011900;8.0000000
0.4563832;3.9691497;1.6938462;0.4299494;-0.0015615;8.0000000
0.4563832;4.1494968;1.7764868;0.4291519;-0.0019329;8.0000000
0.4563832;4.3299028;1.8589619;0.4281849;-0.0023042;8.0000000
0.4563832;4.5103875;1.9412436;0.4270483;-0.0026754;8.0000000
0.4563832;4.6909704;2.0233038;0.4257423;-0.0030463;8.0000000
0.4563832;4.8716715;2.1051147;0.4242670;-0.0034168;8.0000000
0.4563832;5.0525102;2.1866483;0.4226226;-0.0037869;8.0000000
0.4563832;5.2335065;2.2678767;0.4208093;-0.0041566;8.0000000
0.4563832;5.4146800;2.3487719;0.4188273;-0.0045256;8.0000000
0.4563832;5.5960504;2.4293059;0.4166769;-0.0048939;8.0000000
0.4563832;5.7776375;2.5094508;0.4143585;-0.0052615;8.0000000
0.4563832;5.9594608;2.5891787;0.4118724;-0.0056281;8.0000000
0.4563832;6.1415403;2.6684617;0.4092191;-0.0059938;8.0000000
0.4563832;6.3238955;2.7472717;0.4063990;-0.0063584;8.0000000
0.4563832;6.5065463;2.8255808;0.4034126;-0.0067218;8.0000000
0.4563832;6.6895122;2.9033612;0.4002606;-0.0070839;8.0000000
0.4563832;6.8728131;2.9805848;0.3969434;-0.0074445;8.0000000
0.4563832;7.0564686;3.0572236;0.3934619;-0.0078036;8.0000000
0.4563832;7.2404984;3.1332499;0.3898167;-0.0081610;8.0000000
0.4563832;7.4249224;3.2086355;0.3860087;-0.0085165;8.0000000
0.4563832;7.6097601;3.2833526;0.3820386;-0.0088701;8.0000000
0.4563832;7.7950313;3.3573732;0.3779075;-0.0092216;8.0000000
0.4563832;7.9807558;3.4306693;0.3736163;-0.0095708;8.0000000
0.4563832;8.1669532;3.5032131;0.3691661;-0.0099176;8.0000000
0.4563832;8.3536432;3.5749766;0.3645580;-0.0102618;8.0000000
0.4563832;8.5408456;3.6459318;0.3597932;-0.0106033;8.0000000
0.4563832;8.7285801;3.7160508;0.3548731;-0.0109418;8.0000000
0.4563832;8.9168663;3.7853056;0.3497989;-0.0112772;8.0000000
0.4563832;9.1057241;3.8536683;0.3445721;-0.0116094;8.0000000
0.4563832;9.2951731;3.9211109;0.3391943;-0.0119381;8.0000000
0.4563832;9.4852331;3.9876056;0.3336671;-0.0122632;8.0000000
0.4563832;9.6759237;4.0531243;0.3279921;-0.0125844;8.0000000
0.4563832;9.8672647;4.1176391;0.3221713;-0.0129016;8.0000000
0.4563832;10.0592758;4.1811220;0.3162064;-0.0132145;8.0000000
0.4563832;10.2519767;4.2435452;0.3100994;-0.0135230;8.0000000
0.4563832;10.4453871;4.3048807;0.3038524;-0.0138268;8.0000000
0.4563832;10.6395267;4.3651005;0.2974676;-0.0141258;8.0000000
0.4563832;10.8344153;4.4241766;0.2909473;-0.0144197;8.0000000
0.4563832;11.0300726;4.4820812;0.2842938;-0.0147096;8.0000000
0.4563832;11.2265182;4.5387863;0.2775095;-0.0149985;8.0000000
0.4563832;11.4237719;4.5942639;0.2705971;-0.0152902;8.0000000
0.4563832;11.6218535;4.6484861;0.2635590;-0.0155894;8.0000000
0.4563832;11.8207826;4.7014250;0.2563935;-0.0159000;8.0000000
0.4563832;12.0205780;4.7530522;0.2490919;-0.0162246;8.0000000
0.4563832;12.2212252;4.8033271;0.2416421;-0.0165655;8.0000000
0.4563832;12.4226674;4.8521930;0.2340295;-0.0169254;8.0000000
0.4563832;12.6248451;4.8995925;0.2262418;-0.0173054;8.0000000
0.4563832;12.8276987;4.9454680;0.2182725;-0.0177052;8.0000000
0.4563832;13.0311688;4.9897620;0.2101152;-0.0181235;8.0000000
0.4563832;13.2351957;5.0324169;0.2017634;-0.0185582;8.0000000
0.4563832;13.4397200;5.0733751;0.1932102;-0.0190080;8.0000000
0.4563832;13.6446822;5.1125792;0.1844489;-0.0194734;8.0000000
0.4563832;13.8500226;5.1499715;0.1754720;-0.0199547;8.0000000
0.4563832;14.0556819;5.1854945;0.1662724;-0.0204526;8.0000000
0.4563832;14.2616004;5.2190908;0.1568423;-0.0209674;8.0000000
0.4563832;14.4677187;5.2507026;0.1471739;-0.0214996;8.0000000
0.4563832;14.6739772;5.2802726;0.1372591;-0.0220497;8.0000000
0.4563832;14.8803163;5.3077431;0.1270897;-0.0226183;8.0000000
0.4563832;15.0866767;5.3330566;0.1166570;-0.0232057;8.0000000
0.4563832;15.2929986;5.3561555;0.1059525;-0.0238124;8.0000000
0.4563832;15.4992227;5.3769824;0.0949671;-0.0244390;8.0000000
0.4563832;15.7052894;5.3954796;0.0836917;-0.0250858;8.0000000
0.4563832;15.9111391;5.4115896;0.0721168;-0.0257533;8.0000000
0.4563832;16.1167124;5.4252549;0.0602331;-0.0264418;8.0000000
0.4563832;16.3219496;5.4364179;0.0480306;-0.0271516;8.0000000
0.4563832;16.5267914;5.4450211;0.0354997;-0.0278831;8.0000000
0.4563832;16.7311781;5.4510069;0.0226301;-0.0286365;8.0000000
0.4563832;16.9350502;5.4543178;0.0094119;-0.0294120;8.0000000
0.4563832;17.1383483;5.4548963;6.2790201;-0.0302096;8.0000000
0.4563832;17.3410127;5.4526847;6.2650739;-0.0310294;8.0000000
0.4563832;17.5429840;5.4476256;6.2507484;-0.0318712;8.0000000
0.4563832;17.7442026;5.4396614;6.2360334;-0.0327350;8.0000000
0.4563832;17.9446091;5.4287345;6.2209187;-0.0336202;8.0000000
0.4563832;18.1441438;5.4147874;6.2053946;-0.0345265;8.0000000
0.4563832;18.3427472;5.3977626;6.1894514;-0.0354531;8.0000000
0.4563832;18.5403599;5.3776025;6.1730797;-0.0363993;8.0000000
0.4563832;18.7369223;5.3542496;6.1562705;-0.0373640;8.0000000
0.4563832;18.9323748;5.3276463;6.1390155;-0.0383460;8.0000000
0.4563832;19.1266581;5.2977351;6.1213067;-0.0393438;8.0000000
0.4563832;19.3197124;5.2644584;6.1031370;-0.0403556;8.0000000
0.4563832;19.5114783;5.2277587;6.0845002;-0.0413794;8.0000000
0.4563832;19.7018964;5.1875785;6.0653908;-0.0424129;8.0000000
0.4563832;19.8909069;5.1438601;6.0458047;-0.0434536;8.0000000
0.4563832;20.0784505;5.0965461;6.0257389;-0.0444986;8.0000000
0.4563832;20.2644676;5.0455788;6.0051917;-0.0455445;8.0000000
0.4563832;20.4488986;4.9909009;5.9841630;-0.0465879;8.0000000
0.4563832;20.6316841;4.9324546;5.9626546;-0.0476249;8.0000000
0.4563832;20.8127645;4.8701825;5.9406699;-0.0486513;8.0000000
0.4563832;20.9920804;4.8040271;5.9182143;-0.0496627;8.0000000
0.4563832;21.1695720;4.7339306;5.8952954;-0.0506544;8.0000000
0.4563832;21.3451801;4.6598358;5.8719232;-0.0516213;8.0000000
0.4563832;21.5188449;4.5816849;5.8481097;-0.0525583;8.0000000
0.4563832;21.6905071;4.4994204;5.8238698;-0.0534557;8.0000000
0.4563832;21.8601070;4.4129848;5.7992206;-0.0542726;8.0000000
0.4563832;22.0275851;4.3223206;5.7741819;-0.0549576;8.0000000
0.4563832;22.1928820;4.2273702;5.7487761;-0.0554632;8.0000000
0.4563832;22.3559380;4.1280760;5.7230442;-0.0557504;8.0000000
0.4563832;22.5166937;4.0243805;5.6971425;-0.0558138;8.0000000
