# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.598805411506520779e-01;-7.100107609142696230e-01;6.051574493850269132e-01;8.825084570128773898e-01;7.378148120851070533e-05;8.000000000000000000e+00
4.598805411506520779e-01;-8.620062576103570962e-01;7.301641506116165470e-01;8.825327985771709294e-01;6.119403955090187098e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.014109385540754138e+00;8.552541184621887949e-01;8.825535467861094219e-01;5.178653935009571498e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.166318819987846256e+00;9.804264295972836551e-01;8.825731314564673191e-01;4.542516622914936182e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.318633236234020734e+00;1.105680160677441792e+00;8.825920396176942795e-01;4.144717275591529759e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.471051309561664411e+00;1.231014388363201428e+00;8.826102730894502812e-01;3.905812672575063204e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.623571715253165459e+00;1.356428189315105781e+00;8.826278336535708924e-01;3.746472269245274201e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.776193128590910053e+00;1.481920640193693073e+00;8.826447230543426059e-01;3.600694683367058402e-05;8.000000000000000000e+00
4.598805411506520779e-01;-1.928914224857284365e+00;1.607490817659504190e+00;8.826609429987666289e-01;3.455284393949527034e-05;8.000000000000000000e+00
4.598805411506520779e-01;-2.081733679334676790e+00;1.733137798373079574e+00;8.826764951568106810e-01;3.310233373817822932e-05;8.000000000000000000e+00
4.598805411506520779e-01;-2.234650167305474167e+00;1.858860658994959669e+00;8.826913811616763361e-01;3.165533650115583218e-05;8.000000000000000000e+00
4.598805411506520779e-01;-2.387662364052064223e+00;1.984658476185687359e+00;8.827056026100277286e-01;3.021177303484125063e-05;8.000000000000000000e+00
4.598805411506520779e-01;-2.540768944856833578e+00;2.110530326605799090e+00;8.827191610622477924e-01;2.877156466444961747e-05;8.000000000000000000e+00
4.598805411506520779e-01;-2.693968585002169291e+00;2.236475286915837746e+00;8.827320580426731844e-01;2.733463322651415495e-05;8.000000000000000000e+00
4.598805411506520779e-01;-2.847259959770456206e+00;2.362492433776341549e+00;8.827442950398145527e-01;2.590090105440124064e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.000641744444085823e+00;2.488580843847853163e+00;8.827558735066016737e-01;2.447029096974012797e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.154112614305442541e+00;2.614739593790913030e+00;8.827667948605877335e-01;2.304272627059363314e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.307671244636915198e+00;2.740967760266060260e+00;8.827770604841735924e-01;2.161813071769742078e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.461316310720886857e+00;2.867264419933833963e+00;8.827866717248218364e-01;2.019642852987310708e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.615046487839749023e+00;2.993628649454778134e+00;8.827956298952539527e-01;1.877754436580140847e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.768860451275886536e+00;3.120059525489430552e+00;8.828039362736630480e-01;1.736140331955592995e-05;8.000000000000000000e+00
4.598805411506520779e-01;-3.922756876311686458e+00;3.246556124698332102e+00;8.828115921038981462e-01;1.594793090756674870e-05;8.000000000000000000e+00
4.598805411506520779e-01;-4.076734438229538959e+00;3.373117523742024115e+00;8.828185985956675808e-01;1.453705305739457122e-05;8.000000000000000000e+00
4.598805411506520779e-01;-4.230791812311825772e+00;3.499742799281045702e+00;8.828249569247170747e-01;1.312869609988474848e-05;8.000000000000000000e+00
