# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4598805;-0.7100108;0.6051574;2.4533048;0.0000738;8.0000000
0.4598805;-0.8620063;0.7301642;2.4533291;0.0000612;8.0000000
0.4598805;-1.0141094;0.8552541;2.4533499;0.0000518;8.0000000
0.4598805;-1.1663188;0.9804264;2.4533695;0.0000454;8.0000000
0.4598805;-1.3186332;1.1056802;2.4533884;0.0000414;8.0000000
0.4598805;-1.4710513;1.2310144;2.4534066;0.0000391;8.0000000
0.4598805;-1.6235717;1.3564282;2.4534242;0.0000375;8.0000000
0.4598805;-1.7761931;1.4819206;2.4534410;0.0000360;8.0000000
0.4598805;-1.9289142;1.6074908;2.4534573;0.0000346;8.0000000
0.4598805;-2.0817337;1.7331378;2.4534728;0.0000331;8.0000000
0.4598805;-2.2346502;1.8588607;2.4534877;0.0000317;8.0000000
0.4598805;-2.3876624;1.9846585;2.4535019;0.0000302;8.0000000
0.4598805;-2.5407689;2.1105303;2.4535155;0.0000288;8.0000000
0.4598805;-2.6939686;2.2364753;2.4535284;0.0000273;8.0000000
0.4598805;-2.8472600;2.3624924;2.4535406;0.0000259;8.0000000
0.4598805;-3.0006417;2.4885808;2.4535522;0.0000245;8.0000000
0.4598805;-3.1541126;2.6147396;2.4535631;0.0000230;8.0000000
0.4598805;-3.3076712;2.7409678;2.4535734;0.0000216;8.0000000
0.4598805;-3.4613163;2.8672644;2.4535830;0.0000202;8.0000000
0.4598805;-3.6150465;2.9936286;2.4535920;0.0000188;8.0000000
0.4598805;-3.7688605;3.1200595;2.4536003;0.0000174;8.0000000
0.4598805;-3.9227569;3.2465561;2.4536079;0.0000159;8.0000000
0.4598805;-4.0767344;3.3731175;2.4536149;0.0000145;8.0000000
0.4598805;-4.2307918;3.4997428;2.4536213;0.0000131;8.0000000
0.4598805;-4.3849277;3.6264310;2.4536270;0.0000117;8.0000000
0.4598805;-4.5391407;3.7531813;2.4536321;0.0000103;8.0000000
0.4598805;-4.6934296;3.8799927;2.4536365;0.0000089;8.0000000
0.4598805;-4.8477929;4.0068642;2.4536403;0.0000075;8.0000000
0.4598805;-5.0022295;4.1337950;2.4536434;0.0000061;8.0000000
0.4598805;-5.1567379;4.2607842;2.4536459;0.0000047;8.0000000
0.4598805;-5.3113169;4.3878307;2.4536477;0.0000033;8.0000000
0.4598805;-5.4659651;4.5149338;2.4536489;0.0000019;8.0000000
0.4598805;-5.6206811;4.6420924;2.4536495;0.0000006;8.0000000
0.4598805;-5.7754638;4.7693056;2.4536495;-0.0000008;8.0000000
0.4598805;-5.9303117;4.8965726;2.4536487;-0.0000022;8.0000000
0.4598805;-6.0852235;5.0238924;2.4536474;-0.0000036;8.0000000
0.4598805;-6.2401978;5.1512640;2.4536454;-0.0000050;8.0000000
0.4598805;-6.3952335;5.2786866;2.4536428;-0.0000064;8.0000000
0.4598805;-6.5503291;5.4061592;2.4536396;-0.0000077;8.0000000
0.4598805;-6.7054833;5.5336810;2.4536357;-0.0000091;8.0000000
