# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.480311946729682582e-01;-5.390389961260334539e-01;-7.390095187853389369e-01;2.578330176004796304e+00;-2.071198115747531954e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.460935886284840945e-01;-9.085127622444850726e-01;2.578212489688259890e+00;-2.366032338870063855e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.531787213219350852e-01;-1.078016822062362934e+00;2.578087582571866321e+00;-2.571799446133233918e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.602942067289097716e-01;-1.247521676524097956e+00;2.577962100333756723e+00;-2.692228363800507258e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.674398573719301675e-01;-1.417027303914820680e+00;2.577837371496467522e+00;-2.745885590456649387e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.074615485773517731e+00;-1.586533682519660315e+00;2.577713395654404493e+00;-2.755041055900742109e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.181820904456192922e+00;-1.756040790623741854e+00;2.577590172404635283e+00;-2.741955304784695550e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.289055925942478975e+00;-1.925548606512194727e+00;2.577467701346892959e+00;-2.725170761827653979e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.396320362754897682e+00;-2.095057108470148144e+00;2.577345982083574238e+00;-2.708395063659308887e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.503614027415970167e+00;-2.264566274782730204e+00;2.577225014219741261e+00;-2.691628150894297979e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.610936732448220221e+00;-2.434076083735069673e+00;2.577104797363112265e+00;-2.674869964136107397e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.718288290374167859e+00;-2.603586513612295317e+00;2.576985331124069134e+00;-2.658120444037785418e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.825668513716335317e+00;-2.773097542699532347e+00;2.576866615115653403e+00;-2.641379531272201159e-04;8.000000000000000000e+00
4.480311946729682582e-01;-1.933077214997243498e+00;-2.942609149281910419e+00;2.576748648953556042e+00;-2.624647166551874640e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.040514206739416192e+00;-3.112121311644561850e+00;2.576631432256133891e+00;-2.607923290601714514e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.147979301465375190e+00;-3.281634008072610964e+00;2.576514964644391448e+00;-2.591207844188755569e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.255472311697641619e+00;-3.451147216851187416e+00;2.576399245741989752e+00;-2.574500768109769548e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.362993049958737490e+00;-3.620660916265419527e+00;2.576284275175241056e+00;-2.557802003167721698e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.470541328771183043e+00;-3.790175084600434285e+00;2.576170052573109270e+00;-2.541111490221333448e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.578116960657502066e+00;-3.959689700141360014e+00;2.576056577567206851e+00;-2.524429170133043413e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.685719758140215685e+00;-4.129204741173326809e+00;2.575943849791795248e+00;-2.507754983808654502e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.793349533741847246e+00;-4.298720185981463437e+00;2.575831868883783127e+00;-2.491088872170076529e-04;8.000000000000000000e+00
4.480311946729682582e-01;-2.901006099984916098e+00;-4.468236012850896444e+00;2.575720634482725035e+00;-2.474430776176390640e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.008689269391945587e+00;-4.637752200066753261e+00;2.575610146230821851e+00;-2.457780636805261204e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.116398854485459058e+00;-4.807268725914166652e+00;2.575500403772915448e+00;-2.441138395067807818e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.224134667787975861e+00;-4.976785568678261384e+00;2.575391406756493140e+00;-2.424503991991254818e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.331896521822018009e+00;-5.146302706644165781e+00;2.575283154831680577e+00;-2.407877368642476082e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.439684229110108848e+00;-5.315820118097009939e+00;2.575175647651245292e+00;-2.391258466097018296e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.547497602174769060e+00;-5.485337781321921291e+00;2.575068884870591823e+00;-2.374647225471314762e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.655336453538520214e+00;-5.654855674604027271e+00;2.574962866147766150e+00;-2.358043587897905964e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.763200595723886543e+00;-5.824373776228457977e+00;2.574857591143445923e+00;-2.341447494546502626e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.871089841253386954e+00;-5.993892064480339954e+00;2.574753059520952014e+00;-2.324858886595488553e-04;8.000000000000000000e+00
4.480311946729682582e-01;-3.979004002649543903e+00;-6.163410517644798858e+00;2.574649270946231638e+00;-2.308277705257939577e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.086942892434880292e+00;-6.332929114006971005e+00;2.574546225087871676e+00;-2.291703891771710970e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.194906323131919912e+00;-6.502447831851981164e+00;2.574443921617084019e+00;-2.275137387380853679e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.302894107263180778e+00;-6.671966649464957655e+00;2.574342360207719338e+00;-2.258578133406236542e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.410906057351187570e+00;-6.841485545131025248e+00;2.574241540536252870e+00;-2.242026071117929462e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.518941985918457860e+00;-7.011004497135314928e+00;2.574141462281792414e+00;-2.225481141883883568e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.627001705487519878e+00;-7.180523483762955905e+00;2.574042125126075220e+00;-2.208943287036118177e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.735085028580889421e+00;-7.350042483299075613e+00;2.573943528753454224e+00;-2.192412447951257767e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.843191767721092056e+00;-7.519561474028803261e+00;2.573845672850926913e+00;-2.175888566051769322e-04;8.000000000000000000e+00
4.480311946729682582e-01;-4.951321735430649795e+00;-7.689080434237266282e+00;2.573748557108095358e+00;-2.159371582742773406e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.059474744232081989e+00;-7.858599342209593885e+00;2.573652181217199519e+00;-2.142861439487624435e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.167650606647912426e+00;-8.028118176230911729e+00;2.573556544873102148e+00;-2.126358077755871687e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.275849135200664008e+00;-8.197636914586352574e+00;2.573461647773274130e+00;-2.109861439034409778e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.384070142412855198e+00;-8.367155535561042967e+00;2.573367489617825132e+00;-2.093371464837392331e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.492313440807007119e+00;-8.536674017440102347e+00;2.573274070109473399e+00;-2.076888096709947275e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.600578842905649779e+00;-8.706192338508678574e+00;2.573181388953550641e+00;-2.060411276209593340e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.708866161231297198e+00;-8.875710477051887537e+00;2.573089445858026902e+00;-2.043940944904998921e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.817175208306472278e+00;-9.045228411354850451e+00;2.572998240533467040e+00;-2.027477044418111193e-04;8.000000000000000000e+00
4.480311946729682582e-01;-5.925505796653700585e+00;-9.214746119702713401e+00;2.572907772693062700e+00;-2.011019516364681114e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.033857738795499692e+00;-9.384263580380590497e+00;2.572818042052623877e+00;-1.994568302367893747e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.142230847254392501e+00;-9.553780771673613614e+00;2.572729048330564705e+00;-1.978123344137665176e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.250624934552904577e+00;-9.723297671866916403e+00;2.572640791247919001e+00;-1.961684583315765316e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.359039813213554382e+00;-9.892814259245625408e+00;2.572553270528331382e+00;-1.945251961619543814e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.467475295758862153e+00;-1.006233051209486185e+01;2.572466485898057265e+00;-1.928825420787413111e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.575931194711351679e+00;-1.023184640869975937e+01;2.572380437085959315e+00;-1.912404902549112847e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.684407322593546752e+00;-1.040136192734544807e+01;2.572295123823519436e+00;-1.895990348675269551e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.792903491927967607e+00;-1.057087704631705272e+01;2.572210545844819229e+00;-1.879581700943943581e-04;8.000000000000000000e+00
4.480311946729682582e-01;-6.901419515237135371e+00;-1.074039174389970341e+01;2.572126702886551097e+00;-1.863178901175321976e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.009955205043572057e+00;-1.090990599837852848e+01;2.572043594688014689e+00;-1.846781891154898928e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.118510373869801455e+00;-1.107941978803865801e+01;2.571961220991114683e+00;-1.830390612761094514e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.227084834238343802e+00;-1.124893309116521678e+01;2.571879581540363890e+00;-1.814005007840114182e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.335678398671719336e+00;-1.141844588604333310e+01;2.571798676082870827e+00;-1.797625018259226719e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.444290879692451846e+00;-1.158795815095814064e+01;2.571718504368363689e+00;-1.781250585927826775e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.552922089823065122e+00;-1.175746986419476059e+01;2.571639066149156605e+00;-1.764881652751592353e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.661571841586076737e+00;-1.192698100403832662e+01;2.571560361180174947e+00;-1.748518160654786307e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.770239947504011369e+00;-1.209649154877396349e+01;2.571482389218947340e+00;-1.732160051581495318e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.878926220099392808e+00;-1.226600147668680663e+01;2.571405150025594555e+00;-1.715807267521647487e-04;8.000000000000000000e+00
4.480311946729682582e-01;-7.987630471894737738e+00;-1.243551076606197192e+01;2.571328643362843724e+00;-1.699459750415614474e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.096352515412572615e+00;-1.260501939518460013e+01;2.571252868996023455e+00;-1.683117442299169328e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.205092163175418563e+00;-1.277452734233981246e+01;2.571177826693050950e+00;-1.666780285168436909e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.313849227705793155e+00;-1.294403458581274080e+01;2.571103516224446661e+00;-1.650448221049278217e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.422623521526221069e+00;-1.311354110388850636e+01;2.571029937363334739e+00;-1.634121192009680118e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.531414857159226983e+00;-1.328304687485224633e+01;2.570957089885416380e+00;-1.617799140089133116e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.640223047127326694e+00;-1.345255187698908550e+01;2.570884973569010246e+00;-1.601482007382881462e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.749047903953050209e+00;-1.362205608858415573e+01;2.570813588195016486e+00;-1.585169735963870617e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.857889240158911548e+00;-1.379155948792257824e+01;2.570742933546926512e+00;-1.568862267954601402e-04;8.000000000000000000e+00
4.480311946729682582e-01;-8.966746868267437165e+00;-1.396106205328948668e+01;2.570673009410843424e+00;-1.552559545472621187e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.075620600801148186e+00;-1.413056376297000583e+01;2.570603815575438933e+00;-1.536261510651584252e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.184510250282563959e+00;-1.430006459524926932e+01;2.570535351831995996e+00;-1.519968105647446642e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.293415629234210940e+00;-1.446956452841240015e+01;2.570467617974383501e+00;-1.503679272609969274e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.402336550178606700e+00;-1.463906354074452842e+01;2.570400613799049161e+00;-1.487394953742190756e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.511272825638274142e+00;-1.480856161053078424e+01;2.570334339105052379e+00;-1.471115091218652259e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.620224268135737944e+00;-1.497805871605629413e+01;2.570268793694026055e+00;-1.454839627256020813e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.729190690193515678e+00;-1.514755483560618465e+01;2.570203977370196569e+00;-1.438568504080875768e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.838171904334133799e+00;-1.531704994746559123e+01;2.570139889940382893e+00;-1.422301663885104444e-04;8.000000000000000000e+00
4.480311946729682582e-01;-9.947167723080108104e+00;-1.548654402991963330e+01;2.570076531213982829e+00;-1.406039048951041287e-04;8.000000000000000000e+00
