# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4480312;-0.5390390;-0.7390095;4.1491265;-0.0002071;8.0000000
0.4480312;-0.6460936;-0.9085128;4.1490088;-0.0002366;8.0000000
0.4480312;-0.7531787;-1.0780168;4.1488839;-0.0002572;8.0000000
0.4480312;-0.8602942;-1.2475217;4.1487584;-0.0002692;8.0000000
0.4480312;-0.9674399;-1.4170273;4.1486337;-0.0002746;8.0000000
0.4480312;-1.0746155;-1.5865337;4.1485097;-0.0002755;8.0000000
0.4480312;-1.1818209;-1.7560408;4.1483865;-0.0002742;8.0000000
0.4480312;-1.2890559;-1.9255486;4.1482640;-0.0002725;8.0000000
0.4480312;-1.3963204;-2.0950571;4.1481423;-0.0002708;8.0000000
0.4480312;-1.5036140;-2.2645663;4.1480213;-0.0002692;8.0000000
0.4480312;-1.6109367;-2.4340761;4.1479011;-0.0002675;8.0000000
0.4480312;-1.7182883;-2.6035865;4.1477817;-0.0002658;8.0000000
0.4480312;-1.8256685;-2.7730975;4.1476629;-0.0002641;8.0000000
0.4480312;-1.9330772;-2.9426091;4.1475450;-0.0002625;8.0000000
0.4480312;-2.0405142;-3.1121213;4.1474278;-0.0002608;8.0000000
0.4480312;-2.1479793;-3.2816340;4.1473113;-0.0002591;8.0000000
0.4480312;-2.2554723;-3.4511472;4.1471956;-0.0002575;8.0000000
0.4480312;-2.3629930;-3.6206609;4.1470806;-0.0002558;8.0000000
0.4480312;-2.4705413;-3.7901751;4.1469664;-0.0002541;8.0000000
0.4480312;-2.5781170;-3.9596897;4.1468529;-0.0002524;8.0000000
0.4480312;-2.6857198;-4.1292047;4.1467402;-0.0002508;8.0000000
0.4480312;-2.7933495;-4.2987202;4.1466282;-0.0002491;8.0000000
0.4480312;-2.9010061;-4.4682360;4.1465170;-0.0002474;8.0000000
0.4480312;-3.0086893;-4.6377522;4.1464065;-0.0002458;8.0000000
0.4480312;-3.1163989;-4.8072687;4.1462967;-0.0002441;8.0000000
0.4480312;-3.2241347;-4.9767856;4.1461877;-0.0002425;8.0000000
0.4480312;-3.3318965;-5.1463027;4.1460795;-0.0002408;8.0000000
0.4480312;-3.4396842;-5.3158201;4.1459720;-0.0002391;8.0000000
0.4480312;-3.5474976;-5.4853378;4.1458652;-0.0002375;8.0000000
0.4480312;-3.6553365;-5.6548557;4.1457592;-0.0002358;8.0000000
0.4480312;-3.7632006;-5.8243738;4.1456539;-0.0002341;8.0000000
0.4480312;-3.8710898;-5.9938921;4.1455494;-0.0002325;8.0000000
0.4480312;-3.9790040;-6.1634105;4.1454456;-0.0002308;8.0000000
0.4480312;-4.0869429;-6.3329291;4.1453426;-0.0002292;8.0000000
0.4480312;-4.1949063;-6.5024478;4.1452402;-0.0002275;8.0000000
0.4480312;-4.3028941;-6.6719666;4.1451387;-0.0002259;8.0000000
0.4480312;-4.4109061;-6.8414855;4.1450379;-0.0002242;8.0000000
0.4480312;-4.5189420;-7.0110045;4.1449378;-0.0002225;8.0000000
0.4480312;-4.6270017;-7.1805235;4.1448385;-0.0002209;8.0000000
0.4480312;-4.7350850;-7.3500425;4.1447399;-0.0002192;8.0000000
0.4480312;-4.8431918;-7.5195615;4.1446420;-0.0002176;8.0000000
0.4480312;-4.9513217;-7.6890804;4.1445449;-0.0002159;8.0000000
0.4480312;-5.0594747;-7.8585993;4.1444485;-0.0002143;8.0000000
0.4480312;-5.1676506;-8.0281182;4.1443529;-0.0002126;8.0000000
0.4480312;-5.2758491;-8.1976369;4.1442580;-0.0002110;8.0000000
0.4480312;-5.3840701;-8.3671555;4.1441638;-0.0002093;8.0000000
0.4480312;-5.4923134;-8.5366740;4.1440704;-0.0002077;8.0000000
0.4480312;-5.6005788;-8.7061923;4.1439777;-0.0002060;8.0000000
0.4480312;-5.7088662;-8.8757105;4.1438858;-0.0002044;8.0000000
0.4480312;-5.8171752;-9.0452284;4.1437946;-0.0002027;8.0000000
0.4480312;-5.9255058;-9.2147461;4.1437041;-0.0002011;8.0000000
0.4480312;-6.0338577;-9.3842636;4.1436144;-0.0001995;8.0000000
