# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.941845743165858229e-01;-4.138489955087172323e-01;6.533222051514717688e-01;4.377398287016873724e-01;-8.531615220791871970e-03;8.000000000000000000e+00
3.941845743165858229e-01;-4.974117084250580523e-01;8.327760725718871271e-01;4.341538725006324206e-01;-8.413197967297423446e-03;8.000000000000000000e+00
3.941845743165858229e-01;-5.803686991431910025e-01;1.012654371737023551e+00;4.306598929850422586e-01;-8.198185025990813862e-03;8.000000000000000000e+00
3.941845743165858229e-01;-6.627590349206921028e-01;1.192940822323847350e+00;4.273209737545928810e-01;-7.889575445544005569e-03;8.000000000000000000e+00
3.941845743165858229e-01;-7.446217830151372619e-01;1.373619144009324389e+00;4.241893949361053018e-01;-7.501069872071474028e-03;8.000000000000000000e+00
3.941845743165858229e-01;-8.259960106841020000e-01;1.554673056470420534e+00;4.212753169434877432e-01;-7.049002539113919698e-03;8.000000000000000000e+00
3.941845743165858229e-01;-9.069207851851610602e-01;1.736086279384097653e+00;4.185783729830099276e-01;-6.549648368825231569e-03;8.000000000000000000e+00
3.941845743165858229e-01;-9.874351737758928493e-01;1.917842532427326718e+00;4.160981695931222912e-01;-6.019211815407914806e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.067578243713870778e+00;2.099925535277070043e+00;4.138342905560761231e-01;-5.473818926930214962e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.147389062256672032e+00;2.282319007610294825e+00;4.117863004794029003e-01;-4.926856591462416661e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.226906696661870910e+00;2.465006669103964931e+00;4.099537480493158359e-01;-4.381027552626232113e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.306170214187045264e+00;2.647972239435048447e+00;4.083361689587454713e-01;-3.836364713013289129e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.385218682089769615e+00;2.831199438280508573e+00;4.069330885132629305e-01;-3.292894729888408596e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.464091167627619372e+00;3.014671985317312952e+00;4.057440239186123065e-01;-2.750638814699028420e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.542826738058171276e+00;3.198373600222424784e+00;4.047684862538605266e-01;-2.209613522827119734e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.621464460639000738e+00;3.382288002672812155e+00;4.040059821344756941e-01;-1.669831532909727074e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.700043402627684053e+00;3.566398912345440042e+00;4.034560150697867886e-01;-1.131302415230678879e-03;8.000000000000000000e+00
3.941845743165858229e-01;-1.778602631281795965e+00;3.750690048917272978e+00;4.031180865194183838e-01;-5.940333888169825128e-04;8.000000000000000000e+00
3.941845743165858229e-01;-1.857181213858913216e+00;3.935145132065278162e+00;4.029916966533679812e-01;-5.803006700388425762e-05;8.000000000000000000e+00
3.941845743165858229e-01;-1.935818217616610770e+00;4.119747881466419237e+00;4.030763448204051080e-01;4.767028086970195237e-04;8.000000000000000000e+00
3.941845743165858229e-01;-2.014552709812465370e+00;4.304482016797663846e+00;4.033715297295115132e-01;1.010160646527336189e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.093423757704052424e+00;4.489331257735976521e+00;4.038767493490351690e-01;1.542338294272579914e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.172470428548947119e+00;4.674279323958323573e+00;4.045915005282563204e-01;2.073229340982972978e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.251731789604726419e+00;4.859309935141668646e+00;4.055152783460174160e-01;2.602825430686533763e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.331246908128965956e+00;5.044406810962980714e+00;4.066475751910780811e-01;3.131115588221304417e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.411054851379239583e+00;5.229553671099222534e+00;4.079878795789031454e-01;3.658085557350247707e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.491194686613125597e+00;5.414734235227359527e+00;4.095356747095868499e-01;4.183717151415734109e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.571705481088198297e+00;5.599932223024361555e+00;4.112904367717786780e-01;4.707987616887935114e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.652626302062033758e+00;5.785131354167187823e+00;4.132516329975235436e-01;5.230869010272065286e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.733996216792209388e+00;5.970315348332812633e+00;4.154187194731955302e-01;5.752327588992203755e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.815854292536298153e+00;6.155467925198189860e+00;4.177911387118891096e-01;6.272323216990957975e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.898239596551877906e+00;6.340572804440295585e+00;4.203683169929532948e-01;6.790808785988613344e-03;8.000000000000000000e+00
3.941845743165858229e-01;-2.981191196096524276e+00;6.525613705736091674e+00;4.231496614747636276e-01;7.307729653482025224e-03;8.000000000000000000e+00
