# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3941846;-0.4138490;0.6533222;2.0085362;-0.0085316;8.0000000
0.3941846;-0.4974117;0.8327761;2.0049502;-0.0084132;8.0000000
0.3941846;-0.5803687;1.0126544;2.0014562;-0.0081982;8.0000000
0.3941846;-0.6627590;1.1929408;1.9981173;-0.0078896;8.0000000
0.3941846;-0.7446218;1.3736191;1.9949857;-0.0075011;8.0000000
0.3941846;-0.8259960;1.5546731;1.9920716;-0.0070490;8.0000000
0.3941846;-0.9069208;1.7360863;1.9893747;-0.0065496;8.0000000
0.3941846;-0.9874352;1.9178425;1.9868945;-0.0060192;8.0000000
0.3941846;-1.0675782;2.0999255;1.9846306;-0.0054738;8.0000000
0.3941846;-1.1473891;2.2823190;1.9825826;-0.0049269;8.0000000
0.3941846;-1.2269067;2.4650067;1.9807501;-0.0043810;8.0000000
0.3941846;-1.3061702;2.6479722;1.9791325;-0.0038364;8.0000000
0.3941846;-1.3852187;2.8311994;1.9777294;-0.0032929;8.0000000
0.3941846;-1.4640912;3.0146720;1.9765404;-0.0027506;8.0000000
0.3941846;-1.5428267;3.1983736;1.9755648;-0.0022096;8.0000000
0.3941846;-1.6214645;3.3822880;1.9748023;-0.0016698;8.0000000
0.3941846;-1.7000434;3.5663989;1.9742523;-0.0011313;8.0000000
0.3941846;-1.7786026;3.7506900;1.9739144;-0.0005940;8.0000000
0.3941846;-1.8571812;3.9351451;1.9737880;-0.0000580;8.0000000
0.3941846;-1.9358182;4.1197479;1.9738727;0.0004767;8.0000000
0.3941846;-2.0145527;4.3044820;1.9741679;0.0010102;8.0000000
0.3941846;-2.0934238;4.4893313;1.9746731;0.0015423;8.0000000
0.3941846;-2.1724704;4.6742793;1.9753878;0.0020732;8.0000000
0.3941846;-2.2517318;4.8593099;1.9763116;0.0026028;8.0000000
0.3941846;-2.3312469;5.0444068;1.9774439;0.0031311;8.0000000
0.3941846;-2.4110549;5.2295537;1.9787842;0.0036581;8.0000000
0.3941846;-2.4911947;5.4147342;1.9803320;0.0041837;8.0000000
0.3941846;-2.5717055;5.5999322;1.9820868;0.0047080;8.0000000
0.3941846;-2.6526263;5.7851314;1.9840480;0.0052309;8.0000000
0.3941846;-2.7339962;5.9703153;1.9862150;0.0057523;8.0000000
0.3941846;-2.8158543;6.1554679;1.9885875;0.0062723;8.0000000
0.3941846;-2.8982396;6.3405728;1.9911646;0.0067908;8.0000000
0.3941846;-2.9811912;6.5256137;1.9939460;0.0073077;8.0000000
0.3941846;-3.0647482;6.7105743;1.9969309;0.0078230;8.0000000
0.3941846;-3.1489496;6.8954385;2.0001187;0.0083366;8.0000000
0.3941846;-3.2338344;7.0801897;2.0035087;0.0088484;8.0000000
0.3941846;-3.3194419;7.2648119;2.0071003;0.0093584;8.0000000
0.3941846;-3.4058110;7.4492887;2.0108927;0.0098664;8.0000000
0.3941846;-3.4929808;7.6336039;2.0148851;0.0103723;8.0000000
0.3941846;-3.5809903;7.8177411;2.0190767;0.0108760;8.0000000
0.3941846;-3.6698787;8.0016841;2.0234666;0.0113773;8.0000000
0.3941846;-3.7596850;8.1854166;2.0280539;0.0118762;8.0000000
0.3941846;-3.8504482;8.3689223;2.0328376;0.0123724;8.0000000
0.3941846;-3.9422075;8.5521849;2.0378167;0.0128659;8.0000000
0.3941846;-4.0350019;8.7351882;2.0429900;0.0133564;8.0000000
0.3941846;-4.1288705;8.9179159;2.0483563;0.0138437;8.0000000
0.3941846;-4.2238523;9.1003517;2.0539145;0.0143276;8.0000000
0.3941846;-4.3199864;9.2824793;2.0596630;0.0148079;8.0000000
0.3941846;-4.4173119;9.4642824;2.0656005;0.0152844;8.0000000
0.3941846;-4.5158678;9.6457448;2.0717254;0.0157568;8.0000000
0.3941846;-4.6156932;9.8268501;2.0780362;0.0162248;8.0000000
0.3941846;-4.7168272;10.0075822;2.0845310;0.0166883;8.0000000
0.3941846;-4.8193088;10.1879247;2.0912080;0.0171456;8.0000000
0.3941846;-4.9231772;10.3678613;2.0980653;0.0175657;8.0000000
0.3941846;-5.0284713;10.5473757;2.1051007;0.0178891;8.0000000
0.3941846;-5.1352302;10.7264518;2.1123122;0.0180566;8.0000000
0.3941846;-5.2434931;10.9050731;2.1196973;0.0180098;8.0000000
0.3941846;-5.3532990;11.0832235;2.1272484;0.0176912;8.0000000
0.3941846;-5.4646869;11.2608865;2.1348416;0.0170451;8.0000000
0.3941846;-5.5776959;11.4380461;2.1422416;0.0160446;8.0000000
0.3941846;-5.6923582;11.6146872;2.1492125;0.0146904;8.0000000
0.3941846;-5.8085533;11.7908272;2.1555228;0.0129837;8.0000000
0.3941846;-5.9260101;11.9665147;2.1609440;0.0109259;8.0000000
0.3941846;-6.0444512;12.1418000;2.1652544;0.0085469;8.0000000
0.3941846;-6.1635990;12.3167332;2.1683459;0.0059038;8.0000000
0.3941846;-6.2831763;12.4913642;2.1702195;0.0030529;8.0000000
0.3941846;-6.4029055;12.6657434;2.1708771;0.0000483;8.0000000
0.3941846;-6.5225093;12.8399208;2.1703167;-0.0030576;8.0000000
0.3941846;-6.6417101;13.0139464;2.1685322;-0.0062153;8.0000000
0.3941846;-6.7602306;13.1878705;2.1655135;-0.0094048;8.0000000
0.3941846;-6.8777933;13.3617432;2.1612466;-0.0126349;8.0000000
0.3941846;-6.9941208;13.5356145;2.1557133;-0.0159153;8.0000000
0.3941846;-7.1089356;13.7095346;2.1488913;-0.0192556;7.0674099
0.3941846;-7.2219604;13.8835537;2.1407548;-0.0226649;7.0674099
0.3941846;-7.3329176;14.0577217;2.1312737;-0.0261517;7.0674099
0.3941846;-7.4415299;14.2320889;2.1204148;-0.0297236;7.0674099
0.3941846;-7.5475199;14.4067053;2.1081414;-0.0333872;7.0674099
0.3941846;-7.6506100;14.5816212;2.0944140;-0.0371478;7.0674099
0.3941846;-7.7505229;14.7568865;2.0791906;-0.0410088;7.0674099
0.3941846;-7.8469811;14.9325515;2.0624277;-0.0449712;7.0674099
