# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.641601169135538218e-01;-1.082142072460124810e-01;1.001151684689016719e-02;-3.141146679078963277e+00;2.190568762401770943e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.081218169739900925e-01;-1.893926455715544133e-01;-3.141069278772973483e+00;2.511034703866201422e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.080135974399965143e-01;-3.887916028717960937e-01;-3.140978728478636128e+00;2.866312947068602886e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.078860842737841275e-01;-5.881861065571667435e-01;-3.140872915024096823e+00;3.255430576120739352e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.077358131051051049e-01;-7.875769081310062258e-01;-3.140750077738377222e+00;3.673545367114828945e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.075593195637118138e-01;-9.869647590966452722e-01;-3.140609864994424960e+00;4.114846755016137846e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.073531392793564965e-01;-1.186350410957428325e+00;-3.140452277723486674e+00;4.573523016527937892e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.071138078817915340e-01;-1.385734615216688059e+00;-3.140277317256195744e+00;5.043761528695097588e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.068378610007690160e-01;-1.585118123377754484e+00;-3.140084985323968958e+00;5.519749099284351149e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.065218342660413930e-01;-1.784501686943970045e+00;-3.139875284060529737e+00;5.996639388045913116e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.061622633073609212e-01;-1.983886057418670967e+00;-3.139648216003575243e+00;6.473454214895892327e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.057556837544798706e-01;-2.183271986305190815e+00;-3.139403784096567840e+00;6.950182396306720141e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.052986312371504696e-01;-2.382660225106866481e+00;-3.139141991690662437e+00;7.426812694062853932e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.047876413851250577e-01;-2.582051525327033303e+00;-3.138862842546767951e+00;7.903333811643765885e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.042192498281559465e-01;-2.781446638469026844e+00;-3.138566340837738000e+00;8.379734390613041272e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.035899921959953507e-01;-2.980846316036188881e+00;-3.138252491150693935e+00;8.856003007047710384e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.028964041183956513e-01;-3.180251309531850534e+00;-3.137921298489477095e+00;9.332128167963931039e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.021350212251090211e-01;-3.379662370459347365e+00;-3.137572768277230750e+00;9.808098307771933710e-04;8.000000000000000000e+00
3.641601169135538218e-01;-1.013023791458878414e-01;-3.579080250322016266e+00;-3.137206906359113923e+00;1.028390178475413171e-03;8.000000000000000000e+00
3.641601169135538218e-01;-1.003950135104843266e-01;-3.778505700623192354e+00;-3.136823719005139566e+00;1.075952687756641813e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.940945994865083013e-02;-3.977939472866218740e+00;-3.136423212913141967e+00;1.123496178175529972e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.834225409013952479e-02;-4.177382318554420770e+00;-3.136005395211869828e+00;1.171019460632137608e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.718993156470284722e-02;-4.376834989191140224e+00;-3.135570273464204583e+00;1.218521337027794098e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.594902800209294258e-02;-4.576298236279711773e+00;-3.135117855670504383e+00;1.266000599927544473e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.461607903206221970e-02;-4.775772811323474976e+00;-3.134648150272068889e+00;1.313456032223447607e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.318762028436283762e-02;-4.975259465825760508e+00;-3.134161166154730616e+00;1.360886406800436823e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.166018738874719129e-02;-5.174758951289909703e+00;-3.133656912652558635e+00;1.408290486208399256e-03;8.000000000000000000e+00
3.641601169135538218e-01;-9.003031597496749527e-02;-5.374272019219255014e+00;-3.133135399551693734e+00;1.455667022334499383e-03;8.000000000000000000e+00
3.641601169135538218e-01;-8.829454167277607513e-02;-5.573799421117131558e+00;-3.132596637094291481e+00;1.503014756081111781e-03;8.000000000000000000e+00
3.641601169135538218e-01;-8.644940011192517315e-02;-5.773341908486882446e+00;-3.132040635982586529e+00;1.550332417047655710e-03;8.000000000000000000e+00
3.641601169135538218e-01;-8.449142692216712880e-02;-5.972900232831834799e+00;-3.131467407383076829e+00;1.597618723215602507e-03;8.000000000000000000e+00
3.641601169135538218e-01;-8.241715773325421213e-02;-6.172475145655331730e+00;-3.130876962930810858e+00;1.644872380636773750e-03;8.000000000000000000e+00
3.641601169135538218e-01;-8.022312817493863768e-02;-6.372067398460704801e+00;-3.130269314733799213e+00;1.692092083129078349e-03;8.000000000000000000e+00
3.641601169135538218e-01;-7.790587387697277266e-02;-6.571677742751290907e+00;-3.129644475377531432e+00;1.739276511973225853e-03;8.000000000000000000e+00
3.641601169135538218e-01;-7.546193046910884550e-02;-6.771306930030425164e+00;-3.129002457929599412e+00;1.786424335615415665e-03;8.000000000000000000e+00
3.641601169135538218e-01;-7.288783358109922339e-02;-6.970955711801449795e+00;-3.128343275944435842e+00;1.833534209376366450e-03;8.000000000000000000e+00
3.641601169135538218e-01;-7.018011884269610701e-02;-7.170624839567693698e+00;-3.127666943468152994e+00;1.880604775161931084e-03;8.000000000000000000e+00
3.641601169135538218e-01;-6.733532188365187743e-02;-7.370315064832496432e+00;-3.126973475043485884e+00;1.927634661182248826e-03;8.000000000000000000e+00
3.641601169135538218e-01;-6.434997833371866593e-02;-7.570027139099189561e+00;-3.126262885714839790e+00;1.974622481674190213e-03;8.000000000000000000e+00
3.641601169135538218e-01;-6.122062382264890912e-02;-7.769761813871118861e+00;-3.125535191033437243e+00;2.021566836629410963e-03;8.000000000000000000e+00
3.641601169135538218e-01;-5.794379398019478683e-02;-7.969519840651610565e+00;-3.124790407062561837e+00;2.068466311528378756e-03;8.000000000000000000e+00
3.641601169135538218e-01;-5.451602443610866627e-02;-8.169301970944008673e+00;-3.124028550382899283e+00;2.115319477081113383e-03;8.000000000000000000e+00
3.641601169135538218e-01;-5.093385082014277587e-02;-8.369108956251642084e+00;-3.123249638097971737e+00;2.162124888971824616e-03;8.000000000000000000e+00
3.641601169135538218e-01;-4.719380876204942732e-02;-8.568941548077850356e+00;-3.122453687839665371e+00;2.208881087611476880e-03;8.000000000000000000e+00
3.641601169135538218e-01;-4.329243389158090455e-02;-8.768800497925969495e+00;-3.121640717773844109e+00;2.255586597895845209e-03;8.000000000000000000e+00
3.641601169135538218e-01;-3.922626183848947762e-02;-8.968686557299339057e+00;-3.120810746606056618e+00;2.302239928970638023e-03;8.000000000000000000e+00
3.641601169135538218e-01;-3.499182823252741659e-02;-9.168600477701284390e+00;-3.119963793587319234e+00;2.348839574002236502e-03;8.000000000000000000e+00
3.641601169135538218e-01;-3.058566870344704702e-02;-9.368543010635152157e+00;-3.119099878519989044e+00;2.395384009956234156e-03;8.000000000000000000e+00
3.641601169135538218e-01;-2.600431888100063205e-02;-9.568514907604276587e+00;-3.118219021763712462e+00;2.441871697383781337e-03;8.000000000000000000e+00
3.641601169135538218e-01;-2.124431439494045559e-02;-9.768516920111984803e+00;-3.117321244241453293e+00;2.488301080211955622e-03;8.000000000000000000e+00
3.641601169135538218e-01;-1.630219087501880160e-02;-9.968549799661632349e+00;-3.116406567445591858e+00;2.534670585546329891e-03;8.000000000000000000e+00
3.641601169135538218e-01;-1.117448395098798175e-02;-1.016861429775653747e+01;-3.115475013444100938e+00;2.580978623476215365e-03;8.000000000000000000e+00
3.641601169135538218e-01;-5.857729252600252234e-03;-1.036871116590004149e+01;-3.114526604886786565e+00;2.627223586891617481e-03;8.000000000000000000e+00
3.641601169135538218e-01;-3.484624096078969835e-04;-1.056884115559548398e+01;-3.113561365011593640e+00;2.673403851305070252e-03;8.000000000000000000e+00
3.641601169135538218e-01;5.356780948236800066e-03;-1.076900501834618851e+01;-3.112579317650983057e+00;2.719517774684442751e-03;8.000000000000000000e+00
3.641601169135538218e-01;1.126146519118151335e-02;-1.096920350565551061e+01;-3.111580487238357673e+00;2.765563697291113267e-03;8.000000000000000000e+00
3.641601169135538218e-01;1.736905468947394504e-02;-1.116943736902676854e+01;-3.110564898814554446e+00;2.811539941529485071e-03;8.000000000000000000e+00
3.641601169135538218e-01;2.368301381336192224e-02;-1.136970735996331072e+01;-3.109532578034384098e+00;2.857444811803451935e-03;8.000000000000000000e+00
3.641601169135538218e-01;3.020680693309309162e-02;-1.157001422996846962e+01;-3.108483551173228498e+00;2.903276594381156046e-03;8.000000000000000000e+00
3.641601169135538218e-01;3.694389841891516923e-02;-1.177035873054558124e+01;-3.107417845133677581e+00;2.949033557271455754e-03;8.000000000000000000e+00
3.641601169135538218e-01;4.389775264107587116e-02;-1.197074161319797625e+01;-3.106335487452217770e+00;2.994713950106609249e-03;8.000000000000000000e+00
3.641601169135538218e-01;5.107183396982289958e-02;-1.217116362942900132e+01;-3.105236506305955935e+00;3.040316004036667640e-03;8.000000000000000000e+00
3.641601169135538218e-01;5.846960677540397056e-02;-1.237162553074197824e+01;-3.104120930519382870e+00;3.085837931631426646e-03;8.000000000000000000e+00
3.641601169135538218e-01;6.609453542806684179e-02;-1.257212806864026078e+01;-3.102988789571171413e+00;3.131277926794332703e-03;8.000000000000000000e+00
3.641601169135538218e-01;7.395008429805918770e-02;-1.277267199462717073e+01;-3.101840113601003424e+00;3.176634164684800313e-03;8.000000000000000000e+00
3.641601169135538218e-01;8.203971775562873825e-02;-1.297325806020605299e+01;-3.100674933416422974e+00;3.221904801651627286e-03;8.000000000000000000e+00
3.641601169135538218e-01;9.036690017102314010e-02;-1.317388701688023289e+01;-3.099493280499713066e+00;3.267087975175558909e-03;8.000000000000000000e+00
3.641601169135538218e-01;9.893509591449022034e-02;-1.337455961615305711e+01;-3.098295187014792340e+00;3.312181803823555440e-03;8.000000000000000000e+00
