# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3641601;-0.1082142;0.0100115;4.7128350;0.0002191;8.0000000
0.3641601;-0.1081218;-0.1893926;4.7129124;0.0002511;8.0000000
0.3641601;-0.1080136;-0.3887916;4.7130029;0.0002866;8.0000000
0.3641601;-0.1078861;-0.5881861;4.7131087;0.0003255;8.0000000
0.3641601;-0.1077358;-0.7875769;4.7132316;0.0003674;8.0000000
0.3641601;-0.1075593;-0.9869648;4.7133718;0.0004115;8.0000000
0.3641601;-0.1073531;-1.1863504;4.7135294;0.0004574;8.0000000
0.3641601;-0.1071138;-1.3857346;4.7137043;0.0005044;8.0000000
0.3641601;-0.1068379;-1.5851181;4.7138966;0.0005520;8.0000000
0.3641601;-0.1065218;-1.7845017;4.7141063;0.0005997;8.0000000
0.3641601;-0.1061623;-1.9838861;4.7143334;0.0006473;8.0000000
0.3641601;-0.1057557;-2.1832720;4.7145778;0.0006950;8.0000000
0.3641601;-0.1052986;-2.3826602;4.7148396;0.0007427;8.0000000
0.3641601;-0.1047876;-2.5820515;4.7151188;0.0007903;8.0000000
0.3641601;-0.1042192;-2.7814466;4.7154153;0.0008380;8.0000000
0.3641601;-0.1035900;-2.9808463;4.7157291;0.0008856;8.0000000
0.3641601;-0.1028964;-3.1802513;4.7160603;0.0009332;8.0000000
0.3641601;-0.1021350;-3.3796624;4.7164089;0.0009808;8.0000000
0.3641601;-0.1013024;-3.5790803;4.7167747;0.0010284;8.0000000
0.3641601;-0.1003950;-3.7785057;4.7171579;0.0010760;8.0000000
0.3641601;-0.0994095;-3.9779395;4.7175584;0.0011235;8.0000000
0.3641601;-0.0983423;-4.1773823;4.7179762;0.0011710;8.0000000
0.3641601;-0.0971899;-4.3768350;4.7184114;0.0012185;8.0000000
0.3641601;-0.0959490;-4.5762982;4.7188638;0.0012660;8.0000000
0.3641601;-0.0946161;-4.7757728;4.7193335;0.0013135;8.0000000
0.3641601;-0.0931876;-4.9752595;4.7198205;0.0013609;8.0000000
0.3641601;-0.0916602;-5.1747590;4.7203247;0.0014083;8.0000000
0.3641601;-0.0900303;-5.3742720;4.7208462;0.0014557;8.0000000
0.3641601;-0.0882945;-5.5737994;4.7213850;0.0015030;8.0000000
0.3641601;-0.0864494;-5.7733419;4.7219410;0.0015503;8.0000000
0.3641601;-0.0844914;-5.9729002;4.7225142;0.0015976;8.0000000
0.3641601;-0.0824172;-6.1724751;4.7231047;0.0016449;8.0000000
0.3641601;-0.0802231;-6.3720674;4.7237123;0.0016921;8.0000000
0.3641601;-0.0779059;-6.5716777;4.7243372;0.0017393;8.0000000
0.3641601;-0.0754619;-6.7713069;4.7249792;0.0017864;8.0000000
0.3641601;-0.0728878;-6.9709557;4.7256384;0.0018335;8.0000000
0.3641601;-0.0701801;-7.1706248;4.7263147;0.0018806;8.0000000
0.3641601;-0.0673353;-7.3703151;4.7270082;0.0019276;8.0000000
0.3641601;-0.0643500;-7.5700271;4.7277187;0.0019746;8.0000000
0.3641601;-0.0612206;-7.7697618;4.7284464;0.0020216;8.0000000
0.3641601;-0.0579438;-7.9695198;4.7291912;0.0020685;8.0000000
0.3641601;-0.0545160;-8.1693020;4.7299531;0.0021153;8.0000000
0.3641601;-0.0509339;-8.3691090;4.7307320;0.0021621;8.0000000
0.3641601;-0.0471938;-8.5689415;4.7315279;0.0022089;8.0000000
0.3641601;-0.0432924;-8.7688005;4.7323409;0.0022556;8.0000000
0.3641601;-0.0392263;-8.9686866;4.7331709;0.0023022;8.0000000
0.3641601;-0.0349918;-9.1686005;4.7340178;0.0023488;8.0000000
0.3641601;-0.0305857;-9.3685430;4.7348818;0.0023954;8.0000000
0.3641601;-0.0260043;-9.5685149;4.7357626;0.0024419;8.0000000
0.3641601;-0.0212443;-9.7685169;4.7366604;0.0024883;8.0000000
0.3641601;-0.0163022;-9.9685498;4.7375751;0.0025347;8.0000000
0.3641601;-0.0111745;-10.1686143;4.7385066;0.0025810;8.0000000
0.3641601;-0.0058577;-10.3687112;4.7394550;0.0026272;8.0000000
0.3641601;-0.0003485;-10.5688412;4.7404203;0.0026734;8.0000000
0.3641601;0.0053568;-10.7690050;4.7414023;0.0027195;8.0000000
