# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.477484345405766120e-01;-6.509603377505075450e-01;6.208328219748833199e-01;8.096721397890793703e-01;-1.311666245606348425e-04;8.000000000000000000e+00
4.477484345405766120e-01;-7.967142614025174430e-01;7.596852907099900243e-01;8.096106122922308579e-01;-1.358922686965811043e-04;8.000000000000000000e+00
4.477484345405766120e-01;-9.424543036295282006e-01;8.985419970822060565e-01;8.095475380559888912e-01;-1.397702719451928170e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.088180419275407429e+00;1.037403115718793734e+00;8.094835499728634254e-01;-1.428358098792019068e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.233892563184021407e+00;1.176268821247013596e+00;8.094187746375278714e-01;-1.452654152504676368e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.379590690199233638e+00;1.315139288294125297e+00;8.093532120542468178e-01;-1.472710039260887902e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.525274755164908402e+00;1.454014691487385935e+00;8.092868622293867276e-01;-1.490645471038728879e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.670944712924915088e+00;1.592895205454061269e+00;8.092197251714168260e-01;-1.508227275938487234e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.816600518323117308e+00;1.731781004821407510e+00;8.091518008909091009e-01;-1.525808821117056807e-04;8.000000000000000000e+00
4.477484345405766120e-01;-1.962242126203379788e+00;1.870672264216685754e+00;8.090830894005418550e-01;-1.543390059523380969e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.107869491409570806e+00;2.009569158267157540e+00;8.090135907150988182e-01;-1.560970944080367605e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.253482568785552864e+00;2.148471861600080857e+00;8.089433048514771407e-01;-1.578551427678690183e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.399081313175188690e+00;2.287380548842713690e+00;8.088722318286771795e-01;-1.596131463170588833e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.544665679422352333e+00;2.426295394622322465e+00;8.088003716678171529e-01;-1.613711003372349099e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.690235622370903634e+00;2.565216573566164726e+00;8.087277243921264791e-01;-1.631290001060585839e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.835791096864707761e+00;2.704144260301498459e+00;8.086542900269488854e-01;-1.648868409003231893e-04;8.000000000000000000e+00
4.477484345405766120e-01;-2.981332057747628550e+00;2.843078629455582984e+00;8.085800685997446280e-01;-1.666446179893836239e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.126858459863538275e+00;2.982019855655682949e+00;8.085050601400931569e-01;-1.684023266423466121e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.272370258056297221e+00;3.120968113529057231e+00;8.084292646796935600e-01;-1.701599621241037708e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.417867407169768335e+00;3.259923577702960262e+00;8.083526822523614541e-01;-1.719175196950833821e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.563349862047825223e+00;3.398886422804660246e+00;8.082753128940423082e-01;-1.736749946129862278e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.708817577534327725e+00;3.537856823461412947e+00;8.081971566428003406e-01;-1.754323821325376323e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.854270508473141899e+00;3.676834954300479019e+00;8.081182135388260690e-01;-1.771896775038756607e-04;8.000000000000000000e+00
4.477484345405766120e-01;-3.999708609708132023e+00;3.815820989949116449e+00;8.080384836244403068e-01;-1.789468759736671420e-04;8.000000000000000000e+00
4.477484345405766120e-01;-4.145131836083167265e+00;3.954815105034590328e+00;8.079579669440901668e-01;-1.807039727863470752e-04;8.000000000000000000e+00
4.477484345405766120e-01;-4.290540142442111460e+00;4.093817474184158201e+00;8.078766635443526134e-01;-1.824609631823833093e-04;8.000000000000000000e+00
4.477484345405766120e-01;-4.435933483628826224e+00;4.232828272025076721e+00;8.077945734739406802e-01;-1.842178423981523209e-04;8.000000000000000000e+00
4.477484345405766120e-01;-4.581311814487184719e+00;4.371847673184614536e+00;8.077116967836963646e-01;-1.859746056673030592e-04;8.000000000000000000e+00
4.477484345405766120e-01;-4.726675089861046786e+00;4.510875852290023857e+00;8.076280335265995092e-01;-1.877312482195172421e-04;8.000000000000000000e+00
4.477484345405766120e-01;-4.872023264594280256e+00;4.649912983968568447e+00;8.075435837577629172e-01;-1.894877652802612366e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.017356293530747635e+00;4.788959242847504072e+00;8.074583475344403460e-01;-1.912441520738856571e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.162674131514317644e+00;4.928014803554098044e+00;8.073723249160256188e-01;-1.930004038185421380e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.307976733388854562e+00;5.067079840715606132e+00;8.072855159640530687e-01;-1.947565157326304605e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.453264053998220007e+00;5.206154528959285877e+00;8.071979207422019797e-01;-1.965124830253757243e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.598536048186288916e+00;5.345239042912404592e+00;8.071095393162917020e-01;-1.982683009081107723e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.743792670796921129e+00;5.484333557202218934e+00;8.070203717542927535e-01;-2.000239645855976403e-04;8.000000000000000000e+00
4.477484345405766120e-01;-5.889033876673980927e+00;5.623438246455987333e+00;8.069304181263126097e-01;-2.017794692590029056e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.034259620661331702e+00;5.762553285300965555e+00;8.068396785046245689e-01;-2.035348101293692755e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.179469857602843064e+00;5.901678848364423580e+00;8.067481529636353343e-01;-2.052899823890608796e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.324664542342384621e+00;6.040815110273618060e+00;8.066558415799152115e-01;-2.070449812324255039e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.469843629723809997e+00;6.179962245655805653e+00;8.065627444321878947e-01;-2.087998018448844538e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.615007074590998570e+00;6.319120429138253670e+00;8.064688616013224731e-01;-2.105544394137188482e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.760154831787803964e+00;6.458289835348212549e+00;8.063741931703591881e-01;-2.123088891180271694e-04;8.000000000000000000e+00
4.477484345405766120e-01;-6.905286856158097564e+00;6.597470638912948715e+00;8.062787392244823437e-01;-2.140631461367838672e-04;8.000000000000000000e+00
4.477484345405766120e-01;-7.050403102545743650e+00;6.736663014459720600e+00;8.061824998510451756e-01;-2.158172056449961598e-04;8.000000000000000000e+00
4.477484345405766120e-01;-7.195503525794610056e+00;6.875867136615791075e+00;8.060854751395600815e-01;-2.175710628118441940e-04;8.000000000000000000e+00
4.477484345405766120e-01;-7.340588080748557509e+00;7.015083180008415020e+00;8.059876651817021731e-01;-2.193247128067561549e-04;8.000000000000000000e+00
4.477484345405766120e-01;-7.485656722251452955e+00;7.154311319264854419e+00;8.058890700713106092e-01;-2.210781507918454679e-04;8.000000000000000000e+00
