# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4477484;-0.6509603;0.6208328;2.3804685;-0.0001312;8.0000000
0.4477484;-0.7967143;0.7596853;2.3804069;-0.0001359;8.0000000
0.4477484;-0.9424543;0.8985420;2.3803439;-0.0001398;8.0000000
0.4477484;-1.0881804;1.0374031;2.3802799;-0.0001428;8.0000000
0.4477484;-1.2338926;1.1762688;2.3802151;-0.0001453;8.0000000
0.4477484;-1.3795907;1.3151393;2.3801495;-0.0001473;8.0000000
0.4477484;-1.5252748;1.4540147;2.3800832;-0.0001491;8.0000000
0.4477484;-1.6709447;1.5928952;2.3800161;-0.0001508;8.0000000
0.4477484;-1.8166005;1.7317810;2.3799481;-0.0001526;8.0000000
0.4477484;-1.9622421;1.8706723;2.3798794;-0.0001543;8.0000000
0.4477484;-2.1078695;2.0095692;2.3798099;-0.0001561;8.0000000
0.4477484;-2.2534826;2.1484719;2.3797396;-0.0001579;8.0000000
0.4477484;-2.3990813;2.2873805;2.3796686;-0.0001596;8.0000000
0.4477484;-2.5446657;2.4262954;2.3795967;-0.0001614;8.0000000
0.4477484;-2.6902356;2.5652166;2.3795241;-0.0001631;8.0000000
0.4477484;-2.8357911;2.7041443;2.3794506;-0.0001649;8.0000000
0.4477484;-2.9813321;2.8430786;2.3793764;-0.0001666;8.0000000
0.4477484;-3.1268585;2.9820199;2.3793014;-0.0001684;8.0000000
0.4477484;-3.2723703;3.1209681;2.3792256;-0.0001702;8.0000000
0.4477484;-3.4178674;3.2599236;2.3791490;-0.0001719;8.0000000
0.4477484;-3.5633499;3.3988864;2.3790716;-0.0001737;8.0000000
0.4477484;-3.7088176;3.5378568;2.3789935;-0.0001754;8.0000000
0.4477484;-3.8542705;3.6768350;2.3789145;-0.0001772;8.0000000
0.4477484;-3.9997086;3.8158210;2.3788348;-0.0001789;8.0000000
0.4477484;-4.1451318;3.9548151;2.3787543;-0.0001807;8.0000000
0.4477484;-4.2905401;4.0938175;2.3786730;-0.0001825;8.0000000
0.4477484;-4.4359335;4.2328283;2.3785909;-0.0001842;8.0000000
0.4477484;-4.5813118;4.3718477;2.3785080;-0.0001860;8.0000000
0.4477484;-4.7266751;4.5108759;2.3784244;-0.0001877;8.0000000
0.4477484;-4.8720233;4.6499130;2.3783399;-0.0001895;8.0000000
