# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.152210625665361254e-01;8.324569786615558797e-01;-8.049827385399582758e-02;-1.724945630674994401e+00;6.474683860092853016e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.031897135665241327e+00;-1.114591917538485105e-01;-1.724664886911424944e+00;6.563559376766304196e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.231348982704642880e+00;-1.423640348589033100e-01;-1.724382968093261193e+00;6.622154256976730364e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.430812446697097062e+00;-1.732131918047165042e-01;-1.724102492217804539e+00;6.650472719015904262e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.630287454559924853e+00;-2.040070512268408742e-01;-1.723823982759530304e+00;6.649780369270329259e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.829773933210452785e+00;-2.347460017608321292e-01;-1.723547439621434307e+00;6.626386896708337960e-04;8.000000000000000000e+00
4.152210625665361254e-01;2.029271809566008944e+00;-2.654304320422446462e-01;-1.723272862705462760e+00;6.587861748715860338e-04;8.000000000000000000e+00
4.152210625665361254e-01;2.228781010543912977e+00;-2.960607307066321914e-01;-1.723000251912542247e+00;6.541772754843470667e-04;8.000000000000000000e+00
4.152210625665361254e-01;2.428301463061500520e+00;-3.266372863895505851e-01;-1.722729607142615027e+00;6.494425235451365720e-04;8.000000000000000000e+00
4.152210625665361254e-01;2.627833094036091666e+00;-3.571604877265536215e-01;-1.722460928294668125e+00;6.447080156902480590e-04;8.000000000000000000e+00
4.152210625665361254e-01;2.827375830385014055e+00;-3.876307233531960938e-01;-1.722194215266766193e+00;6.399737541073941037e-04;8.000000000000000000e+00
4.152210625665361254e-01;3.026929599025594442e+00;-4.180483819050325178e-01;-1.721929467956081705e+00;6.352397409094210625e-04;8.000000000000000000e+00
4.152210625665361254e-01;3.226494326875159580e+00;-4.484138520176177423e-01;-1.721666686258926271e+00;6.305059781344154318e-04;8.000000000000000000e+00
4.152210625665361254e-01;3.426069940851034445e+00;-4.787275223265061719e-01;-1.721405870070781496e+00;6.257724677476823004e-04;8.000000000000000000e+00
4.152210625665361254e-01;3.625656367870545793e+00;-5.089897814672522669e-01;-1.721147019286329627e+00;6.210392116407831200e-04;8.000000000000000000e+00
4.152210625665361254e-01;3.825253534851020376e+00;-5.392010180754105431e-01;-1.720890133799482635e+00;6.163062116329794289e-04;8.000000000000000000e+00
4.152210625665361254e-01;4.024861368709783171e+00;-5.693616207865360712e-01;-1.720635213503413752e+00;6.115734694716075523e-04;8.000000000000000000e+00
4.152210625665361254e-01;4.224479796364160933e+00;-5.994719782361830340e-01;-1.720382258290586996e+00;6.068409868325057776e-04;8.000000000000000000e+00
4.152210625665361254e-01;4.424108744731483078e+00;-6.295324790599063913e-01;-1.720131268052784268e+00;6.021087653205494088e-04;8.000000000000000000e+00
4.152210625665361254e-01;4.623748140729069256e+00;-6.595435118932601037e-01;-1.719882242681138429e+00;5.973768064709344613e-04;8.000000000000000000e+00
4.152210625665361254e-01;4.823397911274250660e+00;-6.895054653717994642e-01;-1.719635182066160173e+00;5.926451117482145654e-04;8.000000000000000000e+00
4.152210625665361254e-01;5.023057983284354044e+00;-7.194187281310787663e-01;-1.719390086097766668e+00;5.879136825487611294e-04;8.000000000000000000e+00
4.152210625665361254e-01;5.222728283676700833e+00;-7.492836888066521928e-01;-1.719146954665311089e+00;5.831825201997476588e-04;8.000000000000000000e+00
4.152210625665361254e-01;5.422408739368623110e+00;-7.791007360340750365e-01;-1.718905787657611262e+00;5.784516259601116608e-04;8.000000000000000000e+00
4.152210625665361254e-01;5.622099277277441409e+00;-8.088702584489013692e-01;-1.718666584962974975e+00;5.737210010222663827e-04;8.000000000000000000e+00
4.152210625665361254e-01;5.821799824320487815e+00;-8.385926446866864836e-01;-1.718429346469233066e+00;5.689906465107634481e-04;8.000000000000000000e+00
4.152210625665361254e-01;6.021510307415083751e+00;-8.682682833829835634e-01;-1.718194072063760736e+00;5.642605634844325303e-04;8.000000000000000000e+00
4.152210625665361254e-01;6.221230653478558636e+00;-8.978975631733489005e-01;-1.717960761633511302e+00;5.595307529359529837e-04;8.000000000000000000e+00
4.152210625665361254e-01;6.420960789428236559e+00;-9.274808726933357894e-01;-1.717729415065039289e+00;5.548012157931910991e-04;8.000000000000000000e+00
4.152210625665361254e-01;6.620700642181446938e+00;-9.570186005784997452e-01;-1.717500032244526409e+00;5.500719529187719520e-04;8.000000000000000000e+00
4.152210625665361254e-01;6.820450138655511196e+00;-9.865111354643947283e-01;-1.717272613057813979e+00;5.453429651117375817e-04;8.000000000000000000e+00
4.152210625665361254e-01;7.020209205767759642e+00;-1.015958865986575477e+00;-1.717047157390422685e+00;5.406142531074931059e-04;8.000000000000000000e+00
4.152210625665361254e-01;7.219977770435516362e+00;-1.045362180780596617e+00;-1.716823665127583887e+00;5.358858175784488942e-04;8.000000000000000000e+00
4.152210625665361254e-01;7.419755759576108112e+00;-1.074721468482012554e+00;-1.716602136154262714e+00;5.311576591346618735e-04;8.000000000000000000e+00
4.152210625665361254e-01;7.619543100106860756e+00;-1.104037117726378137e+00;-1.716382570355185155e+00;5.264297783240492242e-04;8.000000000000000000e+00
4.152210625665361254e-01;7.819339718945102824e+00;-1.133309517149247991e+00;-1.716164967614864256e+00;5.217021756336728345e-04;8.000000000000000000e+00
4.152210625665361254e-01;8.019145543008155741e+00;-1.162539055386176079e+00;-1.715949327817621661e+00;5.169748514894709603e-04;8.000000000000000000e+00
4.152210625665361254e-01;8.218960499213352477e+00;-1.191726121072718581e+00;-1.715735650847618698e+00;5.122478062576488233e-04;8.000000000000000000e+00
4.152210625665361254e-01;8.418784514478012682e+00;-1.220871102844427902e+00;-1.715523936588876808e+00;5.075210402443044522e-04;8.000000000000000000e+00
4.152210625665361254e-01;8.618617515719469324e+00;-1.249974389336860447e+00;-1.715314184925302632e+00;5.027945536968188474e-04;8.000000000000000000e+00
4.152210625665361254e-01;8.818459429855042941e+00;-1.279036369185569955e+00;-1.715106395740715106e+00;4.980683468044980449e-04;8.000000000000000000e+00
4.152210625665361254e-01;9.018310183802061175e+00;-1.308057431026111050e+00;-1.714900568918866330e+00;4.933424196975030093e-04;8.000000000000000000e+00
4.152210625665361254e-01;9.218169704477851667e+00;-1.337037963494038362e+00;-1.714696704343467104e+00;4.886167724501659908e-04;8.000000000000000000e+00
4.152210625665361254e-01;9.418037918799740282e+00;-1.365978355224906737e+00;-1.714494801898211573e+00;4.838914050786899575e-04;8.000000000000000000e+00
4.152210625665361254e-01;9.617914753685049334e+00;-1.394878994854269916e+00;-1.714294861466798547e+00;4.791663175435564447e-04;8.000000000000000000e+00
4.152210625665361254e-01;9.817800136051111792e+00;-1.423740271017683856e+00;-1.714096882932955035e+00;4.744415097498447991e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.001769399281524642e+01;-1.452562572350702075e+00;-1.713900866180462224e+00;4.697169815469658984e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.021759625089478973e+01;-1.481346287488880087e+00;-1.713706811093172799e+00;4.649927327299454129e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.041750683720705695e+01;-1.510091805067771409e+00;-1.713514717555040923e+00;4.602687630403326383e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.061742567866938103e+01;-1.538799513722930667e+00;-1.713324585450137327e+00;4.555450721651846521e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.081735270219909317e+01;-1.567469802089914488e+00;-1.713136414662675078e+00;4.508216597393656898e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.101728783471350326e+01;-1.596103058804274388e+00;-1.712950205077031551e+00;4.460985253456005960e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.121723100312995491e+01;-1.624699672501567438e+00;-1.712765956577768645e+00;4.413756685135124865e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.141718213436575979e+01;-1.653260031817346043e+00;-1.712583669049653645e+00;4.366530887232052778e-04;8.000000000000000000e+00
4.152210625665361254e-01;1.161714115533825087e+01;-1.681784525387166607e+00;-1.712403342377684767e+00;4.319307854030180870e-04;8.000000000000000000e+00
