# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4152211;0.8324570;-0.0804983;6.1290360;0.0006475;8.0000000
0.4152211;1.0318971;-0.1114592;6.1293167;0.0006564;8.0000000
0.4152211;1.2313490;-0.1423640;6.1295987;0.0006622;8.0000000
0.4152211;1.4308124;-0.1732132;6.1298791;0.0006650;8.0000000
0.4152211;1.6302875;-0.2040071;6.1301577;0.0006650;8.0000000
0.4152211;1.8297739;-0.2347460;6.1304342;0.0006626;8.0000000
0.4152211;2.0292718;-0.2654304;6.1307088;0.0006588;8.0000000
0.4152211;2.2287810;-0.2960607;6.1309814;0.0006542;8.0000000
0.4152211;2.4283015;-0.3266373;6.1312520;0.0006494;8.0000000
0.4152211;2.6278331;-0.3571605;6.1315207;0.0006447;8.0000000
0.4152211;2.8273758;-0.3876307;6.1317874;0.0006400;8.0000000
0.4152211;3.0269296;-0.4180484;6.1320522;0.0006352;8.0000000
0.4152211;3.2264943;-0.4484139;6.1323149;0.0006305;8.0000000
0.4152211;3.4260699;-0.4787275;6.1325758;0.0006258;8.0000000
0.4152211;3.6256564;-0.5089898;6.1328346;0.0006210;8.0000000
0.4152211;3.8252535;-0.5392010;6.1330915;0.0006163;8.0000000
0.4152211;4.0248614;-0.5693616;6.1333464;0.0006116;8.0000000
0.4152211;4.2244798;-0.5994720;6.1335994;0.0006068;8.0000000
0.4152211;4.4241087;-0.6295325;6.1338504;0.0006021;8.0000000
0.4152211;4.6237481;-0.6595435;6.1340994;0.0005974;8.0000000
0.4152211;4.8233979;-0.6895055;6.1343465;0.0005926;8.0000000
0.4152211;5.0230580;-0.7194187;6.1345915;0.0005879;8.0000000
0.4152211;5.2227283;-0.7492837;6.1348347;0.0005832;8.0000000
0.4152211;5.4224087;-0.7791007;6.1350758;0.0005785;8.0000000
0.4152211;5.6220993;-0.8088703;6.1353150;0.0005737;8.0000000
0.4152211;5.8217998;-0.8385926;6.1355523;0.0005690;8.0000000
0.4152211;6.0215103;-0.8682683;6.1357876;0.0005643;8.0000000
0.4152211;6.2212307;-0.8978976;6.1360209;0.0005595;8.0000000
0.4152211;6.4209608;-0.9274809;6.1362522;0.0005548;8.0000000
0.4152211;6.6207006;-0.9570186;6.1364816;0.0005501;8.0000000
0.4152211;6.8204501;-0.9865111;6.1367090;0.0005453;8.0000000
0.4152211;7.0202092;-1.0159589;6.1369345;0.0005406;8.0000000
0.4152211;7.2199778;-1.0453622;6.1371580;0.0005359;8.0000000
0.4152211;7.4197558;-1.0747215;6.1373795;0.0005312;8.0000000
0.4152211;7.6195431;-1.1040371;6.1375991;0.0005264;8.0000000
0.4152211;7.8193397;-1.1333095;6.1378167;0.0005217;8.0000000
0.4152211;8.0191455;-1.1625391;6.1380323;0.0005170;8.0000000
0.4152211;8.2189605;-1.1917261;6.1382460;0.0005122;8.0000000
0.4152211;8.4187845;-1.2208711;6.1384577;0.0005075;8.0000000
0.4152211;8.6186175;-1.2499744;6.1386674;0.0005028;8.0000000
0.4152211;8.8184594;-1.2790364;6.1388752;0.0004981;8.0000000
0.4152211;9.0183102;-1.3080574;6.1390811;0.0004933;8.0000000
0.4152211;9.2181697;-1.3370380;6.1392849;0.0004886;8.0000000
0.4152211;9.4180379;-1.3659784;6.1394868;0.0004839;8.0000000
0.4152211;9.6179148;-1.3948790;6.1396868;0.0004792;8.0000000
0.4152211;9.8178001;-1.4237403;6.1398848;0.0004744;8.0000000
0.4152211;10.0176940;-1.4525626;6.1400808;0.0004697;8.0000000
0.4152211;10.2175963;-1.4813463;6.1402748;0.0004650;8.0000000
0.4152211;10.4175068;-1.5100918;6.1404669;0.0004603;8.0000000
0.4152211;10.6174257;-1.5387995;6.1406570;0.0004555;8.0000000
0.4152211;10.8173527;-1.5674698;6.1408452;0.0004508;8.0000000
0.4152211;11.0172878;-1.5961031;6.1410314;0.0004461;8.0000000
0.4152211;11.2172310;-1.6246997;6.1412157;0.0004414;8.0000000
0.4152211;11.4171821;-1.6532600;6.1413980;0.0004367;8.0000000
0.4152211;11.6171412;-1.6817845;6.1415783;0.0004319;8.0000000
0.4152211;11.8171080;-1.7102735;6.1417567;0.0004272;8.0000000
0.4152211;12.0170826;-1.7387275;6.1419331;0.0004225;8.0000000
