# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.267933256553207100e-01;-8.221835517469533450e-02;1.571322335865765751e-02;-2.934516793733903839e+00;-6.887556108201438017e-04;8.000000000000000000e+00
3.267933256553207100e-01;-4.013639486255209110e-02;-1.842325441830051647e-01;-2.934510474200920704e+00;-1.213007605108125386e-03;8.000000000000000000e+00
3.267933256553207100e-01;1.989759641191749667e-03;-3.843586240891059824e-01;-2.934721772939086648e+00;-1.830454933570501092e-03;8.000000000000000000e+00
3.267933256553207100e-01;4.408800977258475751e-02;-5.846602197465707862e-01;-2.935211387125879590e+00;-2.541144435667542795e-03;8.000000000000000000e+00
3.267933256553207100e-01;8.608625696767482904e-02;-7.851325345423245672e-01;-2.936029778278435032e+00;-3.342551329725905462e-03;8.000000000000000000e+00
3.267933256553207100e-01;1.279124026625104438e-01;-9.857707718632928717e-01;-2.937186706120678448e+00;-4.221761464923960532e-03;8.000000000000000000e+00
3.267933256553207100e-01;1.694943482931395851e-01;-1.186570135096400413e+00;-2.938681911974295957e+00;-5.163344425799302334e-03;8.000000000000000000e+00
3.267933256553207100e-01;2.107599952956103750e-01;-1.387525827628571795e+00;-2.940515321623557110e+00;-6.151964597707803607e-03;8.000000000000000000e+00
3.267933256553207100e-01;2.516372451059712967e-01;-1.588633052846734284e+00;-2.942687039660940584e+00;-7.172367692324634059e-03;8.000000000000000000e+00
3.267933256553207100e-01;2.920539991602698060e-01;-1.789887014137809595e+00;-2.945197342922440065e+00;-8.209360642592082591e-03;8.000000000000000000e+00
3.267933256553207100e-01;3.319381588945545802e-01;-1.991282914888724109e+00;-2.948046672985753958e+00;-9.250385434578732233e-03;8.000000000000000000e+00
3.267933256553207100e-01;3.712176257448739913e-01;-2.192815958486404426e+00;-2.951235627697704977e+00;-1.029328416172786524e-02;8.000000000000000000e+00
3.267933256553207100e-01;4.098203011472754675e-01;-2.394481348317775371e+00;-2.954764951690833641e+00;-1.133847041309542919e-02;8.000000000000000000e+00
3.267933256553207100e-01;4.476740865378078804e-01;-2.596274287769761102e+00;-2.958635525843305469e+00;-1.238632290066457586e-02;8.000000000000000000e+00
3.267933256553207100e-01;4.847068833525188247e-01;-2.798189980229285556e+00;-2.962848355631057196e+00;-1.343718191544795125e-02;8.000000000000000000e+00
3.267933256553207100e-01;5.208465930274563949e-01;-3.000223629083274446e+00;-2.967404558316638408e+00;-1.449134562451026738e-02;8.000000000000000000e+00
3.267933256553207100e-01;5.560211169986698510e-01;-3.202370437718656593e+00;-2.972305348915549317e+00;-1.554906620167155473e-02;8.000000000000000000e+00
3.267933256553207100e-01;5.901583567022057331e-01;-3.404625609522351048e+00;-2.977552024878193926e+00;-1.661054578812630467e-02;8.000000000000000000e+00
3.267933256553207100e-01;6.231862135741136344e-01;-3.606984347881289299e+00;-2.983145949423974930e+00;-1.767593228317010726e-02;8.000000000000000000e+00
3.267933256553207100e-01;6.550325890504404835e-01;-3.809441856182389952e+00;-2.989088533463743147e+00;-1.874531496969682187e-02;8.000000000000000000e+00
3.267933256553207100e-01;6.856253845672353187e-01;-4.011993337812580940e+00;-2.995381216047957817e+00;-1.981871998416875197e-02;8.000000000000000000e+00
3.267933256553207100e-01;7.148925015605459565e-01;-4.214633996158789309e+00;-3.002025443280692762e+00;-2.089610564639491838e-02;8.000000000000000000e+00
3.267933256553207100e-01;7.427618414664205471e-01;-4.417359034607938995e+00;-3.009022645644301885e+00;-2.197735767072236945e-02;8.000000000000000000e+00
3.267933256553207100e-01;7.691613057209073512e-01;-4.620163656546954378e+00;-3.016374213686326300e+00;-2.306228428713936324e-02;8.000000000000000000e+00
3.267933256553207100e-01;7.940187957600544078e-01;-4.823043065362759840e+00;-3.024081472029338524e+00;-2.415061130832575273e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.172622130199097557e-01;-5.025992464442281538e+00;-3.032145651676149800e+00;-2.524197718682577585e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.388194589365222109e-01;-5.229007057172444739e+00;-3.040567860597354066e+00;-2.633592811520718557e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.586184349459388132e-01;-5.432082046940173825e+00;-3.049349052605802246e+00;-2.743191323123416944e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.765870424842088227e-01;-5.635212637132395841e+00;-3.058489994543531321e+00;-2.852927999957932670e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.926531829873792789e-01;-5.838394031136031614e+00;-3.067991231831026511e+00;-2.962726985129595161e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.067447578914992201e-01;-6.041621432338010855e+00;-3.077853052456656080e+00;-3.072501417192460837e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.187896686326164630e-01;-6.244890044125255280e+00;-3.088075449515725435e+00;-3.182153073849599417e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.287158166467794906e-01;-6.448195069884691932e+00;-3.098658082443813910e+00;-3.291572071447802783e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.364511033700357867e-01;-6.651531713003246082e+00;-3.109600237127771116e+00;-3.400636631956413525e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.419234302384339452e-01;-6.854895176867843887e+00;-3.120900785119673948e+00;-3.509212929770808703e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.450606986880223381e-01;-7.058280664865407061e+00;-3.132558142223837550e+00;-3.617155031150925959e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.457908101548484492e-01;-7.261683380382859987e+00;3.138615080405646740e+00;-3.723636180099513387e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.440416660749613165e-01;-7.465098526807132373e+00;3.126250889213722850e+00;-3.822984999959900404e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.397411678844080907e-01;-7.668521307525148600e+00;3.113537792518720870e+00;-3.907485306453851309e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.328172170192374768e-01;-7.871946925923827720e+00;3.100479612057503331e+00;-3.969553422751920246e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.231977149154978468e-01;-8.075370585390102107e+00;3.087080828985760750e+00;-4.001758940654556035e-02;8.000000000000000000e+00
3.267933256553207100e-01;9.108105630092370175e-01;-8.278787489310893477e+00;3.073346620703678145e+00;-3.996819895157944363e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.955836627365030278e-01;-8.482192841073128875e+00;3.059309120623906697e+00;-3.948232131794020966e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.774449155333448047e-01;-8.685581844063733570e+00;3.045190739815784919e+00;-3.854300774032380639e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.563222228358094990e-01;-8.888949701669627501e+00;3.031294410546330642e+00;-3.715400207003564242e-02;8.000000000000000000e+00
3.267933256553207100e-01;8.321759930843424247e-01;-9.092288160457137280e+00;3.017918242325308142e+00;-3.531858689796949641e-02;8.000000000000000000e+00
