# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3267933;-0.0822184;0.0157132;4.9194648;-0.0006888;8.0000000
0.3267933;-0.0401364;-0.1842325;4.9194712;-0.0012130;8.0000000
0.3267933;0.0019898;-0.3843586;4.9192599;-0.0018305;8.0000000
0.3267933;0.0440880;-0.5846602;4.9187702;-0.0025411;8.0000000
0.3267933;0.0860863;-0.7851325;4.9179519;-0.0033426;8.0000000
0.3267933;0.1279124;-0.9857708;4.9167949;-0.0042218;8.0000000
0.3267933;0.1694943;-1.1865701;4.9152997;-0.0051633;8.0000000
0.3267933;0.2107600;-1.3875258;4.9134663;-0.0061520;8.0000000
0.3267933;0.2516372;-1.5886331;4.9112946;-0.0071724;8.0000000
0.3267933;0.2920540;-1.7898870;4.9087843;-0.0082094;8.0000000
0.3267933;0.3319382;-1.9912829;4.9059350;-0.0092504;8.0000000
0.3267933;0.3712176;-2.1928160;4.9027460;-0.0102933;8.0000000
0.3267933;0.4098203;-2.3944813;4.8992167;-0.0113385;8.0000000
0.3267933;0.4476741;-2.5962743;4.8953461;-0.0123863;8.0000000
0.3267933;0.4847069;-2.7981900;4.8911333;-0.0134372;8.0000000
0.3267933;0.5208466;-3.0002236;4.8865771;-0.0144913;8.0000000
0.3267933;0.5560211;-3.2023704;4.8816763;-0.0155491;8.0000000
0.3267933;0.5901584;-3.4046256;4.8764296;-0.0166105;8.0000000
0.3267933;0.6231862;-3.6069843;4.8708357;-0.0176759;8.0000000
0.3267933;0.6550326;-3.8094419;4.8648931;-0.0187453;8.0000000
0.3267933;0.6856254;-4.0119933;4.8586004;-0.0198187;8.0000000
0.3267933;0.7148925;-4.2146340;4.8519562;-0.0208961;8.0000000
0.3267933;0.7427618;-4.4173590;4.8449590;-0.0219774;8.0000000
0.3267933;0.7691613;-4.6201637;4.8376074;-0.0230623;8.0000000
0.3267933;0.7940188;-4.8230431;4.8299002;-0.0241506;8.0000000
0.3267933;0.8172622;-5.0259925;4.8218360;-0.0252420;8.0000000
0.3267933;0.8388195;-5.2290071;4.8134138;-0.0263359;8.0000000
0.3267933;0.8586184;-5.4320820;4.8046326;-0.0274319;8.0000000
0.3267933;0.8765870;-5.6352126;4.7954916;-0.0285293;8.0000000
0.3267933;0.8926532;-5.8383940;4.7859904;-0.0296273;8.0000000
0.3267933;0.9067448;-6.0416214;4.7761286;-0.0307250;8.0000000
0.3267933;0.9187897;-6.2448900;4.7659062;-0.0318215;8.0000000
0.3267933;0.9287158;-6.4481951;4.7553236;-0.0329157;8.0000000
0.3267933;0.9364511;-6.6515317;4.7443814;-0.0340064;8.0000000
0.3267933;0.9419234;-6.8548952;4.7330808;-0.0350921;8.0000000
0.3267933;0.9450607;-7.0582807;4.7214235;-0.0361716;8.0000000
0.3267933;0.9457908;-7.2616834;4.7094114;-0.0372364;8.0000000
0.3267933;0.9440417;-7.4650985;4.6970472;-0.0382298;8.0000000
0.3267933;0.9397412;-7.6685213;4.6843341;-0.0390749;8.0000000
0.3267933;0.9328172;-7.8719469;4.6712759;-0.0396955;8.0000000
0.3267933;0.9231977;-8.0753706;4.6578772;-0.0400176;8.0000000
0.3267933;0.9108106;-8.2787875;4.6441429;-0.0399682;8.0000000
0.3267933;0.8955837;-8.4821928;4.6301054;-0.0394823;8.0000000
0.3267933;0.8774449;-8.6855818;4.6159871;-0.0385430;8.0000000
0.3267933;0.8563222;-8.8889497;4.6020907;-0.0371540;8.0000000
0.3267933;0.8321760;-9.0922882;4.5887146;-0.0353186;8.0000000
0.3267933;0.8052030;-9.2955638;4.5761511;-0.0330394;8.0000000
0.3267933;0.7757045;-9.4987322;4.5646874;-0.0303184;8.0000000
0.3267933;0.7439821;-9.7017488;4.5545807;-0.0271633;8.0000000
0.3267933;0.7103375;-9.9045690;4.5459000;-0.0236295;8.0000000
0.3267933;0.6750724;-10.1071482;4.5386340;-0.0197917;8.0000000
0.3267933;0.6384885;-10.3094420;4.5327734;-0.0157225;8.0000000
0.3267933;0.6008875;-10.5114058;4.5283125;-0.0114918;8.0000000
0.3267933;0.5625710;-10.7129951;4.5252489;-0.0071670;8.0000000
0.3267933;0.5238407;-10.9141653;4.5235842;-0.0028068;8.0000000
0.3267933;0.4849983;-11.1148718;4.5233237;0.0015791;8.0000000
0.3267933;0.4463455;-11.3150701;4.5244771;0.0060025;8.0000000
0.3267933;0.4081839;-11.5147157;4.5270584;0.0104755;8.0000000
0.3267933;0.3708153;-11.7137641;4.5310858;0.0150102;8.0000000
0.3267933;0.3345413;-11.9121706;4.5365820;0.0196184;8.0000000
0.3267933;0.2996636;-12.1098907;4.5435739;0.0243113;7.5601651
0.3267933;0.2664839;-12.3068800;4.5520925;0.0290990;6.7517957
0.3267933;0.2353038;-12.5030938;4.5621728;0.0339905;6.7517957
0.3267933;0.2064251;-12.6984876;4.5738533;0.0389928;6.7517957
0.3267933;0.1801494;-12.8930168;4.5871754;0.0441106;6.7517957
0.3267933;0.1567784;-13.0866370;4.6021830;0.0493455;6.7517957
0.3267933;0.1366138;-13.2793036;4.6189213;0.0546956;6.7517957
0.3267933;0.1199572;-13.4709719;4.6374360;0.0601543;6.7517957
0.3267933;0.1071104;-13.6615976;4.6577715;0.0657100;6.7517957
0.3267933;0.0983749;-13.8511360;4.6799694;0.0713448;6.7517957
0.3267933;0.0940526;-14.0395426;4.7040663;0.0770343;6.7517957
0.3267933;0.0944451;-14.2267728;4.7300914;0.0827464;6.7517957
