# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.850663789324759168e-01;9.392399519376609662e-02;-6.874463598631752603e-03;-8.506296699349658041e-02;-6.767207377232393887e-04;8.000000000000000000e+00
3.850663789324759168e-01;1.111541567765172572e-01;1.948741341050057863e-01;-8.529559928023577875e-02;-6.356935141713547987e-04;8.000000000000000000e+00
3.850663789324759168e-01;1.284250882137258354e-01;3.965877690437268899e-01;-8.551604652927946582e-02;-6.027106395533235027e-04;8.000000000000000000e+00
3.850663789324759168e-01;1.457364225011719416e-01;5.982667087901184511e-01;-8.572947304216560482e-02;-5.775483754821814737e-04;8.000000000000000000e+00
3.850663789324759168e-01;1.630877926346350204e-01;7.999112209167748011e-01;-8.594018309796092048e-02;-5.590889714679882043e-04;8.000000000000000000e+00
3.850663789324759168e-01;1.804788316098943357e-01;1.001521572996273646e+00;-8.614903637172055539e-02;-5.459913075192657055e-04;8.000000000000000000e+00
3.850663789324759168e-01;1.979091724227294846e-01;1.203098032601212841e+00;-8.635603127734015061e-02;-5.369142857667458680e-04;8.000000000000000000e+00
3.850663789324759168e-01;2.153784480689199810e-01;1.404640867304173479e+00;-8.656116624169230001e-02;-5.305166528757223167e-04;8.000000000000000000e+00
3.850663789324759168e-01;2.328862915442451442e-01;1.606150344677744757e+00;-8.676443970463143529e-02;-5.254568747758948336e-04;8.000000000000000000e+00
3.850663789324759168e-01;2.504323358444841552e-01;1.807626732294508543e+00;-8.696585011900292983e-02;-5.206167647311974248e-04;8.000000000000000000e+00
3.850663789324759168e-01;2.680162139654175268e-01;2.009070297727065579e+00;-8.716539595064709545e-02;-5.157726874986908513e-04;8.000000000000000000e+00
3.850663789324759168e-01;2.856375589028240514e-01;2.210481308547995294e+00;-8.736307567840895238e-02;-5.109246768548792762e-04;8.000000000000000000e+00
3.850663789324759168e-01;3.032960036524833258e-01;2.411860032329886216e+00;-8.755888779414178202e-02;-5.060727665931623103e-04;8.000000000000000000e+00
3.850663789324759168e-01;3.209911812101747253e-01;2.613206736645325545e+00;-8.775283080271689684e-02;-5.012169905242386606e-04;8.000000000000000000e+00
3.850663789324759168e-01;3.387227245716781243e-01;2.814521689066903587e+00;-8.794490322202674903e-02;-4.963573824749531894e-04;8.000000000000000000e+00
3.850663789324759168e-01;3.564902667327721209e-01;3.015805157167200878e+00;-8.813510358299447844e-02;-4.914939762895075351e-04;8.000000000000000000e+00
3.850663789324759168e-01;3.742934406892375887e-01;3.217057408518817052e+00;-8.832343042957768731e-02;-4.866268058274417609e-04;8.000000000000000000e+00
3.850663789324759168e-01;3.921318794368528482e-01;3.418278710694332201e+00;-8.850988231877598977e-02;-4.817559049653645791e-04;8.000000000000000000e+00
3.850663789324759168e-01;4.100052159713981070e-01;3.619469331266334411e+00;-8.869445782063745121e-02;-4.768813075952811858e-04;8.000000000000000000e+00
3.850663789324759168e-01;4.279130832886523517e-01;3.820629537807411769e+00;-8.887715551826325111e-02;-4.720030476252848740e-04;8.000000000000000000e+00
3.850663789324759168e-01;4.458551143843950682e-01;4.021759597890150140e+00;-8.905797400781634288e-02;-4.671211589789227747e-04;8.000000000000000000e+00
3.850663789324759168e-01;4.638309422544061311e-01;4.222859779087140275e+00;-8.923691189852345218e-02;-4.622356755952538622e-04;8.000000000000000000e+00
3.850663789324759168e-01;4.818401998944650821e-01;4.423930348970973370e+00;-8.941396781268529104e-02;-4.573466314288484658e-04;8.000000000000000000e+00
3.850663789324759168e-01;4.998825203003511297e-01;4.624971575114229516e+00;-8.958914038567988847e-02;-4.524540604489814613e-04;8.000000000000000000e+00
