# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3850664;0.0939240;-0.0068745;1.4857334;-0.0006767;8.0000000
0.3850664;0.1111542;0.1948741;1.4855007;-0.0006357;8.0000000
0.3850664;0.1284251;0.3965878;1.4852803;-0.0006027;8.0000000
0.3850664;0.1457364;0.5982667;1.4850669;-0.0005775;8.0000000
0.3850664;0.1630878;0.7999112;1.4848561;-0.0005591;8.0000000
0.3850664;0.1804788;1.0015216;1.4846473;-0.0005460;8.0000000
0.3850664;0.1979092;1.2030980;1.4844403;-0.0005369;8.0000000
0.3850664;0.2153784;1.4046409;1.4842352;-0.0005305;8.0000000
0.3850664;0.2328863;1.6061503;1.4840319;-0.0005255;8.0000000
0.3850664;0.2504323;1.8076267;1.4838305;-0.0005206;8.0000000
0.3850664;0.2680162;2.0090703;1.4836309;-0.0005158;8.0000000
0.3850664;0.2856376;2.2104813;1.4834333;-0.0005109;8.0000000
0.3850664;0.3032960;2.4118600;1.4832374;-0.0005061;8.0000000
0.3850664;0.3209912;2.6132067;1.4830435;-0.0005012;8.0000000
0.3850664;0.3387227;2.8145217;1.4828514;-0.0004964;8.0000000
0.3850664;0.3564903;3.0158052;1.4826612;-0.0004915;8.0000000
0.3850664;0.3742934;3.2170574;1.4824729;-0.0004866;8.0000000
0.3850664;0.3921319;3.4182787;1.4822864;-0.0004818;8.0000000
0.3850664;0.4100052;3.6194693;1.4821019;-0.0004769;8.0000000
0.3850664;0.4279131;3.8206295;1.4819192;-0.0004720;8.0000000
0.3850664;0.4458551;4.0217596;1.4817384;-0.0004671;8.0000000
0.3850664;0.4638309;4.2228598;1.4815594;-0.0004622;8.0000000
0.3850664;0.4818402;4.4239303;1.4813824;-0.0004573;8.0000000
0.3850664;0.4998825;4.6249716;1.4812072;-0.0004525;8.0000000
0.3850664;0.5179575;4.8259837;1.4810339;-0.0004476;8.0000000
0.3850664;0.5360649;5.0269671;1.4808625;-0.0004427;8.0000000
0.3850664;0.5542042;5.2279219;1.4806930;-0.0004378;8.0000000
0.3850664;0.5723751;5.4288484;1.4805254;-0.0004328;8.0000000
0.3850664;0.5905772;5.6297469;1.4803596;-0.0004279;8.0000000
0.3850664;0.6088102;5.8306177;1.4801958;-0.0004230;8.0000000
0.3850664;0.6270737;6.0314610;1.4800338;-0.0004181;8.0000000
0.3850664;0.6453673;6.2322771;1.4798738;-0.0004132;8.0000000
0.3850664;0.6636907;6.4330663;1.4797156;-0.0004083;8.0000000
0.3850664;0.6820434;6.6338288;1.4795593;-0.0004033;8.0000000
0.3850664;0.7004252;6.8345649;1.4794050;-0.0003984;8.0000000
0.3850664;0.7188357;7.0352749;1.4792525;-0.0003935;8.0000000
0.3850664;0.7372744;7.2359590;1.4791019;-0.0003885;8.0000000
0.3850664;0.7557411;7.4366175;1.4789533;-0.0003836;8.0000000
0.3850664;0.7742353;7.6372507;1.4788065;-0.0003787;8.0000000
0.3850664;0.7927567;7.8378588;1.4786616;-0.0003737;8.0000000
0.3850664;0.8113049;8.0384421;1.4785187;-0.0003688;8.0000000
0.3850664;0.8298796;8.2390009;1.4783776;-0.0003638;8.0000000
0.3850664;0.8484804;8.4395354;1.4782385;-0.0003589;8.0000000
0.3850664;0.8671069;8.6400460;1.4781012;-0.0003539;8.0000000
0.3850664;0.8857588;8.8405328;1.4779659;-0.0003490;8.0000000
0.3850664;0.9044356;9.0409962;1.4778325;-0.0003440;8.0000000
0.3850664;0.9231371;9.2414363;1.4777010;-0.0003390;8.0000000
0.3850664;0.9418628;9.4418536;1.4775714;-0.0003341;8.0000000
0.3850664;0.9606124;9.6422482;1.4774437;-0.0003291;8.0000000
0.3850664;0.9793856;9.8426204;1.4773179;-0.0003241;8.0000000
0.3850664;0.9981819;10.0429705;1.4771941;-0.0003191;8.0000000
0.3850664;1.0170009;10.2432987;1.4770721;-0.0003142;8.0000000
0.3850664;1.0358424;10.4436053;1.4769521;-0.0003092;8.0000000
0.3850664;1.0547060;10.6438907;1.4768340;-0.0003042;8.0000000
0.3850664;1.0735912;10.8441550;1.4767178;-0.0002992;8.0000000
0.3850664;1.0924978;11.0443985;1.4766035;-0.0002942;8.0000000
0.3850664;1.1114253;11.2446215;1.4764912;-0.0002892;8.0000000
0.3850664;1.1303733;11.4448242;1.4763808;-0.0002843;8.0000000
0.3850664;1.1493417;11.6450070;1.4762723;-0.0002793;8.0000000
0.3850664;1.1683298;11.8451700;1.4761657;-0.0002743;8.0000000
0.3850664;1.1873374;12.0453136;1.4760611;-0.0002693;8.0000000
0.3850664;1.2063642;12.2454381;1.4759583;-0.0002643;8.0000000
0.3850664;1.2254097;12.4455436;1.4758575;-0.0002593;8.0000000
0.3850664;1.2444736;12.6456305;1.4757587;-0.0002543;8.0000000
0.3850664;1.2635555;12.8456990;1.4756617;-0.0002492;8.0000000
0.3850664;1.2826551;13.0457494;1.4755667;-0.0002442;8.0000000
0.3850664;1.3017719;13.2457820;1.4754736;-0.0002392;8.0000000
0.3850664;1.3209056;13.4457970;1.4753825;-0.0002342;8.0000000
0.3850664;1.3400559;13.6457947;1.4752933;-0.0002292;8.0000000
0.3850664;1.3592224;13.8457753;1.4752060;-0.0002242;8.0000000
0.3850664;1.3784047;14.0457392;1.4751206;-0.0002192;8.0000000
0.3850664;1.3976024;14.2456866;1.4750372;-0.0002141;8.0000000
0.3850664;1.4168152;14.4456178;1.4749557;-0.0002091;8.0000000
0.3850664;1.4360428;14.6455330;1.4748761;-0.0002041;8.0000000
0.3850664;1.4552846;14.8454325;1.4747985;-0.0001991;8.0000000
0.3850664;1.4745405;15.0453165;1.4747228;-0.0001940;8.0000000
0.3850664;1.4938100;15.2451854;1.4746491;-0.0001890;8.0000000
0.3850664;1.5130927;15.4450394;1.4745773;-0.0001840;8.0000000
0.3850664;1.5323883;15.6448788;1.4745074;-0.0001789;8.0000000
0.3850664;1.5516964;15.8447038;1.4744395;-0.0001739;8.0000000
0.3850664;1.5710166;16.0445148;1.4743735;-0.0001689;8.0000000
0.3850664;1.5903486;16.2443119;1.4743094;-0.0001638;8.0000000
0.3850664;1.6096920;16.4440954;1.4742473;-0.0001588;8.0000000
0.3850664;1.6290465;16.6438657;1.4741871;-0.0001537;8.0000000
0.3850664;1.6484117;16.8436229;1.4741289;-0.0001487;8.0000000
0.3850664;1.6677871;17.0433674;1.4740726;-0.0001437;8.0000000
0.3850664;1.6871725;17.2430994;1.4740183;-0.0001386;8.0000000
0.3850664;1.7065675;17.4428192;1.4739659;-0.0001336;8.0000000
0.3850664;1.7259716;17.6425270;1.4739154;-0.0001285;8.0000000
0.3850664;1.7453847;17.8422232;1.4738669;-0.0001235;8.0000000
0.3850664;1.7648061;18.0419079;1.4738203;-0.0001184;8.0000000
0.3850664;1.7842357;18.2415815;1.4737757;-0.0001134;8.0000000
0.3850664;1.8036731;18.4412442;1.4737330;-0.0001083;8.0000000
0.3850664;1.8231178;18.6408962;1.4736923;-0.0001033;8.0000000
0.3850664;1.8425695;18.8405380;1.4736535;-0.0000982;8.0000000
