# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.974970419835863744e-01;9.886785907218102742e-02;8.606529346252900226e-01;-1.401025251733512000e-01;3.406595304706667993e-03;8.000000000000000000e+00
3.974970419835863744e-01;1.262735548476334735e-01;1.055986809334960475e+00;-1.382868933226926167e-01;3.917009250362400025e-03;8.000000000000000000e+00
3.974970419835863744e-01;1.532890085584992235e-01;1.251498589444451470e+00;-1.363340164947184352e-01;4.287971667236663287e-03;8.000000000000000000e+00
3.974970419835863744e-01;1.799227821036445962e-01;1.447186288884037886e+00;-1.343362511267607307e-01;4.523118263011703145e-03;8.000000000000000000e+00
3.974970419835863744e-01;2.061834373819353139e-01;1.643047921583992821e+00;-1.323700017876359158e-01;4.641839113014173575e-03;8.000000000000000000e+00
3.974970419835863744e-01;2.320795362922376537e-01;1.839081501474589597e+00;-1.304504173903580089e-01;4.667573407027053069e-03;8.000000000000000000e+00
3.974970419835863744e-01;2.576196407334175875e-01;2.035285042486103979e+00;-1.285774009464037970e-01;4.623803024412763592e-03;8.000000000000000000e+00
3.974970419835863744e-01;2.828123126043411983e-01;2.231656558548808622e+00;-1.267508549396889617e-01;4.533938220527013695e-03;8.000000000000000000e+00
3.974970419835863744e-01;3.076661138038748744e-01;2.428194063592981067e+00;-1.249706814459499160e-01;4.421238224842099010e-03;8.000000000000000000e+00
3.974970419835863744e-01;3.321896062308841158e-01;2.624895571548890860e+00;-1.232367822481590380e-01;4.304949131341890244e-03;8.000000000000000000e+00
3.974970419835863744e-01;3.563913517842354772e-01;2.821759096346813322e+00;-1.215490589480061612e-01;4.188906611226609310e-03;8.000000000000000000e+00
3.974970419835863744e-01;3.802799123627947364e-01;3.018782651917024218e+00;-1.199074130735042765e-01;4.073110757618100645e-03;8.000000000000000000e+00
3.974970419835863744e-01;4.038638498654280040e-01;3.215964252189796202e+00;-1.183117461827603023e-01;3.957561406831068898e-03;8.000000000000000000e+00
3.974970419835863744e-01;4.271517261910015573e-01;3.413301911095404151e+00;-1.167619599639657668e-01;3.842258147815381334e-03;8.000000000000000000e+00
3.974970419835863744e-01;4.501521032383813403e-01;3.610793642564122052e+00;-1.152579563316538103e-01;3.727200331474526170e-03;8.000000000000000000e+00
3.974970419835863744e-01;4.728735429064333529e-01;3.808437460526223894e+00;-1.137996375192773524e-01;3.612387079853186887e-03;8.000000000000000000e+00
3.974970419835863744e-01;4.953246070940238166e-01;4.006231378911982333e+00;-1.123869061681566084e-01;3.497817295197736768e-03;8.000000000000000000e+00
3.974970419835863744e-01;5.175138577000183426e-01;4.204173411651672687e+00;-1.110196654128514648e-01;3.383489668884841553e-03;8.000000000000000000e+00
3.974970419835863744e-01;5.394498566232837078e-01;4.402261572675571166e+00;-1.096978189630104517e-01;3.269402690220136933e-03;8.000000000000000000e+00
3.974970419835863744e-01;5.611411657626856897e-01;4.600493875913949537e+00;-1.084212711817453823e-01;3.155554655104956911e-03;8.000000000000000000e+00
3.974970419835863744e-01;5.825963470170900660e-01;4.798868335297081344e+00;-1.071899271605925019e-01;3.041943674571960434e-03;8.000000000000000000e+00
3.974970419835863744e-01;6.038239622853636135e-01;4.997382964755242796e+00;-1.060036927911029991e-01;2.928567683190713179e-03;8.000000000000000000e+00
3.974970419835863744e-01;6.248325734663715547e-01;5.196035778218705659e+00;-1.048624748331228318e-01;2.815424447342386623e-03;8.000000000000000000e+00
3.974970419835863744e-01;6.456307424589801114e-01;5.394824789617744365e+00;-1.037661809798089418e-01;2.702511573365925374e-03;8.000000000000000000e+00
3.974970419835863744e-01;6.662270311620560603e-01;5.593748012882636012e+00;-1.027147199194362592e-01;2.589826515575731347e-03;8.000000000000000000e+00
3.974970419835863744e-01;6.866300014744647351e-01;5.792803461943649701e+00;-1.017080013940470096e-01;2.477366584154109576e-03;8.000000000000000000e+00
3.974970419835863744e-01;7.068482152950725794e-01;5.991989150731065195e+00;-1.007459362549862902e-01;2.365128952917858966e-03;8.000000000000000000e+00
3.974970419835863744e-01;7.268902345227455930e-01;6.191303093175154260e+00;-9.982843651538275687e-02;2.253110666962586297e-03;8.000000000000000000e+00
3.974970419835863744e-01;7.467646210563494424e-01;6.390743303206185111e+00;-9.895541539961683064e-02;2.141308650186470389e-03;8.000000000000000000e+00
3.974970419835863744e-01;7.664799367947509046e-01;6.590307794754441062e+00;-9.812678738982527626e-02;2.029719712694931857e-03;8.000000000000000000e+00
3.974970419835863744e-01;7.860447436368157570e-01;6.789994581750191216e+00;-9.734246826949011222e-02;1.918340558090733932e-03;8.000000000000000000e+00
3.974970419835863744e-01;8.054676034814099994e-01;6.989801678123712669e+00;-9.660237516415715042e-02;1.807167790648338181e-03;8.000000000000000000e+00
3.974970419835863744e-01;8.247570782273997425e-01;7.189727097805276301e+00;-9.590642657932990645e-02;1.696197922379612559e-03;8.000000000000000000e+00
3.974970419835863744e-01;8.439217297736507639e-01;7.389768854725155656e+00;-9.525454243557907041e-02;1.585427379990777489e-03;8.000000000000000000e+00
3.974970419835863744e-01;8.629701200190295074e-01;7.589924962813627829e+00;-9.464664410091616631e-02;1.474852511733943218e-03;8.000000000000000000e+00
3.974970419835863744e-01;8.819108108624023057e-01;7.790193436000969029e+00;-9.408265442046492844e-02;1.364469594157261033e-03;8.000000000000000000e+00
3.974970419835863744e-01;9.007523642026344923e-01;7.990572288217447472e+00;-9.356249774347902282e-02;1.254274838755864343e-03;8.000000000000000000e+00
3.974970419835863744e-01;9.195033419385925111e-01;8.191059533393339365e+00;-9.308609994773675567e-02;1.144264398527735207e-03;8.000000000000000000e+00
3.974970419835863744e-01;9.381723059691424726e-01;8.391653185458919140e+00;-9.265338846135562356e-02;1.034434374435615200e-03;8.000000000000000000e+00
3.974970419835863744e-01;9.567678181931507098e-01;8.592351258344463005e+00;-9.226429228206223243e-02;9.247808217816026657e-04;8.000000000000000000e+00
3.974970419835863744e-01;9.752984405094828890e-01;8.793151765980242729e+00;-9.191874199394955980e-02;8.152997564941065218e-04;8.000000000000000000e+00
3.974970419835863744e-01;9.937727348170048991e-01;8.994052722296530078e+00;-9.161666978175819764e-02;7.059871613342489543e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.012199263014583295e+00;9.195052141223605702e+00;-9.135800944271088575e-02;5.968389920211578537e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.030586587001083743e+00;9.396148036691737815e+00;-9.114269639593608474e-02;4.878511832826856070e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.048943268675373020e+00;9.597338422631203514e+00;-9.097066768950279325e-02;3.790196548344024934e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.067277869936316348e+00;9.798621312972276343e+00;-9.084186200510147025e-02;2.703403172882614097e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.085598952682779839e+00;9.999994721645224516e+00;-9.075621966039149058e-02;1.618090779967997015e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.103915078813630268e+00;1.020145666258033401e+01;-9.071368260904799641e-02;5.342184683500029861e-05;8.000000000000000000e+00
3.974970419835863744e-01;1.122234810227733304e+00;1.040300514970787127e+01;-9.071419443852501985e-02;-5.482545807633367130e-05;8.000000000000000000e+00
3.974970419835863744e-01;1.140566708823954833e+00;1.060463819695811161e+01;-9.075770036555907971e-02;-1.629369047028408001e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.158919336501161190e+00;1.080635381826132679e+01;-9.084414722943967568e-02;-2.709165414809818579e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.177301255158218485e+00;1.100815002754779570e+01;-9.097348348306000254e-02;-3.787683917512982604e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.195721026693992828e+00;1.121002483874779010e+01;-9.114565918176875670e-02;-4.864964482364707798e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.214187213007349664e+00;1.141197626579158353e+01;-9.136062597004346308e-02;-5.941046675627260475e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.232708375997155770e+00;1.161400232260945131e+01;-9.161833706599620264e-02;-7.015969648206809997e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.251293077562277034e+00;1.181610102313166699e+01;-9.191874724373261252e-02;-8.089772081620495584e-04;8.000000000000000000e+00
3.974970419835863744e-01;1.269949879601579568e+00;1.201827038128850234e+01;-9.226181281357170860e-02;-9.162492134294749962e-04;8.000000000000000000e+00
