# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3974970;0.0988679;0.8606529;1.4306938;0.0034066;8.0000000
0.3974970;0.1262736;1.0559868;1.4325094;0.0039170;8.0000000
0.3974970;0.1532890;1.2514986;1.4344623;0.0042880;8.0000000
0.3974970;0.1799228;1.4471863;1.4364601;0.0045231;8.0000000
0.3974970;0.2061834;1.6430479;1.4384263;0.0046418;8.0000000
0.3974970;0.2320795;1.8390815;1.4403459;0.0046676;8.0000000
0.3974970;0.2576196;2.0352850;1.4422189;0.0046238;8.0000000
0.3974970;0.2828123;2.2316566;1.4440455;0.0045339;8.0000000
0.3974970;0.3076661;2.4281941;1.4458256;0.0044212;8.0000000
0.3974970;0.3321896;2.6248956;1.4475595;0.0043049;8.0000000
0.3974970;0.3563914;2.8217591;1.4492473;0.0041889;8.0000000
0.3974970;0.3802799;3.0187827;1.4508889;0.0040731;8.0000000
0.3974970;0.4038638;3.2159643;1.4524846;0.0039576;8.0000000
0.3974970;0.4271517;3.4133019;1.4540344;0.0038423;8.0000000
0.3974970;0.4501521;3.6107936;1.4555384;0.0037272;8.0000000
0.3974970;0.4728735;3.8084375;1.4569967;0.0036124;8.0000000
0.3974970;0.4953246;4.0062314;1.4584094;0.0034978;8.0000000
0.3974970;0.5175139;4.2041734;1.4597767;0.0033835;8.0000000
0.3974970;0.5394499;4.4022616;1.4610985;0.0032694;8.0000000
0.3974970;0.5611412;4.6004939;1.4623751;0.0031556;8.0000000
0.3974970;0.5825963;4.7988683;1.4636064;0.0030419;8.0000000
0.3974970;0.6038240;4.9973830;1.4647926;0.0029286;8.0000000
0.3974970;0.6248326;5.1960358;1.4659339;0.0028154;8.0000000
0.3974970;0.6456307;5.3948248;1.4670301;0.0027025;8.0000000
0.3974970;0.6662270;5.5937480;1.4680816;0.0025898;8.0000000
0.3974970;0.6866300;5.7928035;1.4690883;0.0024774;8.0000000
0.3974970;0.7068482;5.9919892;1.4700504;0.0023651;8.0000000
0.3974970;0.7268902;6.1913031;1.4709679;0.0022531;8.0000000
0.3974970;0.7467646;6.3907433;1.4718409;0.0021413;8.0000000
0.3974970;0.7664799;6.5903078;1.4726695;0.0020297;8.0000000
0.3974970;0.7860447;6.7899946;1.4734539;0.0019183;8.0000000
0.3974970;0.8054676;6.9898017;1.4741940;0.0018072;8.0000000
0.3974970;0.8247571;7.1897271;1.4748899;0.0016962;8.0000000
0.3974970;0.8439217;7.3897689;1.4755418;0.0015854;8.0000000
0.3974970;0.8629701;7.5899250;1.4761497;0.0014749;8.0000000
0.3974970;0.8819108;7.7901934;1.4767137;0.0013645;8.0000000
0.3974970;0.9007524;7.9905723;1.4772338;0.0012543;8.0000000
0.3974970;0.9195033;8.1910595;1.4777102;0.0011443;8.0000000
0.3974970;0.9381723;8.3916532;1.4781429;0.0010344;8.0000000
0.3974970;0.9567678;8.5923513;1.4785320;0.0009248;8.0000000
0.3974970;0.9752984;8.7931518;1.4788776;0.0008153;8.0000000
0.3974970;0.9937727;8.9940527;1.4791797;0.0007060;8.0000000
0.3974970;1.0121993;9.1950521;1.4794383;0.0005968;8.0000000
0.3974970;1.0305866;9.3961480;1.4796536;0.0004879;8.0000000
0.3974970;1.0489433;9.5973384;1.4798257;0.0003790;8.0000000
0.3974970;1.0672779;9.7986213;1.4799545;0.0002703;8.0000000
0.3974970;1.0855990;9.9999947;1.4800401;0.0001618;8.0000000
0.3974970;1.1039151;10.2014567;1.4800826;0.0000534;8.0000000
0.3974970;1.1222348;10.4030051;1.4800821;-0.0000548;8.0000000
0.3974970;1.1405667;10.6046382;1.4800386;-0.0001629;8.0000000
0.3974970;1.1589193;10.8063538;1.4799522;-0.0002709;8.0000000
0.3974970;1.1773013;11.0081500;1.4798228;-0.0003788;8.0000000
0.3974970;1.1957210;11.2100248;1.4796507;-0.0004865;8.0000000
0.3974970;1.2141872;11.4119763;1.4794357;-0.0005941;8.0000000
0.3974970;1.2327084;11.6140023;1.4791780;-0.0007016;8.0000000
0.3974970;1.2512931;11.8161010;1.4788776;-0.0008090;8.0000000
0.3974970;1.2699499;12.0182704;1.4785345;-0.0009162;8.0000000
0.3974970;1.2886873;12.2205084;1.4781488;-0.0010234;8.0000000
0.3974970;1.3075140;12.4228131;1.4777206;-0.0011305;8.0000000
0.3974970;1.3264385;12.6251825;1.4772498;-0.0012375;8.0000000
0.3974970;1.3454693;12.8276147;1.4767365;-0.0013443;8.0000000
0.3974970;1.3646151;13.0301075;1.4761808;-0.0014511;8.0000000
0.3974970;1.3838843;13.2326591;1.4755826;-0.0015578;8.0000000
0.3974970;1.4032855;13.4352675;1.4749421;-0.0016644;8.0000000
0.3974970;1.4228273;13.6379306;1.4742592;-0.0017710;8.0000000
0.3974970;1.4425183;13.8406465;1.4735339;-0.0018774;8.0000000
0.3974970;1.4623670;14.0434132;1.4727664;-0.0019838;8.0000000
0.3974970;1.4823820;14.2462287;1.4719566;-0.0020901;8.0000000
0.3974970;1.5025719;14.4490910;1.4711045;-0.0021964;8.0000000
0.3974970;1.5229451;14.6519982;1.4702103;-0.0023025;8.0000000
0.3974970;1.5435103;14.8549482;1.4692738;-0.0024087;8.0000000
0.3974970;1.5642761;15.0579391;1.4682952;-0.0025147;8.0000000
0.3974970;1.5852509;15.2609689;1.4672744;-0.0026207;8.0000000
0.3974970;1.6064434;15.4640356;1.4662116;-0.0027266;8.0000000
0.3974970;1.6278621;15.6671372;1.4651066;-0.0028325;8.0000000
0.3974970;1.6495155;15.8702717;1.4639596;-0.0029384;8.0000000
0.3974970;1.6714123;16.0734371;1.4627705;-0.0030441;8.0000000
0.3974970;1.6935611;16.2766315;1.4615393;-0.0031499;8.0000000
0.3974970;1.7159702;16.4798528;1.4602662;-0.0032556;8.0000000
0.3974970;1.7386484;16.6830992;1.4589510;-0.0033612;8.0000000
0.3974970;1.7616042;16.8863685;1.4575939;-0.0034668;8.0000000
0.3974970;1.7848461;17.0896588;1.4561948;-0.0035723;8.0000000
0.3974970;1.8083828;17.2929682;1.4547538;-0.0036778;8.0000000
0.3974970;1.8322227;17.4962945;1.4532708;-0.0037833;8.0000000
0.3974970;1.8563744;17.6996360;1.4517459;-0.0038887;8.0000000
0.3974970;1.8808466;17.9029905;1.4501792;-0.0039941;8.0000000
0.3974970;1.9056477;18.1063560;1.4485705;-0.0040994;8.0000000
0.3974970;1.9307863;18.3097307;1.4469200;-0.0042047;8.0000000
0.3974970;1.9562710;18.5131124;1.4452277;-0.0043099;8.0000000
0.3974970;1.9821103;18.7164993;1.4434935;-0.0044151;8.0000000
0.3974970;2.0083129;18.9198893;1.4417175;-0.0045203;8.0000000
0.3974970;2.0348872;19.1232805;1.4398998;-0.0046253;8.0000000
0.3974970;2.0618418;19.3266708;1.4380403;-0.0047304;8.0000000
0.3974970;2.0891854;19.5300583;1.4361390;-0.0048354;8.0000000
0.3974970;2.1169264;19.7334409;1.4341960;-0.0049403;8.0000000
0.3974970;2.1450734;19.9368168;1.4322113;-0.0050452;8.0000000
0.3974970;2.1736349;20.1401839;1.4301849;-0.0051499;8.0000000
0.3974970;2.2026197;20.3435402;1.4281168;-0.0052395;8.0000000
0.3974970;2.2320361;20.5468838;1.4260072;-0.0052749;8.0000000
0.3974970;2.2618928;20.7502126;1.4238559;-0.0052142;8.0000000
0.3974970;2.2921983;20.9535247;1.4216630;-0.0050161;8.0000000
0.3974970;2.3229612;21.1568180;1.4194293;-0.0046387;8.0000000
0.3974970;2.3541900;21.3600907;1.4172133;-0.0040405;8.0000000
0.3974970;2.3858933;21.5633407;1.4151716;-0.0031939;8.0000000
0.3974970;2.4180788;21.7665659;1.4134695;-0.0020954;8.0000000
0.3974970;2.4506802;21.9697537;1.4122725;-0.0007438;8.0000000
0.3974970;2.4835062;22.1728742;1.4117460;0.0008626;8.0000000
0.3974970;2.5163529;22.3758953;1.4120559;0.0027114;8.0000000
0.3974970;2.5490169;22.5787853;1.4133117;0.0047658;8.0000000
0.3974970;2.5812944;22.7815124;1.4155266;0.0069873;8.0000000
0.3974970;2.6129817;22.9840447;1.4187064;0.0093376;8.0000000
0.3974970;2.6438754;23.1863503;1.4228582;0.0117787;6.1921889
0.3974970;2.6737716;23.3883975;1.4279911;0.0142729;6.1921889
0.3974970;2.7024668;23.5901543;1.4341156;0.0167966;6.1921889
0.3974970;2.7297573;23.7915890;1.4412438;0.0193509;6.1921889
0.3974970;2.7554394;23.9926697;1.4493890;0.0219384;6.1921889
0.3974970;2.7793095;24.1933645;1.4585659;0.0245616;6.1921889
0.3974970;2.8011640;24.3936416;1.4687901;0.0272220;6.1921889
0.3974970;2.8207992;24.5934692;1.4800778;0.0299207;6.1921889
0.3974970;2.8380115;24.7928154;1.4924459;0.0326577;6.1921889
0.3974970;2.8525971;24.9916484;1.5059110;0.0354320;6.1921889
0.3974970;2.8643526;25.1899363;1.5204897;0.0382407;6.1921889
0.3974970;2.8730741;25.3876473;1.5361978;0.0410660;6.1921889
0.3974970;2.8785581;25.5847497;1.5530494;0.0438806;6.1921889
0.3974970;2.8806009;25.7812114;1.5710571;0.0466592;6.1921889
0.3974970;2.8789989;25.9770007;1.5902303;0.0493790;6.1921889
0.3974970;2.8735484;26.1720857;1.6105717;0.0520204;6.1921889
0.3974970;2.8640458;26.3664346;1.6320261;0.0545680;6.1921889
0.3974970;2.8502874;26.5600156;1.6545018;0.0570206;6.1921889
0.3974970;2.8320743;26.7527905;1.6779147;0.0593868;6.1921889
0.3974970;2.8092760;26.9446287;1.7021912;0.0616756;6.1921889
0.3974970;2.7818133;27.1353306;1.7272694;0.0638972;6.1921889
0.3974970;2.7496084;27.3246947;1.7531038;0.0660759;6.1921889
0.3974970;2.7125835;27.5125194;1.7797047;0.0682443;6.1921889
0.3974970;2.6706607;27.6986034;1.8071179;0.0704319;6.1921889
0.3974970;2.6237622;27.8827450;1.8353889;0.0726642;6.1921889
0.3974970;2.5718101;28.0647429;1.8645612;0.0749621;6.1921889
0.3974970;2.5147266;28.2443955;1.8946760;0.0773405;6.1921889
0.3974970;2.4524340;28.4215014;1.9257710;0.0797979;6.1921889
0.3974970;2.3848542;28.5958591;1.9578794;0.0823209;6.1921889
0.3974970;2.3119095;28.7672670;1.9910292;0.0848936;6.1921889
0.3974970;2.2335221;28.9355237;2.0252417;0.0874968;6.1921889
0.3974970;2.1496140;29.1004278;2.0605302;0.0901086;6.1921889
0.3974970;2.0601076;29.2617777;2.0968989;0.0927040;6.1921889
0.3974970;1.9649248;29.4193719;2.1343412;0.0952554;6.1921889
0.3974970;1.8639879;29.5730090;2.1728383;0.0977323;6.1921889
0.3974970;1.7572191;29.7224875;2.2123584;0.1000683;6.1921889
0.3974970;1.6445405;29.8676059;2.2528550;0.1020786;6.1921889
0.3974970;1.5258742;30.0081627;2.2942667;0.1035599;6.1921889
0.3974970;1.4011425;30.1439564;2.3365167;0.1043210;6.1921889
0.3974970;1.2702674;30.2747855;2.3795123;0.1041885;6.1921889
0.3974970;1.1331712;30.4004486;2.4230100;0.1030100;6.2314663
0.3974970;0.9897760;30.5207442;2.4662898;0.1006864;6.2314663
0.3974970;0.8400039;30.6354708;2.5085464;0.0972441;6.4135486
0.3974970;0.6838721;30.7445468;2.5490140;0.0927402;6.4135486
0.3974970;0.5217237;30.8483022;2.5869846;0.0872360;6.7714580
0.3974970;0.3539716;30.9471549;2.6218202;0.0808290;6.7714580
0.3974970;0.1810286;31.0415232;2.6530804;0.0737341;7.3653885
0.3974970;0.0033077;31.1318252;2.6808091;0.0661840;7.7741598
0.3974970;-0.1787783;31.2184789;2.7051563;0.0583974;8.0000000
0.3974970;-0.3648164;31.3019024;2.7262728;0.0505741;8.0000000
0.3974970;-0.5543938;31.3825138;2.7443030;0.0428919;8.0000000
0.3974970;-0.7470974;31.4607313;2.7593808;0.0354745;8.0000000
0.3974970;-0.9425145;31.5369729;2.7716259;0.0283191;8.0000000
0.3974970;-1.1402321;31.6116568;2.7811418;0.0213919;8.0000000
0.3974970;-1.3398374;31.6852010;2.7880150;0.0146549;8.0000000
0.3974970;-1.5409173;31.7580236;2.7923142;0.0080673;8.0000000
