# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.337736379633600481e-01;-6.644001080011401328e-01;-6.006117441960805436e-01;2.343230443590041290e+00;1.212389149671643483e-03;8.000000000000000000e+00
4.337736379633600481e-01;-8.081655214901430906e-01;-7.407781848039379780e-01;2.343781218920017562e+00;1.187596761064113604e-03;8.000000000000000000e+00
4.337736379633600481e-01;-9.518216514981563403e-01;-8.809916972910140087e-01;2.344313717215992021e+00;1.154076787472322349e-03;8.000000000000000000e+00
4.337736379633600481e-01;-1.095373329573444909e+00;-1.021249152923225045e+00;2.344820047476566582e+00;1.111820885392023712e-03;8.000000000000000000e+00
4.337736379633600481e-01;-1.238825387264280709e+00;-1.161547422966494381e+00;2.345298608480872904e+00;1.061183351127460706e-03;8.000000000000000000e+00
4.337736379633600481e-01;-1.382182656118926989e+00;-1.301883378686734316e+00;2.345749373478281719e+00;1.003969553048908924e-03;8.000000000000000000e+00
4.337736379633600481e-01;-1.525449967685655883e+00;-1.442253891349869033e+00;2.346172316820612114e+00;9.423505686257673507e-04;8.000000000000000000e+00
4.337736379633600481e-01;-1.668632153512731309e+00;-1.582655832221812275e+00;2.346567413954436798e+00;8.785009843736761538e-04;8.000000000000000000e+00
4.337736379633600481e-01;-1.811734045148426286e+00;-1.723086072568487115e+00;2.346934641413878975e+00;8.142357754216956707e-04;8.000000000000000000e+00
4.337736379633600481e-01;-1.954760474141003401e+00;-1.863541483655808850e+00;2.347273976813939900e+00;7.499201457348901416e-04;8.000000000000000000e+00
4.337736379633600481e-01;-2.097716272038732122e+00;-2.004018936749697222e+00;2.347585398844346027e+00;6.855565713108239872e-04;8.000000000000000000e+00
4.337736379633600481e-01;-2.240606270389882582e+00;-2.144515303116071525e+00;2.347868887263913962e+00;6.211475158285187414e-04;8.000000000000000000e+00
4.337736379633600481e-01;-2.383435300742720919e+00;-2.285027454020849280e+00;2.348124422895453645e+00;5.566954318741238741e-04;8.000000000000000000e+00
4.337736379633600481e-01;-2.526208194645512606e+00;-2.425552260729948006e+00;2.348351987621212444e+00;4.922027621841969019e-04;8.000000000000000000e+00
