# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4337736;-0.6644001;-0.6006117;3.9140268;0.0012124;8.0000000
0.4337736;-0.8081655;-0.7407782;3.9145775;0.0011876;8.0000000
0.4337736;-0.9518217;-0.8809917;3.9151100;0.0011541;8.0000000
0.4337736;-1.0953733;-1.0212492;3.9156164;0.0011118;8.0000000
0.4337736;-1.2388254;-1.1615474;3.9160949;0.0010612;8.0000000
0.4337736;-1.3821827;-1.3018834;3.9165457;0.0010040;8.0000000
0.4337736;-1.5254500;-1.4422539;3.9169686;0.0009424;8.0000000
0.4337736;-1.6686322;-1.5826558;3.9173637;0.0008785;8.0000000
0.4337736;-1.8117340;-1.7230861;3.9177310;0.0008142;8.0000000
0.4337736;-1.9547605;-1.8635415;3.9180703;0.0007499;8.0000000
0.4337736;-2.0977163;-2.0040189;3.9183817;0.0006856;8.0000000
0.4337736;-2.2406063;-2.1445153;3.9186652;0.0006211;8.0000000
0.4337736;-2.3834353;-2.2850275;3.9189207;0.0005567;8.0000000
0.4337736;-2.5262082;-2.4255523;3.9191483;0.0004922;8.0000000
0.4337736;-2.6689298;-2.5660866;3.9193479;0.0004277;8.0000000
0.4337736;-2.8116049;-2.7066273;3.9195195;0.0003631;8.0000000
0.4337736;-2.9542384;-2.8471713;3.9196630;0.0002985;8.0000000
0.4337736;-3.0968350;-2.9877155;3.9197785;0.0002339;8.0000000
0.4337736;-3.2393997;-3.1282566;3.9198660;0.0001692;8.0000000
0.4337736;-3.3819373;-3.2687917;3.9199254;0.0001045;8.0000000
0.4337736;-3.5244525;-3.4093175;3.9199568;0.0000398;8.0000000
0.4337736;-3.6669502;-3.5498309;3.9199601;-0.0000249;8.0000000
0.4337736;-3.8094353;-3.6903288;3.9199352;-0.0000897;8.0000000
0.4337736;-3.9519126;-3.8308081;3.9198823;-0.0001544;8.0000000
0.4337736;-4.0943868;-3.9712656;3.9198013;-0.0002192;8.0000000
0.4337736;-4.2368630;-4.1116982;3.9196922;-0.0002840;8.0000000
0.4337736;-4.3793458;-4.2521029;3.9195550;-0.0003488;8.0000000
0.4337736;-4.5218400;-4.3924763;3.9193896;-0.0004136;8.0000000
0.4337736;-4.6643507;-4.5328155;3.9191962;-0.0004784;8.0000000
0.4337736;-4.8068825;-4.6731173;3.9189746;-0.0005432;8.0000000
0.4337736;-4.9494403;-4.8133786;3.9187249;-0.0006080;8.0000000
0.4337736;-5.0920289;-4.9535962;3.9184471;-0.0006728;8.0000000
0.4337736;-5.2346532;-5.0937670;3.9181411;-0.0007376;8.0000000
0.4337736;-5.3773180;-5.2338879;3.9178071;-0.0008024;8.0000000
0.4337736;-5.5200281;-5.3739557;3.9174449;-0.0008672;8.0000000
0.4337736;-5.6627884;-5.5139674;3.9170547;-0.0009320;8.0000000
0.4337736;-5.8056037;-5.6539197;3.9166363;-0.0009968;8.0000000
0.4337736;-5.9484787;-5.7938097;3.9161899;-0.0010615;8.0000000
0.4337736;-6.0914185;-5.9336340;3.9157154;-0.0011262;8.0000000
0.4337736;-6.2344277;-6.0733897;3.9152128;-0.0011909;8.0000000
0.4337736;-6.3775112;-6.2130735;3.9146821;-0.0012556;8.0000000
0.4337736;-6.5206739;-6.3526824;3.9141234;-0.0013202;8.0000000
0.4337736;-6.6639206;-6.4922133;3.9135367;-0.0013848;8.0000000
0.4337736;-6.8072560;-6.6316629;3.9129219;-0.0014494;8.0000000
0.4337736;-6.9506852;-6.7710282;3.9122791;-0.0015139;8.0000000
0.4337736;-7.0942127;-6.9103060;3.9116084;-0.0015784;8.0000000
0.4337736;-7.2378436;-7.0494932;3.9109096;-0.0016429;8.0000000
0.4337736;-7.3815827;-7.1885867;3.9101830;-0.0017073;8.0000000
0.4337736;-7.5254346;-7.3275834;3.9094283;-0.0017716;8.0000000
0.4337736;-7.6694044;-7.4664801;3.9086458;-0.0018359;8.0000000
0.4337736;-7.8134969;-7.6052736;3.9078354;-0.0019002;8.0000000
0.4337736;-7.9577168;-7.7439610;3.9069971;-0.0019644;8.0000000
0.4337736;-8.1020689;-7.8825389;3.9061310;-0.0020285;8.0000000
0.4337736;-8.2465582;-8.0210044;3.9052371;-0.0020926;8.0000000
0.4337736;-8.3911895;-8.1593543;3.9043154;-0.0021566;8.0000000
0.4337736;-8.5359675;-8.2975854;3.9033659;-0.0022205;8.0000000
0.4337736;-8.6808972;-8.4356946;3.9023887;-0.0022844;8.0000000
0.4337736;-8.8259833;-8.5736788;3.9013839;-0.0023481;8.0000000
0.4337736;-8.9712307;-8.7115349;3.9003513;-0.0024118;8.0000000
0.4337736;-9.1166443;-8.8492597;3.8992912;-0.0024755;8.0000000
0.4337736;-9.2622287;-8.9868501;3.8982035;-0.0025390;8.0000000
0.4337736;-9.4079890;-9.1243030;3.8970882;-0.0026024;8.0000000
0.4337736;-9.5539298;-9.2616153;3.8959454;-0.0026658;8.0000000
0.4337736;-9.7000561;-9.3987837;3.8947752;-0.0027290;8.0000000
0.4337736;-9.8463727;-9.5358053;3.8935775;-0.0027922;8.0000000
0.4337736;-9.9928844;-9.6726768;3.8923525;-0.0028552;8.0000000
0.4337736;-10.1395960;-9.8093951;3.8911001;-0.0029182;8.0000000
0.4337736;-10.2865124;-9.9459572;3.8898205;-0.0029810;8.0000000
0.4337736;-10.4336383;-10.0823598;3.8885136;-0.0030437;8.0000000
0.4337736;-10.5809787;-10.2185999;3.8871795;-0.0031063;8.0000000
0.4337736;-10.7285384;-10.3546743;3.8858183;-0.0031687;8.0000000
0.4337736;-10.8763222;-10.4905799;3.8844300;-0.0032311;8.0000000
0.4337736;-11.0243348;-10.6263135;3.8830147;-0.0032933;8.0000000
0.4337736;-11.1725813;-10.7618721;3.8815725;-0.0033554;8.0000000
0.4337736;-11.3210663;-10.8972524;3.8801033;-0.0034173;8.0000000
0.4337736;-11.4697948;-11.0324515;3.8786073;-0.0034791;8.0000000
