# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.530359791388286150e-01;-1.199234604477528165e-02;3.191426559420107445e-02;1.290759386531169284e+00;1.258494801548526746e-03;8.000000000000000000e+00
3.530359791388286150e-01;-2.058607408995407062e-01;8.761634943882425086e-02;1.291232462768822309e+00;1.243096713852488580e-03;8.000000000000000000e+00
3.530359791388286150e-01;-3.996737213722489912e-01;1.432015551655554386e-01;1.291695653726399939e+00;1.219124656528031408e-03;8.000000000000000000e+00
3.530359791388286150e-01;-5.934328952174826588e-01;1.986750345390008443e-01;1.292142890505687092e+00;1.186560944915864653e-03;8.000000000000000000e+00
3.530359791388286150e-01;-7.871398701898290051e-01;2.540419393237688395e-01;1.292569094852273004e+00;1.145625071615224977e-03;8.000000000000000000e+00
3.530359791388286150e-01;-9.807962540438683874e-01;3.093074212844655335e-01;1.292973214505579449e+00;1.097486509857090089e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.174403654534188712e+00;3.644766321856993119e-01;1.293355206816241942e+00;1.043556388859519625e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.367963679415373779e+00;4.195547237920773109e-01;1.293715031066275056e+00;9.852509998361997420e-04;8.000000000000000000e+00
3.530359791388286150e-01;-1.561477936442004388e+00;4.745468478682059454e-01;1.294052648472922673e+00;9.239918469851848793e-04;8.000000000000000000e+00
3.530359791388286150e-01;-1.754948033368666005e+00;5.294581561786928514e-01;1.294368022192394996e+00;8.612055460736003790e-04;8.000000000000000000e+00
3.530359791388286150e-01;-1.948375577949946091e+00;5.842938004881456093e-01;1.294661117323482991e+00;7.980853367987049462e-04;8.000000000000000000e+00
3.530359791388286150e-01;-2.141762177940423673e+00;6.390589325611708560e-01;1.294931900911064471e+00;7.348745960554256638e-04;8.000000000000000000e+00
3.530359791388286150e-01;-2.335109441094687099e+00;6.937587041623769490e-01;1.295180341949500491e+00;6.715788487938505668e-04;8.000000000000000000e+00
3.530359791388286150e-01;-2.528418975167318727e+00;7.483982670563702477e-01;1.295406411385918499e+00;6.082036291689644093e-04;8.000000000000000000e+00
3.530359791388286150e-01;-2.721692387912903577e+00;8.029827730077585546e-01;1.295610082123400453e+00;5.447544802452490001e-04;8.000000000000000000e+00
3.530359791388286150e-01;-2.914931287086024447e+00;8.575173737811484509e-01;1.295791329024061689e+00;4.812369537057894294e-04;8.000000000000000000e+00
3.530359791388286150e-01;-3.108137280441266803e+00;9.120072211411477392e-01;1.295950128912029875e+00;4.176566095689291606e-04;8.000000000000000000e+00
3.530359791388286150e-01;-3.301311975733213888e+00;9.664574668523634449e-01;1.296086460576331589e+00;3.540190159084893829e-04;8.000000000000000000e+00
3.530359791388286150e-01;-3.494456980716450722e+00;1.020873262679403259e+00;1.296200304773676315e+00;2.903297485792279880e-04;8.000000000000000000e+00
3.530359791388286150e-01;-3.687573903145557885e+00;1.075259760386873431e+00;1.296291644231148510e+00;2.265943909467034694e-04;8.000000000000000000e+00
3.530359791388286150e-01;-3.880664350775125282e+00;1.129622111739381873e+00;1.296360463648806416e+00;1.628185336182898940e-04;8.000000000000000000e+00
3.530359791388286150e-01;-4.073729931359733492e+00;1.183965468501536167e+00;1.296406749702186723e+00;9.900777417912011240e-05;8.000000000000000000e+00
3.530359791388286150e-01;-4.266772252653967534e+00;1.238294982437943448e+00;1.296430491044718636e+00;3.516771692834279339e-05;8.000000000000000000e+00
3.530359791388286150e-01;-4.459792922412411542e+00;1.292615805313210187e+00;1.296431678310044688e+00;-2.869602738367696833e-05;8.000000000000000000e+00
3.530359791388286150e-01;-4.652793548389649203e+00;1.346933088891944630e+00;1.296410304114254064e+00;-9.257784181606049502e-05;8.000000000000000000e+00
3.530359791388286150e-01;-4.845775738340265981e+00;1.401251984938753914e+00;1.296366363058021332e+00;-1.564721035003197264e-04;8.000000000000000000e+00
3.530359791388286150e-01;-5.038741100018842900e+00;1.455577645218243843e+00;1.296299851728655028e+00;-2.203731839028421453e-04;8.000000000000000000e+00
3.530359791388286150e-01;-5.231691241179968976e+00;1.509915221495023774e+00;1.296210768702057869e+00;-2.842754490898914796e-04;8.000000000000000000e+00
3.530359791388286150e-01;-5.424627769578225234e+00;1.564269865533699955e+00;1.296099114544588371e+00;-3.481732599938664038e-04;8.000000000000000000e+00
3.530359791388286150e-01;-5.617552292968196248e+00;1.618646729098879966e+00;1.295964891814834097e+00;-4.120609726830182858e-04;8.000000000000000000e+00
3.530359791388286150e-01;-5.810466419104463043e+00;1.673050963955169834e+00;1.295808105065291205e+00;-4.759329386360963482e-04;8.000000000000000000e+00
3.530359791388286150e-01;-6.003371755741617299e+00;1.727487721867178916e+00;1.295628760843942739e+00;-5.397835050184595111e-04;8.000000000000000000e+00
3.530359791388286150e-01;-6.196269910634235600e+00;1.781962154599512349e+00;1.295426867695745443e+00;-6.036070149665749996e-04;8.000000000000000000e+00
3.530359791388286150e-01;-6.389162491536907851e+00;1.836479413916779491e+00;1.295202436164011761e+00;-6.673978078761856744e-04;8.000000000000000000e+00
3.530359791388286150e-01;-6.582051106204213298e+00;1.891044651583585701e+00;1.294955478791695924e+00;-7.311502196971862971e-04;8.000000000000000000e+00
3.530359791388286150e-01;-6.774937362390740070e+00;1.945663019364539448e+00;1.294686010122572117e+00;-7.948585832358375132e-04;8.000000000000000000e+00
3.530359791388286150e-01;-6.967822867851070079e+00;2.000339669024247868e+00;1.294394046702304291e+00;-8.585172284651563460e-04;8.000000000000000000e+00
3.530359791388286150e-01;-7.160709230339787013e+00;2.055079752327317433e+00;1.294079607079415162e+00;-9.221204828440073041e-04;8.000000000000000000e+00
3.530359791388286150e-01;-7.353598057611477223e+00;2.109888421038355499e+00;1.293742711806129542e+00;-9.856626716429023154e-04;8.000000000000000000e+00
3.530359791388286150e-01;-7.546490957420722623e+00;2.164770826921970759e+00;1.293383383439113743e+00;-1.049138118282484742e-03;8.000000000000000000e+00
3.530359791388286150e-01;-7.739389537522111340e+00;2.219732121742769237e+00;1.293001646540087979e+00;-1.112541144681447689e-03;8.000000000000000000e+00
3.530359791388286150e-01;-7.932295405670223509e+00;2.274777457265358738e+00;1.292597527676319302e+00;-1.175866071615458809e-03;8.000000000000000000e+00
3.530359791388286150e-01;-8.125210169619641931e+00;2.329911985254344842e+00;1.292171055420986203e+00;-1.239107219085938552e-03;8.000000000000000000e+00
3.530359791388286150e-01;-8.318135437124954734e+00;2.385140857474337572e+00;1.291722260353405094e+00;-1.302258906705088546e-03;8.000000000000000000e+00
3.530359791388286150e-01;-8.511072815940746494e+00;2.440469225689942512e+00;1.291251175059136891e+00;-1.365315454089407327e-03;8.000000000000000000e+00
3.530359791388286150e-01;-8.704023913821597347e+00;2.495902241665766130e+00;1.290757834129935056e+00;-1.428271181269772684e-03;8.000000000000000000e+00
3.530359791388286150e-01;-8.896990338522096309e+00;2.551445057166418451e+00;1.290242274163557745e+00;-1.491120409113365006e-03;8.000000000000000000e+00
3.530359791388286150e-01;-9.089973697796819962e+00;2.607102823956504167e+00;1.289704533763425420e+00;-1.553857459763100706e-03;8.000000000000000000e+00
3.530359791388286150e-01;-9.282975599400359101e+00;2.662880693800630638e+00;1.289144653538128349e+00;-1.616476657088174607e-03;8.000000000000000000e+00
3.530359791388286150e-01;-9.475997651087295637e+00;2.718783818463406554e+00;1.288562676100764470e+00;-1.678972327151584832e-03;8.000000000000000000e+00
3.530359791388286150e-01;-9.669041460612218586e+00;2.774817349709439718e+00;1.287958646068115609e+00;-1.741338798697470618e-03;8.000000000000000000e+00
3.530359791388286150e-01;-9.862108635729702755e+00;2.830986439303334379e+00;1.287332610059649607e+00;-1.803570403649560174e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.005520078419433716e+01;2.887296239009700116e+00;1.286684616696345262e+00;-1.865661477629327377e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.024831951376070549e+01;2.943751900593143844e+00;1.286014716599323648e+00;-1.927606360491025163e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.044146643218339676e+01;3.000358575818273366e+00;1.285322962388304013e+00;-1.989399396875902136e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.063464314721698756e+01;3.057121416449693374e+00;1.284609408679849629e+00;-2.051034936783503824e-03;8.000000000000000000e+00
3.530359791388286150e-01;-1.082785126661606689e+01;3.114045574252015225e+00;1.283874112085409802e+00;-2.112507336160064208e-03;8.000000000000000000e+00
