# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3530360;-0.0119923;0.0319143;2.8615557;0.0012585;8.0000000
0.3530360;-0.2058607;0.0876163;2.8620288;0.0012431;8.0000000
0.3530360;-0.3996737;0.1432016;2.8624920;0.0012191;8.0000000
0.3530360;-0.5934329;0.1986750;2.8629392;0.0011866;8.0000000
0.3530360;-0.7871399;0.2540419;2.8633654;0.0011456;8.0000000
0.3530360;-0.9807963;0.3093074;2.8637695;0.0010975;8.0000000
0.3530360;-1.1744037;0.3644766;2.8641515;0.0010436;8.0000000
0.3530360;-1.3679637;0.4195547;2.8645114;0.0009853;8.0000000
0.3530360;-1.5614779;0.4745468;2.8648490;0.0009240;8.0000000
0.3530360;-1.7549480;0.5294582;2.8651643;0.0008612;8.0000000
0.3530360;-1.9483756;0.5842938;2.8654574;0.0007981;8.0000000
0.3530360;-2.1417622;0.6390589;2.8657282;0.0007349;8.0000000
0.3530360;-2.3351094;0.6937587;2.8659767;0.0006716;8.0000000
0.3530360;-2.5284190;0.7483983;2.8662027;0.0006082;8.0000000
0.3530360;-2.7216924;0.8029828;2.8664064;0.0005448;8.0000000
0.3530360;-2.9149313;0.8575174;2.8665877;0.0004812;8.0000000
0.3530360;-3.1081373;0.9120072;2.8667465;0.0004177;8.0000000
0.3530360;-3.3013120;0.9664575;2.8668828;0.0003540;8.0000000
0.3530360;-3.4944570;1.0208733;2.8669966;0.0002903;8.0000000
0.3530360;-3.6875739;1.0752598;2.8670880;0.0002266;8.0000000
0.3530360;-3.8806644;1.1296221;2.8671568;0.0001628;8.0000000
0.3530360;-4.0737299;1.1839655;2.8672031;0.0000990;8.0000000
0.3530360;-4.2667723;1.2382950;2.8672268;0.0000352;8.0000000
0.3530360;-4.4597929;1.2926158;2.8672280;-0.0000287;8.0000000
0.3530360;-4.6527935;1.3469331;2.8672066;-0.0000926;8.0000000
0.3530360;-4.8457757;1.4012520;2.8671627;-0.0001565;8.0000000
0.3530360;-5.0387411;1.4555776;2.8670962;-0.0002204;8.0000000
0.3530360;-5.2316912;1.5099152;2.8670071;-0.0002843;8.0000000
0.3530360;-5.4246278;1.5642699;2.8668954;-0.0003482;8.0000000
0.3530360;-5.6175523;1.6186467;2.8667612;-0.0004121;8.0000000
0.3530360;-5.8104664;1.6730510;2.8666044;-0.0004759;8.0000000
0.3530360;-6.0033718;1.7274877;2.8664251;-0.0005398;8.0000000
0.3530360;-6.1962699;1.7819622;2.8662232;-0.0006036;8.0000000
0.3530360;-6.3891625;1.8364794;2.8659988;-0.0006674;8.0000000
0.3530360;-6.5820511;1.8910447;2.8657518;-0.0007312;8.0000000
0.3530360;-6.7749374;1.9456630;2.8654823;-0.0007949;8.0000000
0.3530360;-6.9678229;2.0003397;2.8651904;-0.0008585;8.0000000
0.3530360;-7.1607092;2.0550798;2.8648759;-0.0009221;8.0000000
0.3530360;-7.3535981;2.1098884;2.8645390;-0.0009857;8.0000000
0.3530360;-7.5464910;2.1647708;2.8641797;-0.0010491;8.0000000
0.3530360;-7.7393895;2.2197321;2.8637980;-0.0011125;8.0000000
0.3530360;-7.9322954;2.2747775;2.8633939;-0.0011759;8.0000000
0.3530360;-8.1252102;2.3299120;2.8629674;-0.0012391;8.0000000
0.3530360;-8.3181354;2.3851409;2.8625186;-0.0013023;8.0000000
0.3530360;-8.5110728;2.4404692;2.8620475;-0.0013653;8.0000000
0.3530360;-8.7040239;2.4959022;2.8615542;-0.0014283;8.0000000
0.3530360;-8.8969903;2.5514451;2.8610386;-0.0014911;8.0000000
0.3530360;-9.0899737;2.6071028;2.8605009;-0.0015539;8.0000000
0.3530360;-9.2829756;2.6628807;2.8599410;-0.0016165;8.0000000
0.3530360;-9.4759977;2.7187838;2.8593590;-0.0016790;8.0000000
0.3530360;-9.6690415;2.7748173;2.8587550;-0.0017413;8.0000000
0.3530360;-9.8621086;2.8309864;2.8581289;-0.0018036;8.0000000
0.3530360;-10.0552008;2.8872962;2.8574809;-0.0018657;8.0000000
