# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.087949792261739157e-01;2.733002254471464387e-02;8.109320884983270972e-01;-4.525012823140905915e-02;-8.923563074411745345e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.646614668530544223e-02;1.012614612537616088e+00;-4.528609405995798198e-02;-8.758077141369243043e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.560951236579267876e-02;1.214298112782110417e+00;-4.532142714084153035e-02;-8.597954988025134301e-05;8.000000000000000000e+00
4.087949792261739157e-01;5.475999685737879125e-02;1.415982457528550231e+00;-4.535617301083516573e-02;-8.443194314554593367e-05;8.000000000000000000e+00
4.087949792261739157e-01;6.391747743126635628e-02;1.617667515073684781e+00;-4.539034083964232913e-02;-8.293570511167853597e-05;8.000000000000000000e+00
4.087949792261739157e-01;7.308183135865796431e-02;1.819353153714256655e+00;-4.542393070505990060e-02;-8.147969650341289796e-05;8.000000000000000000e+00
4.087949792261739157e-01;8.225293591075626132e-02;2.021039241747012660e+00;-4.545694268253641646e-02;-8.005055927241866746e-05;8.000000000000000000e+00
4.087949792261739157e-01;9.143066835876353937e-02;2.222725647468692944e+00;-4.548937684517184721e-02;-7.863494057826618555e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.006149059738826040e-01;2.424412239176049422e+00;-4.552123326371759759e-02;-7.722171558661745233e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.098055260273160944e-01;2.626098885165827124e+00;-4.555251200657650656e-02;-7.580865505301073877e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.190024057902662885e-01;2.827785453734764420e+00;-4.558321313980373546e-02;-7.439575323360082609e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.282054225339358533e-01;3.029471813179611672e+00;-4.561333672710610188e-02;-7.298300438470546462e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.374144535295273584e-01;3.231157831797110802e+00;-4.564288282984296785e-02;-7.157040276296827523e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.466293760482434705e-01;3.432843377884010838e+00;-4.567185150702557372e-02;-7.015794262541313561e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.558500673612865095e-01;3.634528319737052815e+00;-4.570024281531792631e-02;-6.874561822906390986e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.650764047398591283e-01;3.836212525652982208e+00;-4.572805680903635484e-02;-6.733342383127034617e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.743082654551640631e-01;4.037895863928549822e+00;-4.575529354014951089e-02;-6.592135368959948041e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.835455267784036337e-01;4.239578202860490919e+00;-4.578195305827881256e-02;-6.450940206140104720e-05;8.000000000000000000e+00
4.087949792261739157e-01;1.927880659807806318e-01;4.441259410745560743e+00;-4.580803541069866647e-02;-6.309756320445937007e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.020357603334972108e-01;4.642939355880493224e+00;-4.583354064233491343e-02;-6.168583137606989224e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.112884871077564952e-01;4.844617906562046272e+00;-4.585846879576704893e-02;-6.027420083390825273e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.205461235747604720e-01;5.046294931086952040e+00;-4.588281991122711290e-02;-5.886266583537853858e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.298085470057121826e-01;5.247970297751966662e+00;-4.590659402659880151e-02;-5.745122063772188127e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.390756346718139191e-01;5.449643874853828507e+00;-4.592979117741946560e-02;-5.603985949801644988e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.483472638442681402e-01;5.651315530689283051e+00;-4.595241139687722409e-02;-5.462857667323179001e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.576233117942777207e-01;5.852985133555077546e+00;-4.597445471581407261e-02;-5.321736641984859404e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.669036557930448139e-01;6.054652551747954803e+00;-4.599592116272321896e-02;-5.180622299413028024e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.761881731117724614e-01;6.256317653564664738e+00;-4.601681076374997126e-02;-5.039514065217731806e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.854767410216629830e-01;6.457980307301948386e+00;-4.603712354269196005e-02;-4.898411364922111439e-05;8.000000000000000000e+00
4.087949792261739157e-01;2.947692367939188096e-01;6.659640381256549446e+00;-4.605685952099780600e-02;-4.757313624060170639e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.040655376997425940e-01;6.861297743725215170e+00;-4.607601871776778601e-02;-4.616220268073574333e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.133655210103369892e-01;7.062952263004691922e+00;-4.609460114975383327e-02;-4.475130722365965155e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.226690639969044261e-01;7.264603807391722512e+00;-4.611260683135887106e-02;-4.334044412292101776e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.319760439306474464e-01;7.466252245183048863e+00;-4.613003577463592464e-02;-4.192960763125266427e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.412863380827688142e-01;7.667897444675424445e+00;-4.614688798928923141e-02;-4.051879200078992990e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.505998237244708493e-01;7.869539274165586740e+00;-4.616316348267313074e-02;-3.910799148312499529e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.599163781269563156e-01;8.071177601950287439e+00;-4.617886225979161985e-02;-3.769720032876370440e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.692358785614276440e-01;8.272812296326266690e+00;-4.619398432329879789e-02;-3.628641278756007882e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.785582022990872098e-01;8.474443225590267303e+00;-4.620852967349775575e-02;-3.487562310877065667e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.878832266111378879e-01;8.676070258039040084e+00;-4.622249830834013196e-02;-3.346482554023976207e-05;8.000000000000000000e+00
4.087949792261739157e-01;3.972108287687822203e-01;8.877693261969326954e+00;-4.623589022342700083e-02;-3.205401432937715736e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.065408860432225824e-01;9.079312105677876943e+00;-4.624870541200665208e-02;-3.064318372228901441e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.158732757056614604e-01;9.280926657461423090e+00;-4.626094386497570099e-02;-2.923232796410379865e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.252078750273016738e-01;9.482536785616726860e+00;-4.627260557087842230e-02;-2.782144129897227251e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.345445612793459311e-01;9.684142358440528398e+00;-4.628369051590452976e-02;-2.641051797001318363e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.438832117329961635e-01;9.885743244229560744e+00;-4.629419868389206272e-02;-2.499955221882439811e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.532237036594555235e-01;1.008733931128058714e+01;-4.630413005632338930e-02;-2.358853828618902106e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.625659143299261644e-01;1.028893042789033885e+01;-4.631348461232698277e-02;-2.217747041147794361e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.719097210156109057e-01;1.049051646235556490e+01;-4.632226232867631133e-02;-2.076634283254117535e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.812550009877122337e-01;1.069209728297301432e+01;-4.633046317978917195e-02;-1.935514978641396486e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.906016315174326348e-01;1.089367275803942903e+01;-4.633808713772658017e-02;-1.794388550823047999e-05;8.000000000000000000e+00
4.087949792261739157e-01;4.999494898759748174e-01;1.109524275585155451e+01;-4.634513417219343623e-02;-1.653254423192990807e-05;8.000000000000000000e+00
4.087949792261739157e-01;5.092984533345410458e-01;1.129680714470612912e+01;-4.635160425053719280e-02;-1.512112019003921056e-05;8.000000000000000000e+00
4.087949792261739157e-01;5.186483991643341396e-01;1.149836579289990901e+01;-4.635749733774674475e-02;-1.370960761334719497e-05;8.000000000000000000e+00
4.087949792261739157e-01;5.279992046365568070e-01;1.169991856872963787e+01;-4.636281339645309529e-02;-1.229800073123044128e-05;8.000000000000000000e+00
4.087949792261739157e-01;5.373507470224113680e-01;1.190146534049205762e+01;-4.636755238692780168e-02;-1.088629377154465131e-05;8.000000000000000000e+00
4.087949792261739157e-01;5.467029035931002534e-01;1.210300597648390841e+01;-4.637171426708186495e-02;-9.474480960135807389e-06;8.000000000000000000e+00
4.087949792261739157e-01;5.560555516198261161e-01;1.230454034500193927e+01;-4.637529899246661813e-02;-8.062556521491965881e-06;8.000000000000000000e+00
4.087949792261739157e-01;5.654085683737916090e-01;1.250606831434289923e+01;-4.637830651627128375e-02;-6.650514678417362132e-06;8.000000000000000000e+00
4.087949792261739157e-01;5.747618311261993851e-01;1.270758975280352843e+01;-4.638073678932363997e-02;-5.238349651489242105e-06;8.000000000000000000e+00
4.087949792261739157e-01;5.841152171482516531e-01;1.290910452868057234e+01;-4.638258976008846624e-02;-3.826055659655344176e-06;8.000000000000000000e+00
4.087949792261739157e-01;5.934686037111511769e-01;1.311061251027077645e+01;-4.638386537466621107e-02;-2.413626920451167327e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.028218680861006096e-01;1.331211356587088801e+01;-4.638456357679432429e-02;-1.001057648587735552e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.121748875443023818e-01;1.351360756377765071e+01;-4.638468430784481455e-02;4.116579425275324577e-07;8.000000000000000000e+00
4.087949792261739157e-01;6.215275393569591467e-01;1.371509437228781358e+01;-4.638422750682269502e-02;1.824525641551259005e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.308797007952735569e-01;1.391657385969811322e+01;-4.638319311036687154e-02;3.237551239747275730e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.402312491304475994e-01;1.411804589430529333e+01;-4.638158105274992060e-02;4.650740529737335570e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.495820616336843711e-01;1.431951034440611537e+01;-4.637939126587320438e-02;6.064099306696084809e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.589320155761865250e-01;1.452096707829730704e+01;-4.637662367927064544e-02;7.477633368188109195e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.682809882291562698e-01;1.472241596427561916e+01;-4.637327822010628431e-02;8.891348513624772361e-06;8.000000000000000000e+00
4.087949792261739157e-01;6.776288568637962584e-01;1.492385687063780253e+01;-4.636935481317050467e-02;1.030525054480737444e-05;8.000000000000000000e+00
4.087949792261739157e-01;6.869754987513092548e-01;1.512528966568059730e+01;-4.636485338088380814e-02;1.171934526619874639e-05;8.000000000000000000e+00
