# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4087950;0.0273300;0.8109321;1.5255462;-0.0000892;8.0000000
0.4087950;0.0364661;1.0126146;1.5255102;-0.0000876;8.0000000
0.4087950;0.0456095;1.2142981;1.5254749;-0.0000860;8.0000000
0.4087950;0.0547600;1.4159825;1.5254402;-0.0000844;8.0000000
0.4087950;0.0639175;1.6176675;1.5254060;-0.0000829;8.0000000
0.4087950;0.0730818;1.8193532;1.5253724;-0.0000815;8.0000000
0.4087950;0.0822529;2.0210392;1.5253394;-0.0000801;8.0000000
0.4087950;0.0914307;2.2227256;1.5253069;-0.0000786;8.0000000
0.4087950;0.1006149;2.4244122;1.5252751;-0.0000772;8.0000000
0.4087950;0.1098055;2.6260989;1.5252438;-0.0000758;8.0000000
0.4087950;0.1190024;2.8277855;1.5252131;-0.0000744;8.0000000
0.4087950;0.1282054;3.0294718;1.5251830;-0.0000730;8.0000000
0.4087950;0.1374145;3.2311578;1.5251534;-0.0000716;8.0000000
0.4087950;0.1466294;3.4328434;1.5251245;-0.0000702;8.0000000
0.4087950;0.1558501;3.6345283;1.5250961;-0.0000687;8.0000000
0.4087950;0.1650764;3.8362125;1.5250683;-0.0000673;8.0000000
0.4087950;0.1743083;4.0378959;1.5250410;-0.0000659;8.0000000
0.4087950;0.1835455;4.2395782;1.5250144;-0.0000645;8.0000000
0.4087950;0.1927881;4.4412594;1.5249883;-0.0000631;8.0000000
0.4087950;0.2020358;4.6429394;1.5249628;-0.0000617;8.0000000
0.4087950;0.2112885;4.8446179;1.5249379;-0.0000603;8.0000000
0.4087950;0.2205461;5.0462949;1.5249135;-0.0000589;8.0000000
0.4087950;0.2298085;5.2479703;1.5248897;-0.0000575;8.0000000
0.4087950;0.2390756;5.4496439;1.5248665;-0.0000560;8.0000000
0.4087950;0.2483473;5.6513155;1.5248439;-0.0000546;8.0000000
0.4087950;0.2576233;5.8529851;1.5248219;-0.0000532;8.0000000
0.4087950;0.2669037;6.0546526;1.5248004;-0.0000518;8.0000000
0.4087950;0.2761882;6.2563177;1.5247795;-0.0000504;8.0000000
0.4087950;0.2854767;6.4579803;1.5247592;-0.0000490;8.0000000
0.4087950;0.2947692;6.6596404;1.5247395;-0.0000476;8.0000000
0.4087950;0.3040655;6.8612977;1.5247203;-0.0000462;8.0000000
0.4087950;0.3133655;7.0629523;1.5247017;-0.0000448;8.0000000
0.4087950;0.3226691;7.2646038;1.5246837;-0.0000433;8.0000000
0.4087950;0.3319760;7.4662522;1.5246663;-0.0000419;8.0000000
0.4087950;0.3412863;7.6678974;1.5246494;-0.0000405;8.0000000
0.4087950;0.3505998;7.8695393;1.5246332;-0.0000391;8.0000000
0.4087950;0.3599164;8.0711776;1.5246175;-0.0000377;8.0000000
0.4087950;0.3692359;8.2728123;1.5246023;-0.0000363;8.0000000
0.4087950;0.3785582;8.4744432;1.5245878;-0.0000349;8.0000000
0.4087950;0.3878832;8.6760703;1.5245738;-0.0000335;8.0000000
0.4087950;0.3972108;8.8776933;1.5245604;-0.0000321;8.0000000
0.4087950;0.4065409;9.0793121;1.5245476;-0.0000306;8.0000000
0.4087950;0.4158733;9.2809267;1.5245354;-0.0000292;8.0000000
0.4087950;0.4252079;9.4825368;1.5245237;-0.0000278;8.0000000
0.4087950;0.4345446;9.6841424;1.5245126;-0.0000264;8.0000000
0.4087950;0.4438832;9.8857432;1.5245021;-0.0000250;8.0000000
0.4087950;0.4532237;10.0873393;1.5244922;-0.0000236;8.0000000
0.4087950;0.4625659;10.2889304;1.5244828;-0.0000222;8.0000000
0.4087950;0.4719097;10.4905165;1.5244741;-0.0000208;8.0000000
0.4087950;0.4812550;10.6920973;1.5244659;-0.0000194;8.0000000
0.4087950;0.4906016;10.8936728;1.5244582;-0.0000179;8.0000000
0.4087950;0.4999495;11.0952428;1.5244512;-0.0000165;8.0000000
0.4087950;0.5092985;11.2968071;1.5244447;-0.0000151;8.0000000
0.4087950;0.5186484;11.4983658;1.5244388;-0.0000137;8.0000000
0.4087950;0.5279992;11.6999186;1.5244335;-0.0000123;8.0000000
0.4087950;0.5373507;11.9014653;1.5244288;-0.0000109;8.0000000
0.4087950;0.5467029;12.1030060;1.5244246;-0.0000095;8.0000000
0.4087950;0.5560556;12.3045403;1.5244210;-0.0000081;8.0000000
0.4087950;0.5654086;12.5060683;1.5244180;-0.0000067;8.0000000
0.4087950;0.5747618;12.7075898;1.5244156;-0.0000052;8.0000000
0.4087950;0.5841152;12.9091045;1.5244137;-0.0000038;8.0000000
0.4087950;0.5934686;13.1106125;1.5244125;-0.0000024;8.0000000
0.4087950;0.6028219;13.3121136;1.5244118;-0.0000010;8.0000000
0.4087950;0.6121749;13.5136076;1.5244116;0.0000004;8.0000000
0.4087950;0.6215275;13.7150944;1.5244121;0.0000018;8.0000000
0.4087950;0.6308797;13.9165739;1.5244131;0.0000032;8.0000000
0.4087950;0.6402312;14.1180459;1.5244147;0.0000047;8.0000000
0.4087950;0.6495821;14.3195103;1.5244169;0.0000061;8.0000000
0.4087950;0.6589320;14.5209671;1.5244197;0.0000075;8.0000000
0.4087950;0.6682810;14.7224160;1.5244230;0.0000089;8.0000000
0.4087950;0.6776289;14.9238569;1.5244270;0.0000103;8.0000000
0.4087950;0.6869755;15.1252897;1.5244315;0.0000117;8.0000000
0.4087950;0.6963208;15.3267142;1.5244366;0.0000131;8.0000000
0.4087950;0.7056646;15.5281304;1.5244422;0.0000145;8.0000000
0.4087950;0.7150068;15.7295381;1.5244484;0.0000160;8.0000000
0.4087950;0.7243473;15.9309371;1.5244553;0.0000174;8.0000000
0.4087950;0.7336860;16.1323274;1.5244627;0.0000188;8.0000000
0.4087950;0.7430227;16.3337087;1.5244706;0.0000202;8.0000000
0.4087950;0.7523573;16.5350811;1.5244792;0.0000216;8.0000000
0.4087950;0.7616897;16.7364442;1.5244883;0.0000230;8.0000000
0.4087950;0.7710198;16.9377981;1.5244980;0.0000245;8.0000000
0.4087950;0.7803474;17.1391425;1.5245083;0.0000259;8.0000000
0.4087950;0.7896725;17.3404774;1.5245192;0.0000273;8.0000000
0.4087950;0.7989948;17.5418026;1.5245306;0.0000287;8.0000000
0.4087950;0.8083144;17.7431179;1.5245426;0.0000301;8.0000000
0.4087950;0.8176309;17.9444234;1.5245552;0.0000315;8.0000000
0.4087950;0.8269445;18.1457187;1.5245684;0.0000330;8.0000000
0.4087950;0.8362548;18.3470038;1.5245822;0.0000344;8.0000000
0.4087950;0.8455618;18.5482785;1.5245965;0.0000358;8.0000000
0.4087950;0.8548654;18.7495428;1.5246114;0.0000372;8.0000000
0.4087950;0.8641654;18.9507965;1.5246269;0.0000386;8.0000000
0.4087950;0.8734617;19.1520394;1.5246430;0.0000401;8.0000000
0.4087950;0.8827542;19.3532714;1.5246597;0.0000415;8.0000000
0.4087950;0.8920429;19.5544924;1.5246769;0.0000429;8.0000000
0.4087950;0.9013274;19.7557023;1.5246948;0.0000443;8.0000000
0.4087950;0.9106078;19.9569009;1.5247132;0.0000457;8.0000000
0.4087950;0.9198839;20.1580881;1.5247321;0.0000472;8.0000000
