# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.000652533954835999e-01;3.424871905609347955e-01;-8.076486637626301146e-01;-2.873490990502378217e+00;-5.268275300424843204e-03;8.000000000000000000e+00
4.000652533954835999e-01;3.954788266002186581e-01;-1.001406271388196600e+00;-2.875719508347371889e+00;-5.277718835338784942e-03;8.000000000000000000e+00
4.000652533954835999e-01;4.479896967379026207e-01;-1.195110661286585607e+00;-2.877922686796482665e+00;-5.249933273683497770e-03;8.000000000000000000e+00
4.000652533954835999e-01;5.000341242356890481e-01;-1.388763720595102225e+00;-2.880069293204392533e+00;-5.184754876036600652e-03;8.000000000000000000e+00
4.000652533954835999e-01;5.516264323552781956e-01;-1.582367336451043549e+00;-2.882152782273510461e+00;-5.083562504148189144e-03;8.000000000000000000e+00
4.000652533954835999e-01;6.027809443583707072e-01;-1.775923395991712450e+00;-2.884172810937827958e+00;-4.953924448701481527e-03;8.000000000000000000e+00
4.000652533954835999e-01;6.535119835066686145e-01;-1.969433786354409577e+00;-2.886129048780616380e+00;-4.805010129931184919e-03;8.000000000000000000e+00
4.000652533954835999e-01;7.038338730618719508e-01;-2.162900394676436466e+00;-2.888021177938353112e+00;-4.646054007088093289e-03;8.000000000000000000e+00
4.000652533954835999e-01;7.537609362856824147e-01;-2.356325108095095544e+00;-2.889848893002896268e+00;-4.484801820697856094e-03;8.000000000000000000e+00
4.000652533954835999e-01;8.033074964398002615e-01;-2.549709813747685239e+00;-2.891611900922352874e+00;-4.322831444607084725e-03;8.000000000000000000e+00
4.000652533954835999e-01;8.524878767859268569e-01;-2.743056398771507087e+00;-2.893309920901096621e+00;-4.160173386759436626e-03;8.000000000000000000e+00
4.000652533954835999e-01;9.013164005857637884e-01;-2.936366750303865736e+00;-2.894942684299359748e+00;-3.996857908272971951e-03;8.000000000000000000e+00
4.000652533954835999e-01;9.498073911010109782e-01;-3.129642755482056948e+00;-2.896509934532830677e+00;-3.832915023825118634e-03;8.000000000000000000e+00
4.000652533954835999e-01;9.979751715933710132e-01;-3.322886301443388479e+00;-2.898011426972652682e+00;-3.668374503036227544e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.045834065324543038e+00;-3.516099275325156093e+00;-2.899446928846237448e+00;-3.503265872824971351e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.093398395556228975e+00;-3.709283564264660882e+00;-2.900816219139258578e+00;-3.337618420694955963e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.140682485550129854e+00;-3.902441055399207048e+00;-2.902119088499206079e+00;-3.171461198920576176e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.187700658567946599e+00;-4.095573635866093909e+00;-2.903355339140852642e+00;-3.004823029597044216e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.234467237871380796e+00;-4.288683192802623445e+00;-2.904524784753963473e+00;-2.837732510512175864e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.280996546722132257e+00;-4.481771613346096750e+00;-2.905627250413587603e+00;-2.670218021805311273e-03;8.000000000000000000e+00
4.000652533954835999e-01;1.327302908381903013e+00;-4.674840784633814472e+00;-2.906662572493224239e+00;-2.502307733375177916e-03;8.000000000000000000e+00
