# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4000653;0.3424872;-0.8076487;4.9804906;-0.0052683;8.0000000
0.4000653;0.3954788;-1.0014063;4.9782621;-0.0052777;8.0000000
0.4000653;0.4479897;-1.1951107;4.9760589;-0.0052499;8.0000000
0.4000653;0.5000341;-1.3887637;4.9739123;-0.0051848;8.0000000
0.4000653;0.5516264;-1.5823673;4.9718289;-0.0050836;8.0000000
0.4000653;0.6027809;-1.7759234;4.9698088;-0.0049539;8.0000000
0.4000653;0.6535120;-1.9694338;4.9678526;-0.0048050;8.0000000
0.4000653;0.7038339;-2.1629004;4.9659605;-0.0046461;8.0000000
0.4000653;0.7537609;-2.3563251;4.9641327;-0.0044848;8.0000000
0.4000653;0.8033075;-2.5497098;4.9623697;-0.0043228;8.0000000
0.4000653;0.8524879;-2.7430564;4.9606717;-0.0041602;8.0000000
0.4000653;0.9013164;-2.9363668;4.9590389;-0.0039969;8.0000000
0.4000653;0.9498074;-3.1296428;4.9574717;-0.0038329;8.0000000
0.4000653;0.9979752;-3.3228863;4.9559702;-0.0036684;8.0000000
0.4000653;1.0458341;-3.5160993;4.9545347;-0.0035033;8.0000000
0.4000653;1.0933984;-3.7092836;4.9531654;-0.0033376;8.0000000
0.4000653;1.1406825;-3.9024411;4.9518625;-0.0031715;8.0000000
0.4000653;1.1877007;-4.0955736;4.9506263;-0.0030048;8.0000000
0.4000653;1.2344672;-4.2886832;4.9494568;-0.0028377;8.0000000
0.4000653;1.2809965;-4.4817716;4.9483544;-0.0026702;8.0000000
0.4000653;1.3273029;-4.6748408;4.9473191;-0.0025023;8.0000000
0.4000653;1.3734006;-4.8678926;4.9463510;-0.0023340;8.0000000
0.4000653;1.4193041;-5.0609289;4.9454504;-0.0021654;8.0000000
0.4000653;1.4650275;-5.2539517;4.9446174;-0.0019965;8.0000000
0.4000653;1.5105853;-5.4469627;4.9438521;-0.0018273;8.0000000
0.4000653;1.5559918;-5.6399640;4.9431546;-0.0016578;8.0000000
0.4000653;1.6012613;-5.8329573;4.9425249;-0.0014881;8.0000000
0.4000653;1.6464081;-6.0259445;4.9419632;-0.0013182;8.0000000
0.4000653;1.6914465;-6.2189276;4.9414696;-0.0011481;8.0000000
0.4000653;1.7363909;-6.4119085;4.9410441;-0.0009779;8.0000000
0.4000653;1.7812555;-6.6048890;4.9406868;-0.0008075;8.0000000
0.4000653;1.8260548;-6.7978709;4.9403977;-0.0006370;8.0000000
0.4000653;1.8708030;-6.9908563;4.9401769;-0.0004665;8.0000000
0.4000653;1.9155145;-7.1838470;4.9400243;-0.0002959;8.0000000
0.4000653;1.9602035;-7.3768448;4.9399400;-0.0001254;8.0000000
0.4000653;2.0048845;-7.5698517;4.9399240;0.0000452;8.0000000
0.4000653;2.0495717;-7.7628695;4.9399763;0.0002158;8.0000000
0.4000653;2.0942794;-7.9559002;4.9400969;0.0003863;8.0000000
0.4000653;2.1390220;-8.1489456;4.9402856;0.0005566;8.0000000
0.4000653;2.1838138;-8.3420076;4.9405426;0.0007269;8.0000000
0.4000653;2.2286691;-8.5350881;4.9408677;0.0008971;8.0000000
0.4000653;2.2736022;-8.7281889;4.9412609;0.0010671;8.0000000
0.4000653;2.3186275;-8.9213121;4.9417221;0.0012368;8.0000000
0.4000653;2.3637593;-9.1144593;4.9422513;0.0014064;8.0000000
0.4000653;2.4090119;-9.3076327;4.9428482;0.0015757;8.0000000
0.4000653;2.4543997;-9.5008339;4.9435129;0.0017448;8.0000000
0.4000653;2.4999369;-9.6940650;4.9442452;0.0019135;8.0000000
0.4000653;2.5456378;-9.8873278;4.9450450;0.0020820;8.0000000
0.4000653;2.5915169;-10.0806242;4.9459122;0.0022500;8.0000000
0.4000653;2.6375884;-10.2739560;4.9468466;0.0024177;8.0000000
0.4000653;2.6838667;-10.4673252;4.9478480;0.0025850;8.0000000
0.4000653;2.7303660;-10.6607337;4.9489163;0.0027519;8.0000000
0.4000653;2.7771008;-10.8541833;4.9500513;0.0029182;8.0000000
0.4000653;2.8240852;-11.0476759;4.9512528;0.0030841;8.0000000
0.4000653;2.8713337;-11.2412135;4.9525207;0.0032495;8.0000000
0.4000653;2.9188606;-11.4347978;4.9538546;0.0034144;8.0000000
0.4000653;2.9666801;-11.6284308;4.9552544;0.0035786;8.0000000
0.4000653;3.0148067;-11.8221144;4.9567199;0.0037423;8.0000000
0.4000653;3.0632546;-12.0158505;4.9582508;0.0039053;8.0000000
0.4000653;3.1120382;-12.2096409;4.9598468;0.0040677;8.0000000
0.4000653;3.1611717;-12.4034876;4.9615076;0.0042293;8.0000000
0.4000653;3.2106696;-12.5973924;4.9632331;0.0043903;8.0000000
0.4000653;3.2605461;-12.7913571;4.9650228;0.0045505;8.0000000
0.4000653;3.3108155;-12.9853838;4.9668766;0.0047099;8.0000000
0.4000653;3.3614922;-13.1794743;4.9687940;0.0048685;8.0000000
0.4000653;3.4125905;-13.3736304;4.9707747;0.0050263;8.0000000
0.4000653;3.4641248;-13.5678541;4.9728185;0.0051832;8.0000000
0.4000653;3.5161092;-13.7621473;4.9749249;0.0053392;8.0000000
0.4000653;3.5685583;-13.9565118;4.9770935;0.0054943;8.0000000
0.4000653;3.6214862;-14.1509495;4.9793241;0.0056484;8.0000000
0.4000653;3.6749074;-14.3454623;4.9816162;0.0058016;8.0000000
0.4000653;3.7288361;-14.5400521;4.9839694;0.0059537;8.0000000
0.4000653;3.7832867;-14.7347208;4.9863833;0.0061047;8.0000000
0.4000653;3.8382734;-14.9294702;4.9888575;0.0062547;8.0000000
0.4000653;3.8938107;-15.1243023;4.9913914;0.0064035;8.0000000
0.4000653;3.9499128;-15.3192190;4.9939848;0.0065512;8.0000000
0.4000653;4.0065940;-15.5142221;4.9966371;0.0066977;8.0000000
0.4000653;4.0638687;-15.7093135;4.9993477;0.0068430;8.0000000
0.4000653;4.1217513;-15.9044951;5.0021164;0.0069871;8.0000000
0.4000653;4.1802559;-16.0997688;5.0049424;0.0071298;8.0000000
0.4000653;4.2393970;-16.2951365;5.0078253;0.0072713;8.0000000
0.4000653;4.2991889;-16.4906000;5.0107647;0.0074114;8.0000000
0.4000653;4.3596458;-16.6861613;5.0137598;0.0075501;8.0000000
0.4000653;4.4207822;-16.8818222;5.0168102;0.0076874;8.0000000
0.4000653;4.4826124;-17.0775847;5.0199154;0.0078233;8.0000000
0.4000653;4.5451505;-17.2734506;5.0230746;0.0079577;8.0000000
0.4000653;4.6084111;-17.4694218;5.0262874;0.0080906;8.0000000
0.4000653;4.6724084;-17.6655001;5.0295531;0.0082220;8.0000000
0.4000653;4.7371567;-17.8616876;5.0328711;0.0083518;8.0000000
0.4000653;4.8026704;-18.0579860;5.0362408;0.0084800;8.0000000
0.4000653;4.8689638;-18.2543972;5.0396615;0.0086066;8.0000000
0.4000653;4.9360512;-18.4509232;5.0431325;0.0087315;8.0000000
0.4000653;5.0039468;-18.6475659;5.0466532;0.0088547;8.0000000
0.4000653;5.0726652;-18.8443270;5.0502229;0.0089762;8.0000000
0.4000653;5.1422205;-19.0412085;5.0538410;0.0090960;8.0000000
0.4000653;5.2126271;-19.2382123;5.0575066;0.0092139;8.0000000
0.4000653;5.2838994;-19.4353403;5.0612191;0.0093301;8.0000000
0.4000653;5.3560516;-19.6325944;5.0649778;0.0094444;8.0000000
0.4000653;5.4290980;-19.8299764;5.0687818;0.0095568;8.0000000
0.4000653;5.5030530;-20.0274882;5.0726305;0.0096674;8.0000000
0.4000653;5.5779310;-20.2251318;5.0765231;0.0097760;8.0000000
0.4000653;5.6537462;-20.4229089;5.0804589;0.0098826;8.0000000
0.4000653;5.7305129;-20.6208216;5.0844369;0.0099873;8.0000000
0.4000653;5.8082456;-20.8188716;5.0884564;0.0100979;8.0000000
0.4000653;5.8869584;-21.0170610;5.0925167;0.0102716;8.0000000
0.4000653;5.9666658;-21.2153914;5.0966169;0.0105856;8.0000000
0.4000653;6.0473820;-21.4138649;5.1007562;0.0111201;5.7921824
0.4000653;6.1291214;-21.6124834;5.1049337;0.0119513;4.4084049
0.4000653;6.2118983;-21.8112487;5.1091802;0.0131103;4.4084049
0.4000653;6.2957270;-22.0101626;5.1137236;0.0146132;4.4084049
0.4000653;6.3806300;-22.2091759;5.1188726;0.0164799;4.4084049
0.4000653;6.4666794;-22.4079215;5.1249465;0.0187346;4.4084049
0.4000653;6.5539665;-22.6059116;5.1322498;0.0214064;4.4084049
0.4000653;6.6425826;-22.8026579;5.1409061;0.0245212;4.4084049
0.4000653;6.7326191;-22.9976722;5.1509789;0.0280617;4.4084049
0.4000653;6.8241673;-23.1904662;5.1625471;0.0319963;4.4084049
0.4000653;6.9173184;-23.3805517;5.1757068;0.0362977;4.4084049
0.4000653;7.0121639;-23.5674405;5.1905730;0.0409497;4.4084049
0.4000653;7.1087949;-23.7506444;5.2072810;0.0459891;4.4084049
0.4000653;7.2073028;-23.9296750;5.2259887;0.0514759;4.4084049
0.4000653;7.3077790;-24.1040442;5.2468787;0.0574743;4.4084049
0.4000653;7.4103147;-24.2732638;5.2701611;0.0640514;4.4084049
0.4000653;7.5150012;-24.4368454;5.2960754;0.0712752;4.4084049
0.4000653;7.6219299;-24.5943010;5.3248925;0.0792104;4.4084049
0.4000653;7.7311921;-24.7451421;5.3569160;0.0879127;4.4084049
0.4000653;7.8428791;-24.8888807;5.3924817;0.0974200;4.4084049
0.4000653;7.9570821;-25.0250285;5.4319543;0.1077398;4.4084049
0.4000653;8.0738926;-25.1530972;5.4757202;0.1188341;4.4084049
0.4000653;8.1934018;-25.2725986;5.5241742;0.1306019;4.4084049
0.4000653;8.3157010;-25.3830445;5.5776969;0.1428626;4.4084049
0.4000653;8.4408815;-25.4839466;5.6366223;0.1553442;4.4084049
0.4000653;8.5690347;-25.5748168;5.7011905;0.1676821;4.4084049
0.4000653;8.7002519;-25.6551667;5.7714891;0.1794333;4.4084049
0.4000653;8.8346244;-25.7245082;5.8473853;0.1899740;4.4084049
0.4000653;8.9722435;-25.7823530;5.9284598;0.1983804;4.4084049
0.4000653;9.1132004;-25.8282128;6.0139599;0.2038507;4.4084049
0.4000653;9.2575866;-25.8615995;6.1027921;0.2058245;4.4084049
0.4000653;9.4054933;-25.8820248;6.1935706;0.2040915;4.4084049
0.4000653;9.5570119;-25.8890005;0.0010089;0.1988744;4.4847738
0.4000653;9.7122334;-25.8820391;0.0881628;0.1905202;4.4847738
0.4000653;9.8711651;-25.8609805;0.1689726;0.1794442;4.7213399
0.4000653;10.0335985;-25.8265054;0.2414375;0.1661228;4.7213399
0.4000653;10.1992912;-25.7794281;0.3048031;0.1510783;5.1455160
0.4000653;10.3680005;-25.7205625;0.3598274;0.1349855;5.1455160
0.4000653;10.5394840;-25.6507228;0.4074796;0.1187982;5.8026327
0.4000653;10.7134990;-25.5707229;0.4486685;0.1033385;6.2215560
0.4000653;10.8898030;-25.4813770;0.4842064;0.0891913;6.6968232
0.4000653;11.0681535;-25.3834991;0.5147971;0.0766135;7.2256580
0.4000653;11.2483080;-25.2779033;0.5410390;0.0654697;7.8164559
0.4000653;11.4300238;-25.1654036;0.5634330;0.0555589;8.0000000
0.4000653;11.6130585;-25.0468141;0.5823939;0.0466840;8.0000000
0.4000653;11.7971694;-24.9229489;0.5982607;0.0386613;8.0000000
0.4000653;11.9821141;-24.7946220;0.6113070;0.0313244;8.0000000
0.4000653;12.1676500;-24.6626475;0.6217489;0.0245236;8.0000000
0.4000653;12.3535345;-24.5278395;0.6297516;0.0181235;8.0000000
0.4000653;12.5395252;-24.3910120;0.6354350;0.0120000;8.0000000
0.4000653;12.7253794;-24.2529791;0.6388769;0.0060367;8.0000000
0.4000653;12.9108545;-24.1145548;0.6401153;0.0001225;8.0000000
0.4000653;13.0957082;-23.9765533;0.6391493;-0.0058031;8.0000000
0.4000653;13.2796977;-23.8397885;0.6359388;-0.0117335;6.1062420
0.4000653;13.4625806;-23.7050746;0.6304019;-0.0176357;6.1062420
0.4000653;13.6441144;-23.5732255;0.6224116;-0.0234485;6.1062420
0.4000653;13.8240564;-23.4450555;0.6117973;-0.0291373;6.1062420
0.4000653;14.0021641;-23.3213784;0.5985327;-0.0347151;6.1062420
0.4000653;14.1782012;-23.2029970;0.5828101;-0.0401867;6.1062420
0.4000653;14.3521115;-23.0903821;0.5648808;-0.0455435;6.1062420
0.4000653;14.5240423;-22.9836302;0.5450675;-0.0507620;6.1062420
0.4000653;14.6941514;-22.8828178;0.5235471;-0.0558030;6.1062420
0.4000653;14.8625970;-22.7880212;0.5002663;-0.0606573;6.1062420
0.4000653;15.0295371;-22.6993169;0.4751658;-0.0653639;6.1062420
0.4000653;15.1951298;-22.6167814;0.4481980;-0.0699683;6.1062420
0.4000653;15.3595330;-22.5404911;0.4193303;-0.0745253;6.1062420
0.4000653;15.5229049;-22.4705223;0.3885490;-0.0790440;6.1062420
0.4000653;15.6854035;-22.4069517;0.3558638;-0.0834668;6.1062420
0.4000653;15.8471868;-22.3498555;0.3213119;-0.0877255;6.1062420
0.4000653;16.0084128;-22.2993103;0.2849621;-0.0917467;6.1062420
0.4000653;16.1692396;-22.2553924;0.2469178;-0.0954541;6.1062420
0.4000653;16.3298253;-22.2181783;0.2073194;-0.0987719;6.1062420
0.4000653;16.4903279;-22.1877445;0.1663444;-0.1016273;6.1062420
0.4000653;16.6509054;-22.1641673;0.1242065;-0.1039549;6.1062420
