# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.398656613086380784e-01;-8.782254506291984342e-01;-6.853125219650110789e-02;1.661365168240211077e+00;-4.262688207774271358e-04;8.000000000000000000e+00
4.398656613086380784e-01;-1.079222276047688833e+00;-8.676482827568691991e-02;1.661160319886365144e+00;-4.396740915244896257e-04;8.000000000000000000e+00
4.398656613086380784e-01;-1.280202983308795561e+00;-1.049545918323657318e-01;1.660953168224972742e+00;-4.489898437553466312e-04;8.000000000000000000e+00
4.398656613086380784e-01;-1.481167781486321333e+00;-1.231010159034235107e-01;1.660747466799349148e+00;-4.542141638434890540e-04;8.000000000000000000e+00
4.398656613086380784e-01;-1.682116879654052211e+00;-1.412045735257448087e-01;1.660543967696899159e+00;-4.555155686695723473e-04;8.000000000000000000e+00
4.398656613086380784e-01;-1.883050486885787356e+00;-1.592657377362151627e-01;1.660342672327066893e+00;-4.537450422913076359e-04;8.000000000000000000e+00
4.398656613086380784e-01;-2.083968812255320380e+00;-1.772849815717194577e-01;1.660143582082316271e+00;-4.499247787744809217e-04;8.000000000000000000e+00
4.398656613086380784e-01;-2.284872064836447336e+00;-1.952627780691434389e-01;1.659946698338134574e+00;-4.450777401730960400e-04;8.000000000000000000e+00
4.398656613086380784e-01;-2.485760453702964945e+00;-2.131996002653722133e-01;1.659752022453034215e+00;-4.400569754856607568e-04;8.000000000000000000e+00
4.398656613086380784e-01;-2.686634187928662598e+00;-2.310959211972905825e-01;1.659559555768558070e+00;-4.350331801584660335e-04;8.000000000000000000e+00
4.398656613086380784e-01;-2.887493476587337682e+00;-2.489522139017840419e-01;1.659369299609281256e+00;-4.300063927585065201e-04;8.000000000000000000e+00
4.398656613086380784e-01;-3.088338528752783585e+00;-2.667689514157376984e-01;1.659181255282817347e+00;-4.249766518444981155e-04;8.000000000000000000e+00
4.398656613086380784e-01;-3.289169553498796361e+00;-2.845466067760366591e-01;1.658995424079822811e+00;-4.199439959656666973e-04;8.000000000000000000e+00
4.398656613086380784e-01;-3.489986759899172952e+00;-3.022856530195667801e-01;1.658811807273994354e+00;-4.149084636629591207e-04;8.000000000000000000e+00
4.398656613086380784e-01;-3.690790357027702306e+00;-3.199865631832123913e-01;1.658630406122083123e+00;-4.098700934686397876e-04;8.000000000000000000e+00
4.398656613086380784e-01;-3.891580553958184030e+00;-3.376498103038592102e-01;1.658451221863890268e+00;-4.048289239046753475e-04;8.000000000000000000e+00
4.398656613086380784e-01;-4.092357559764411512e+00;-3.552758674183922882e-01;1.658274255722273161e+00;-3.997849934847533195e-04;8.000000000000000000e+00
4.398656613086380784e-01;-4.293121583520180806e+00;-3.728652075636971763e-01;1.658099508903154273e+00;-3.947383407140809186e-04;8.000000000000000000e+00
4.398656613086380784e-01;-4.493872834299283525e+00;-3.904183037766585929e-01;1.657926982595517629e+00;-3.896890040865575648e-04;8.000000000000000000e+00
4.398656613086380784e-01;-4.694611521175515279e+00;-4.079356290941620333e-01;1.657756677971415904e+00;-3.846370220884098878e-04;8.000000000000000000e+00
4.398656613086380784e-01;-4.895337853222672564e+00;-4.254176565530926046e-01;1.657588596185979313e+00;-3.795824331957683723e-04;8.000000000000000000e+00
4.398656613086380784e-01;-5.096052039514549215e+00;-4.428648591903355802e-01;1.657422738377412941e+00;-3.745252758754753059e-04;8.000000000000000000e+00
4.398656613086380784e-01;-5.296754289124937287e+00;-4.602777100427760115e-01;1.657259105667002075e+00;-3.694655885844787095e-04;8.000000000000000000e+00
4.398656613086380784e-01;-5.497444811127635056e+00;-4.776566821472992275e-01;1.657097699159121973e+00;-3.644034097708422179e-04;8.000000000000000000e+00
4.398656613086380784e-01;-5.698123814596433689e+00;-4.950022485407905015e-01;1.656938519941236088e+00;-3.593387778715238204e-04;8.000000000000000000e+00
4.398656613086380784e-01;-5.898791508605135014e+00;-5.123148822601349961e-01;1.656781569083902284e+00;-3.542717313152027553e-04;8.000000000000000000e+00
4.398656613086380784e-01;-6.099448102227525759e+00;-5.295950563422180402e-01;1.656626847640775502e+00;-3.492023085204622244e-04;8.000000000000000000e+00
4.398656613086380784e-01;-6.300093804537405084e+00;-5.468432438239247961e-01;1.656474356648619306e+00;-3.441305478951837580e-04;8.000000000000000000e+00
4.398656613086380784e-01;-6.500728824608565937e+00;-5.640599177421401489e-01;1.656324097127297890e+00;-3.390564878385662157e-04;8.000000000000000000e+00
4.398656613086380784e-01;-6.701353371514802149e+00;-5.812455511337496494e-01;1.656176070079792950e+00;-3.339801667397124208e-04;8.000000000000000000e+00
4.398656613086380784e-01;-6.901967654329911106e+00;-5.984006170356385157e-01;1.656030276492200137e+00;-3.289016229770234706e-04;8.000000000000000000e+00
4.398656613086380784e-01;-7.102571882127689307e+00;-6.155255884846919656e-01;1.655886717333734381e+00;-3.238208949196121566e-04;8.000000000000000000e+00
