# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4398657;-0.8782255;-0.0685313;3.2321615;-0.0004263;8.0000000
0.4398657;-1.0792223;-0.0867648;3.2319566;-0.0004397;8.0000000
0.4398657;-1.2802030;-0.1049546;3.2317495;-0.0004490;8.0000000
0.4398657;-1.4811678;-0.1231010;3.2315438;-0.0004542;8.0000000
0.4398657;-1.6821169;-0.1412046;3.2313403;-0.0004555;8.0000000
0.4398657;-1.8830505;-0.1592657;3.2311390;-0.0004537;8.0000000
0.4398657;-2.0839688;-0.1772850;3.2309399;-0.0004499;8.0000000
0.4398657;-2.2848721;-0.1952628;3.2307430;-0.0004451;8.0000000
0.4398657;-2.4857605;-0.2131996;3.2305483;-0.0004401;8.0000000
0.4398657;-2.6866342;-0.2310959;3.2303559;-0.0004350;8.0000000
0.4398657;-2.8874935;-0.2489522;3.2301656;-0.0004300;8.0000000
0.4398657;-3.0883385;-0.2667690;3.2299776;-0.0004250;8.0000000
0.4398657;-3.2891696;-0.2845466;3.2297918;-0.0004199;8.0000000
0.4398657;-3.4899868;-0.3022857;3.2296081;-0.0004149;8.0000000
0.4398657;-3.6907904;-0.3199866;3.2294267;-0.0004099;8.0000000
0.4398657;-3.8915806;-0.3376498;3.2292475;-0.0004048;8.0000000
0.4398657;-4.0923576;-0.3552759;3.2290706;-0.0003998;8.0000000
0.4398657;-4.2931216;-0.3728652;3.2288958;-0.0003947;8.0000000
0.4398657;-4.4938728;-0.3904183;3.2287233;-0.0003897;8.0000000
0.4398657;-4.6946115;-0.4079356;3.2285530;-0.0003846;8.0000000
0.4398657;-4.8953379;-0.4254177;3.2283849;-0.0003796;8.0000000
0.4398657;-5.0960520;-0.4428649;3.2282191;-0.0003745;8.0000000
0.4398657;-5.2967543;-0.4602777;3.2280554;-0.0003695;8.0000000
0.4398657;-5.4974448;-0.4776567;3.2278940;-0.0003644;8.0000000
0.4398657;-5.6981238;-0.4950022;3.2277348;-0.0003593;8.0000000
0.4398657;-5.8987915;-0.5123149;3.2275779;-0.0003543;8.0000000
0.4398657;-6.0994481;-0.5295951;3.2274232;-0.0003492;8.0000000
0.4398657;-6.3000938;-0.5468432;3.2272707;-0.0003441;8.0000000
0.4398657;-6.5007288;-0.5640599;3.2271204;-0.0003391;8.0000000
0.4398657;-6.7013534;-0.5812456;3.2269724;-0.0003340;8.0000000
0.4398657;-6.9019677;-0.5984006;3.2268266;-0.0003289;8.0000000
0.4398657;-7.1025719;-0.6155256;3.2266830;-0.0003238;8.0000000
0.4398657;-7.3031663;-0.6326209;3.2265417;-0.0003187;8.0000000
0.4398657;-7.5037510;-0.6496871;3.2264026;-0.0003137;8.0000000
0.4398657;-7.7043263;-0.6667247;3.2262658;-0.0003086;8.0000000
0.4398657;-7.9048924;-0.6837340;3.2261312;-0.0003035;8.0000000
0.4398657;-8.1054495;-0.7007156;3.2259988;-0.0002984;8.0000000
0.4398657;-8.3059978;-0.7176699;3.2258687;-0.0002933;8.0000000
0.4398657;-8.5065375;-0.7345975;3.2257408;-0.0002882;8.0000000
0.4398657;-8.7070688;-0.7514987;3.2256151;-0.0002831;8.0000000
0.4398657;-8.9075920;-0.7683741;3.2254917;-0.0002780;8.0000000
0.4398657;-9.1081071;-0.7852242;3.2253705;-0.0002729;8.0000000
0.4398657;-9.3086146;-0.8020493;3.2252516;-0.0002678;8.0000000
0.4398657;-9.5091144;-0.8188501;3.2251349;-0.0002627;8.0000000
0.4398657;-9.7096070;-0.8356269;3.2250205;-0.0002576;8.0000000
0.4398657;-9.9100924;-0.8523802;3.2249083;-0.0002525;8.0000000
0.4398657;-10.1105709;-0.8691105;3.2247984;-0.0002474;8.0000000
0.4398657;-10.3110426;-0.8858183;3.2246907;-0.0002423;8.0000000
0.4398657;-10.5115079;-0.9025040;3.2245853;-0.0002372;8.0000000
0.4398657;-10.7119669;-0.9191682;3.2244821;-0.0002320;8.0000000
0.4398657;-10.9124198;-0.9358112;3.2243811;-0.0002269;8.0000000
0.4398657;-11.1128669;-0.9524337;3.2242824;-0.0002218;8.0000000
0.4398657;-11.3133082;-0.9690359;3.2241860;-0.0002167;8.0000000
0.4398657;-11.5137441;-0.9856185;3.2240918;-0.0002116;8.0000000
0.4398657;-11.7141748;-1.0021818;3.2239999;-0.0002064;8.0000000
0.4398657;-11.9146004;-1.0187265;3.2239102;-0.0002013;8.0000000
0.4398657;-12.1150212;-1.0352528;3.2238227;-0.0001962;8.0000000
0.4398657;-12.3154374;-1.0517614;3.2237376;-0.0001911;8.0000000
0.4398657;-12.5158492;-1.0682526;3.2236546;-0.0001860;8.0000000
0.4398657;-12.7162568;-1.0847270;3.2235740;-0.0001808;8.0000000
0.4398657;-12.9166603;-1.1011850;3.2234956;-0.0001757;8.0000000
0.4398657;-13.1170601;-1.1176271;3.2234194;-0.0001706;8.0000000
0.4398657;-13.3174564;-1.1340537;3.2233455;-0.0001654;8.0000000
0.4398657;-13.5178492;-1.1504655;3.2232738;-0.0001603;8.0000000
0.4398657;-13.7182389;-1.1668627;3.2232045;-0.0001552;8.0000000
0.4398657;-13.9186257;-1.1832459;3.2231373;-0.0001500;8.0000000
0.4398657;-14.1190097;-1.1996156;3.2230725;-0.0001449;8.0000000
0.4398657;-14.3193912;-1.2159722;3.2230098;-0.0001398;8.0000000
0.4398657;-14.5197704;-1.2323162;3.2229495;-0.0001346;8.0000000
0.4398657;-14.7201474;-1.2486481;3.2228914;-0.0001295;8.0000000
0.4398657;-14.9205226;-1.2649684;3.2228355;-0.0001244;8.0000000
0.4398657;-15.1208960;-1.2812775;3.2227820;-0.0001192;8.0000000
0.4398657;-15.3212680;-1.2975758;3.2227306;-0.0001141;8.0000000
0.4398657;-15.5216387;-1.3138640;3.2226816;-0.0001090;8.0000000
0.4398657;-15.7220084;-1.3301424;3.2226348;-0.0001038;8.0000000
0.4398657;-15.9223772;-1.3464115;3.2225902;-0.0000987;8.0000000
0.4398657;-16.1227453;-1.3626718;3.2225480;-0.0000935;8.0000000
0.4398657;-16.3231130;-1.3789238;3.2225079;-0.0000884;8.0000000
0.4398657;-16.5234805;-1.3951679;3.2224702;-0.0000833;8.0000000
0.4398657;-16.7238480;-1.4114047;3.2224347;-0.0000781;8.0000000
0.4398657;-16.9242156;-1.4276345;3.2224014;-0.0000730;8.0000000
0.4398657;-17.1245837;-1.4438578;3.2223705;-0.0000678;8.0000000
0.4398657;-17.3249523;-1.4600752;3.2223418;-0.0000627;8.0000000
0.4398657;-17.5253218;-1.4762872;3.2223153;-0.0000576;8.0000000
0.4398657;-17.7256923;-1.4924940;3.2222911;-0.0000524;8.0000000
0.4398657;-17.9260640;-1.5086964;3.2222692;-0.0000473;8.0000000
0.4398657;-18.1264372;-1.5248946;3.2222495;-0.0000421;8.0000000
0.4398657;-18.3268120;-1.5410893;3.2222321;-0.0000370;8.0000000
0.4398657;-18.5271887;-1.5572808;3.2222170;-0.0000319;8.0000000
0.4398657;-18.7275675;-1.5734696;3.2222041;-0.0000267;8.0000000
0.4398657;-18.9279485;-1.5896563;3.2221935;-0.0000216;8.0000000
0.4398657;-19.1283320;-1.6058413;3.2221851;-0.0000164;8.0000000
0.4398657;-19.3287183;-1.6220250;3.2221790;-0.0000113;8.0000000
0.4398657;-19.5291074;-1.6382080;3.2221752;-0.0000061;8.0000000
0.4398657;-19.7294997;-1.6543906;3.2221736;-0.0000010;8.0000000
0.4398657;-19.9298952;-1.6705735;3.2221743;0.0000041;8.0000000
0.4398657;-20.1302944;-1.6867570;3.2221773;0.0000093;8.0000000
0.4398657;-20.3306972;-1.7029416;3.2221825;0.0000144;8.0000000
0.4398657;-20.5311040;-1.7191278;3.2221900;0.0000196;8.0000000
0.4398657;-20.7315150;-1.7353161;3.2221997;0.0000247;8.0000000
0.4398657;-20.9319303;-1.7515069;3.2222117;0.0000298;8.0000000
0.4398657;-21.1323503;-1.7677008;3.2222260;0.0000350;8.0000000
0.4398657;-21.3327750;-1.7838981;3.2222425;0.0000401;8.0000000
0.4398657;-21.5332047;-1.8000995;3.2222613;0.0000453;8.0000000
0.4398657;-21.7336396;-1.8163052;3.2222823;0.0000504;8.0000000
0.4398657;-21.9340800;-1.8325159;3.2223056;0.0000555;8.0000000
0.4398657;-22.1345259;-1.8487319;3.2223311;0.0000607;8.0000000
0.4398657;-22.3349777;-1.8649538;3.2223590;0.0000658;8.0000000
0.4398657;-22.5354356;-1.8811820;3.2223890;0.0000709;8.0000000
0.4398657;-22.7358996;-1.8974171;3.2224214;0.0000761;8.0000000
0.4398657;-22.9363702;-1.9136594;3.2224560;0.0000812;8.0000000
0.4398657;-23.1368474;-1.9299094;3.2224928;0.0000863;8.0000000
0.4398657;-23.3373315;-1.9461677;3.2225319;0.0000915;8.0000000
0.4398657;-23.5378227;-1.9624347;3.2225733;0.0000966;8.0000000
0.4398657;-23.7383212;-1.9787108;3.2226169;0.0001017;8.0000000
0.4398657;-23.9388272;-1.9949966;3.2226628;0.0001069;8.0000000
0.4398657;-24.1393409;-2.0112925;3.2227109;0.0001120;8.0000000
0.4398657;-24.3398626;-2.0275990;3.2227613;0.0001171;8.0000000
0.4398657;-24.5403924;-2.0439165;3.2228139;0.0001222;8.0000000
0.4398657;-24.7409305;-2.0602456;3.2228688;0.0001274;8.0000000
0.4398657;-24.9414771;-2.0765866;3.2229260;0.0001325;8.0000000
0.4398657;-25.1420326;-2.0929402;3.2229854;0.0001376;8.0000000
0.4398657;-25.3425970;-2.1093067;3.2230470;0.0001427;8.0000000
0.4398657;-25.5431706;-2.1256866;3.2231109;0.0001478;8.0000000
0.4398657;-25.7437535;-2.1420805;3.2231771;0.0001530;8.0000000
0.4398657;-25.9443461;-2.1584887;3.2232455;0.0001581;8.0000000
0.4398657;-26.1449485;-2.1749117;3.2233162;0.0001632;8.0000000
0.4398657;-26.3455609;-2.1913501;3.2233891;0.0001683;8.0000000
0.4398657;-26.5461835;-2.2078042;3.2234642;0.0001734;8.0000000
0.4398657;-26.7468165;-2.2242747;3.2235416;0.0001785;8.0000000
0.4398657;-26.9474602;-2.2407618;3.2236213;0.0001836;8.0000000
0.4398657;-27.1481148;-2.2572662;3.2237032;0.0001887;8.0000000
0.4398657;-27.3487804;-2.2737882;3.2237873;0.0001938;8.0000000
0.4398657;-27.5494573;-2.2903284;3.2238737;0.0001989;8.0000000
0.4398657;-27.7501456;-2.3068873;3.2239623;0.0002040;8.0000000
0.4398657;-27.9508457;-2.3234652;3.2240532;0.0002091;8.0000000
0.4398657;-28.1515576;-2.3400627;3.2241463;0.0002142;8.0000000
0.4398657;-28.3522817;-2.3566802;3.2242417;0.0002193;8.0000000
0.4398657;-28.5530181;-2.3733183;3.2243393;0.0002244;8.0000000
0.4398657;-28.7537670;-2.3899774;3.2244392;0.0002295;8.0000000
0.4398657;-28.9545286;-2.4066579;3.2245412;0.0002346;8.0000000
0.4398657;-29.1553032;-2.4233604;3.2246456;0.0002397;8.0000000
0.4398657;-29.3560909;-2.4400853;3.2247521;0.0002448;8.0000000
0.4398657;-29.5568920;-2.4568330;3.2248609;0.0002499;8.0000000
0.4398657;-29.7577066;-2.4736042;3.2249720;0.0002550;8.0000000
0.4398657;-29.9585351;-2.4903991;3.2250852;0.0002600;8.0000000
0.4398657;-30.1593775;-2.5072184;3.2252007;0.0002651;8.0000000
0.4398657;-30.3602341;-2.5240624;3.2253185;0.0002702;8.0000000
0.4398657;-30.5611051;-2.5409317;3.2254384;0.0002752;8.0000000
0.4398657;-30.7619908;-2.5578267;3.2255607;0.0002797;8.0000000
0.4398657;-30.9628912;-2.5747480;3.2256851;0.0002834;8.0000000
0.4398657;-31.1638067;-2.5916958;3.2258117;0.0002857;8.0000000
0.4398657;-31.3647375;-2.6086709;3.2259406;0.0002863;8.0000000
0.4398657;-31.5656837;-2.6256735;3.2260714;0.0002851;8.0000000
0.4398657;-31.7666455;-2.6427042;3.2262025;0.0002820;8.0000000
0.4398657;-31.9676230;-2.6597633;3.2263318;0.0002773;8.0000000
0.4398657;-32.1686149;-2.6768496;3.2264574;0.0002707;8.0000000
0.4398657;-32.3696199;-2.6939619;3.2265777;0.0002623;8.0000000
0.4398657;-32.5706366;-2.7110990;3.2266923;0.0002522;8.0000000
0.4398657;-32.7716635;-2.7282596;3.2268013;0.0002408;8.0000000
0.4398657;-32.9726994;-2.7454425;3.2269046;0.0002285;8.0000000
0.4398657;-33.1737427;-2.7626464;3.2270023;0.0002158;8.0000000
0.4398657;-33.3747921;-2.7798700;3.2270944;0.0002029;8.0000000
0.4398657;-33.5758463;-2.7971121;3.2271808;0.0001901;8.0000000
0.4398657;-33.7769037;-2.8143714;3.2272617;0.0001773;8.0000000
0.4398657;-33.9779631;-2.8316467;3.2273368;0.0001645;8.0000000
0.4398657;-34.1790229;-2.8489367;3.2274064;0.0001517;8.0000000
0.4398657;-34.3800819;-2.8662401;3.2274703;0.0001390;8.0000000
0.4398657;-34.5811386;-2.8835557;3.2275286;0.0001262;8.0000000
0.4398657;-34.7821916;-2.9008823;3.2275813;0.0001134;8.0000000
0.4398657;-34.9832396;-2.9182185;3.2276284;0.0001006;8.0000000
0.4398657;-35.1842811;-2.9355631;3.2276698;0.0000878;8.0000000
0.4398657;-35.3853147;-2.9529148;3.2277056;0.0000750;8.0000000
0.4398657;-35.5863391;-2.9702725;3.2277358;0.0000623;8.0000000
0.4398657;-35.7873529;-2.9876347;3.2277604;0.0000495;8.0000000
0.4398657;-35.9883546;-3.0050004;3.2277794;0.0000367;8.0000000
0.4398657;-36.1893428;-3.0223681;3.2277927;0.0000239;8.0000000
0.4398657;-36.3903162;-3.0397367;3.2278004;0.0000111;8.0000000
0.4398657;-36.5912734;-3.0571049;3.2278025;-0.0000017;8.0000000
0.4398657;-36.7922130;-3.0744714;3.2277990;-0.0000145;8.0000000
0.4398657;-36.9931335;-3.0918350;3.2277898;-0.0000272;8.0000000
0.4398657;-37.1940337;-3.1091944;3.2277750;-0.0000400;8.0000000
0.4398657;-37.3949120;-3.1265483;3.2277546;-0.0000529;8.0000000
0.4398657;-37.5957671;-3.1438955;3.2277285;-0.0000657;8.0000000
0.4398657;-37.7965976;-3.1612348;3.2276968;-0.0000785;8.0000000
0.4398657;-37.9974021;-3.1785649;3.2276595;-0.0000913;8.0000000
0.4398657;-38.1981793;-3.1958844;3.2276165;-0.0001041;8.0000000
0.4398657;-38.3989276;-3.2131922;3.2275679;-0.0001170;8.0000000
0.4398657;-38.5996458;-3.2304870;3.2275137;-0.0001298;8.0000000
0.4398657;-38.8003323;-3.2477676;3.2274537;-0.0001427;8.0000000
0.4398657;-39.0009859;-3.2650326;3.2273882;-0.0001556;8.0000000
0.4398657;-39.2016052;-3.2822809;3.2273169;-0.0001684;8.0000000
0.4398657;-39.4021886;-3.2995111;3.2272400;-0.0001813;8.0000000
0.4398657;-39.6027349;-3.3167220;3.2271575;-0.0001942;8.0000000
0.4398657;-39.8032427;-3.3339123;3.2270692;-0.0002071;8.0000000
0.4398657;-40.0037105;-3.3510808;3.2269753;-0.0002201;8.0000000
0.4398657;-40.2041369;-3.3682263;3.2268757;-0.0002330;8.0000000
0.4398657;-40.4045206;-3.3853474;3.2267704;-0.0002459;8.0000000
0.4398657;-40.6048602;-3.4024429;3.2266593;-0.0002589;8.0000000
0.4398657;-40.8051543;-3.4195115;3.2265426;-0.0002719;8.0000000
0.4398657;-41.0054014;-3.4365521;3.2264202;-0.0002849;8.0000000
0.4398657;-41.2056002;-3.4535632;3.2262921;-0.0002979;8.0000000
0.4398657;-41.4057493;-3.4705438;3.2261582;-0.0003109;8.0000000
0.4398657;-41.6058472;-3.4874924;3.2260186;-0.0003240;8.0000000
0.4398657;-41.8058927;-3.5044079;3.2258732;-0.0003371;8.0000000
0.4398657;-42.0058842;-3.5212889;3.2257221;-0.0003501;8.0000000
