# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.569032048669529056e-01;1.711688540915634604e-03;1.645591036429427945e-02;1.783555129098603587e+00;3.686146527259989746e-04;8.000000000000000000e+00
4.569032048669529056e-01;-1.954028955976748749e-01;-2.614481308845636662e-02;1.783733877482915453e+00;3.754716424791535345e-04;8.000000000000000000e+00
4.569032048669529056e-01;-3.925090045156789387e-01;-6.878113779608749367e-02;1.783912892415896678e+00;3.781457183579975769e-04;8.000000000000000000e+00
4.569032048669529056e-01;-5.896067492874429439e-01;-1.114523535708718954e-01;1.784088987608139831e+00;3.768108327440637477e-04;8.000000000000000000e+00
4.569032048669529056e-01;-7.866962409873027307e-01;-1.541577502250806031e-01;1.784261525801710491e+00;3.723382961599260629e-04;8.000000000000000000e+00
4.569032048669529056e-01;-9.837775906896036870e-01;-1.968966175709859212e-01;1.784430507048806902e+00;3.657738680871706785e-04;8.000000000000000000e+00
4.569032048669529056e-01;-1.180850909468684318e+00;-2.396682454208602098e-01;1.784595931398447632e+00;3.581634626677288828e-04;8.000000000000000000e+00
4.569032048669529056e-01;-1.377916308398884571e+00;-2.824719235869743716e-01;1.784757798896390746e+00;3.503787966878681680e-04;8.000000000000000000e+00
4.569032048669529056e-01;-1.574973898554552054e+00;-3.253069418816023073e-01;1.784916109585084953e+00;3.425942195811137016e-04;8.000000000000000000e+00
4.569032048669529056e-01;-1.772023791010022276e+00;-3.681725901170138648e-01;1.785070863503600336e+00;3.348097238996199207e-04;8.000000000000000000e+00
4.569032048669529056e-01;-1.969066096839640068e+00;-4.110681581054826395e-01;1.785222060687569723e+00;3.270253020638411103e-04;8.000000000000000000e+00
4.569032048669529056e-01;-2.166100927117747599e+00;-4.539929356592801168e-01;1.785369701169132739e+00;3.192409463688495371e-04;8.000000000000000000e+00
4.569032048669529056e-01;-2.363128392918683929e+00;-4.969462125906781713e-01;1.785513784976874518e+00;3.114566489843352873e-04;8.000000000000000000e+00
4.569032048669529056e-01;-2.560148605316789894e+00;-5.399272787119485661e-01;1.785654312135769750e+00;3.036724019582511371e-04;8.000000000000000000e+00
4.569032048669529056e-01;-2.757161675386410327e+00;-5.829354238353638973e-01;1.785791282667132052e+00;2.958881972219152960e-04;8.000000000000000000e+00
4.569032048669529056e-01;-2.954167714201882955e+00;-6.259699377731956504e-01;1.785924696588556237e+00;2.881040265890395281e-04;8.000000000000000000e+00
4.569032048669529056e-01;-3.151166832837551279e+00;-6.690301103377158665e-01;1.786054553913869469e+00;2.803198817620465274e-04;8.000000000000000000e+00
4.569032048669529056e-01;-3.348159142367759245e+00;-7.121152313411972523e-01;1.786180854653075301e+00;2.725357543342572949e-04;8.000000000000000000e+00
4.569032048669529056e-01;-3.545144753866841469e+00;-7.552245905959105166e-01;1.786303598812313709e+00;2.647516357908628556e-04;8.000000000000000000e+00
4.569032048669529056e-01;-3.742123778409145451e+00;-7.983574779141285882e-01;1.786422786393801587e+00;2.569675175147559105e-04;8.000000000000000000e+00
4.569032048669529056e-01;-3.939096327069009806e+00;-8.415131831081233971e-01;1.786538417395794553e+00;2.491833907870170473e-04;8.000000000000000000e+00
4.569032048669529056e-01;-4.136062510920779367e+00;-8.846909959901667619e-01;1.786650491812538988e+00;2.413992467920172665e-04;8.000000000000000000e+00
4.569032048669529056e-01;-4.333022441038790085e+00;-9.278902063725305016e-01;1.786759009634224959e+00;2.336150766171750663e-04;8.000000000000000000e+00
4.569032048669529056e-01;-4.529976228497390345e+00;-9.711101040674874341e-01;1.786863970846949812e+00;2.258308712602461572e-04;8.000000000000000000e+00
4.569032048669529056e-01;-4.726923984370914766e+00;-1.014349978887308268e+00;1.786965375432671088e+00;2.180466216278655349e-04;8.000000000000000000e+00
4.569032048669529056e-01;-4.923865819733706850e+00;-1.057609120644265488e+00;1.787063223369169229e+00;2.102623185418651540e-04;8.000000000000000000e+00
4.569032048669529056e-01;-5.120801845660109208e+00;-1.100886819150631357e+00;1.787157514630006716e+00;2.024779527409747970e-04;8.000000000000000000e+00
4.569032048669529056e-01;-5.317732173224465342e+00;-1.144182364218678361e+00;1.787248249184495208e+00;1.946935148817941158e-04;8.000000000000000000e+00
4.569032048669529056e-01;-5.514656913501112534e+00;-1.187495045660676984e+00;1.787335426997652021e+00;1.869089955451102235e-04;8.000000000000000000e+00
4.569032048669529056e-01;-5.711576177564396062e+00;-1.230824153288901046e+00;1.787419048030175261e+00;1.791243852366268476e-04;8.000000000000000000e+00
4.569032048669529056e-01;-5.908490076488654985e+00;-1.274168976915621032e+00;1.787499112238402965e+00;1.713396743906089024e-04;8.000000000000000000e+00
4.569032048669529056e-01;-6.105398721348229252e+00;-1.317528806353109205e+00;1.787575619574280239e+00;1.635548533727986681e-04;8.000000000000000000e+00
4.569032048669529056e-01;-6.302302223217462362e+00;-1.360902931413638495e+00;1.787648569985335278e+00;1.557699124830882673e-04;8.000000000000000000e+00
