# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4569032;0.0017117;0.0164559;3.3543515;0.0003686;8.0000000
0.4569032;-0.1954029;-0.0261448;3.3545302;0.0003755;8.0000000
0.4569032;-0.3925090;-0.0687811;3.3547092;0.0003781;8.0000000
0.4569032;-0.5896067;-0.1114524;3.3548853;0.0003768;8.0000000
0.4569032;-0.7866962;-0.1541578;3.3550579;0.0003723;8.0000000
0.4569032;-0.9837776;-0.1968966;3.3552268;0.0003658;8.0000000
0.4569032;-1.1808509;-0.2396682;3.3553923;0.0003582;8.0000000
0.4569032;-1.3779163;-0.2824719;3.3555541;0.0003504;8.0000000
0.4569032;-1.5749739;-0.3253069;3.3557124;0.0003426;8.0000000
0.4569032;-1.7720238;-0.3681726;3.3558672;0.0003348;8.0000000
0.4569032;-1.9690661;-0.4110682;3.3560184;0.0003270;8.0000000
0.4569032;-2.1661009;-0.4539929;3.3561660;0.0003192;8.0000000
0.4569032;-2.3631284;-0.4969462;3.3563101;0.0003115;8.0000000
0.4569032;-2.5601486;-0.5399273;3.3564506;0.0003037;8.0000000
0.4569032;-2.7571617;-0.5829354;3.3565876;0.0002959;8.0000000
0.4569032;-2.9541677;-0.6259699;3.3567210;0.0002881;8.0000000
0.4569032;-3.1511668;-0.6690301;3.3568509;0.0002803;8.0000000
0.4569032;-3.3481591;-0.7121152;3.3569772;0.0002725;8.0000000
0.4569032;-3.5451448;-0.7552246;3.3570999;0.0002648;8.0000000
0.4569032;-3.7421238;-0.7983575;3.3572191;0.0002570;8.0000000
0.4569032;-3.9390963;-0.8415132;3.3573347;0.0002492;8.0000000
0.4569032;-4.1360625;-0.8846910;3.3574468;0.0002414;8.0000000
0.4569032;-4.3330224;-0.9278902;3.3575553;0.0002336;8.0000000
0.4569032;-4.5299762;-0.9711101;3.3576603;0.0002258;8.0000000
0.4569032;-4.7269240;-1.0143500;3.3577617;0.0002180;8.0000000
0.4569032;-4.9238658;-1.0576091;3.3578596;0.0002103;8.0000000
0.4569032;-5.1208018;-1.1008868;3.3579538;0.0002025;8.0000000
0.4569032;-5.3177322;-1.1441824;3.3580446;0.0001947;8.0000000
0.4569032;-5.5146569;-1.1874950;3.3581318;0.0001869;8.0000000
0.4569032;-5.7115762;-1.2308242;3.3582154;0.0001791;8.0000000
0.4569032;-5.9084901;-1.2741690;3.3582954;0.0001713;8.0000000
0.4569032;-6.1053987;-1.3175288;3.3583719;0.0001636;8.0000000
0.4569032;-6.3023022;-1.3609029;3.3584449;0.0001558;8.0000000
0.4569032;-6.4992007;-1.4042906;3.3585143;0.0001480;8.0000000
0.4569032;-6.6960942;-1.4476912;3.3585801;0.0001402;8.0000000
0.4569032;-6.8929830;-1.4911040;3.3586424;0.0001324;8.0000000
0.4569032;-7.0898670;-1.5345282;3.3587011;0.0001246;8.0000000
0.4569032;-7.2867465;-1.5779631;3.3587563;0.0001168;8.0000000
0.4569032;-7.4836215;-1.6214081;3.3588079;0.0001091;8.0000000
0.4569032;-7.6804921;-1.6648624;3.3588560;0.0001013;8.0000000
0.4569032;-7.8773584;-1.7083254;3.3589004;0.0000935;8.0000000
0.4569032;-8.0742206;-1.7517962;3.3589414;0.0000857;8.0000000
0.4569032;-8.2710788;-1.7952742;3.3589788;0.0000779;8.0000000
0.4569032;-8.4679331;-1.8387587;3.3590126;0.0000701;8.0000000
0.4569032;-8.6647835;-1.8822490;3.3590428;0.0000623;8.0000000
0.4569032;-8.8616303;-1.9257443;3.3590695;0.0000546;8.0000000
0.4569032;-9.0584734;-1.9692440;3.3590927;0.0000468;8.0000000
0.4569032;-9.2553131;-2.0127474;3.3591123;0.0000390;8.0000000
0.4569032;-9.4521494;-2.0562536;3.3591283;0.0000312;8.0000000
0.4569032;-9.6489825;-2.0997621;3.3591408;0.0000234;8.0000000
0.4569032;-9.8458124;-2.1432721;3.3591497;0.0000156;8.0000000
0.4569032;-10.0426393;-2.1867829;3.3591550;0.0000078;8.0000000
0.4569032;-10.2394633;-2.2302938;3.3591568;0.0000000;8.0000000
0.4569032;-10.4362844;-2.2738041;3.3591551;-0.0000078;8.0000000
0.4569032;-10.6331029;-2.3173131;3.3591497;-0.0000155;8.0000000
0.4569032;-10.8299188;-2.3608200;3.3591409;-0.0000233;8.0000000
0.4569032;-11.0267322;-2.4043241;3.3591284;-0.0000311;8.0000000
0.4569032;-11.2235432;-2.4478248;3.3591124;-0.0000389;8.0000000
0.4569032;-11.4203520;-2.4913214;3.3590928;-0.0000467;8.0000000
0.4569032;-11.6171586;-2.5348130;3.3590697;-0.0000545;8.0000000
0.4569032;-11.8139632;-2.5782991;3.3590430;-0.0000623;8.0000000
0.4569032;-12.0107659;-2.6217789;3.3590128;-0.0000701;8.0000000
0.4569032;-12.2075667;-2.6652516;3.3589790;-0.0000779;8.0000000
0.4569032;-12.4043659;-2.7087167;3.3589416;-0.0000857;8.0000000
0.4569032;-12.6011635;-2.7521733;3.3589007;-0.0000935;8.0000000
0.4569032;-12.7979595;-2.7956207;3.3588562;-0.0001013;8.0000000
0.4569032;-12.9947543;-2.8390583;3.3588082;-0.0001091;8.0000000
0.4569032;-13.1915478;-2.8824854;3.3587566;-0.0001169;8.0000000
0.4569032;-13.3883401;-2.9259012;3.3587014;-0.0001247;8.0000000
0.4569032;-13.5851314;-2.9693050;3.3586426;-0.0001324;8.0000000
0.4569032;-13.7819218;-3.0126961;3.3585803;-0.0001402;8.0000000
0.4569032;-13.9787113;-3.0560738;3.3585145;-0.0001480;8.0000000
0.4569032;-14.1755002;-3.0994374;3.3584451;-0.0001558;8.0000000
0.4569032;-14.3722885;-3.1427862;3.3583721;-0.0001636;8.0000000
0.4569032;-14.5690763;-3.1861194;3.3582955;-0.0001714;8.0000000
0.4569032;-14.7658637;-3.2294364;3.3582154;-0.0001792;8.0000000
0.4569032;-14.9626509;-3.2727365;3.3581317;-0.0001870;8.0000000
0.4569032;-15.1594379;-3.3160188;3.3580445;-0.0001948;8.0000000
0.4569032;-15.3562249;-3.3592828;3.3579537;-0.0002026;8.0000000
0.4569032;-15.5530120;-3.4025278;3.3578593;-0.0002104;8.0000000
0.4569032;-15.7497992;-3.4457529;3.3577614;-0.0002182;8.0000000
0.4569032;-15.9465868;-3.4889575;3.3576599;-0.0002261;8.0000000
0.4569032;-16.1433747;-3.5321410;3.3575548;-0.0002339;8.0000000
0.4569032;-16.3401632;-3.5753024;3.3574462;-0.0002417;8.0000000
0.4569032;-16.5369524;-3.6184413;3.3573340;-0.0002495;8.0000000
0.4569032;-16.7337422;-3.6615568;3.3572182;-0.0002573;8.0000000
0.4569032;-16.9305330;-3.7046483;3.3570989;-0.0002651;8.0000000
0.4569032;-17.1273247;-3.7477150;3.3569760;-0.0002729;8.0000000
0.4569032;-17.3241174;-3.7907562;3.3568495;-0.0002807;8.0000000
0.4569032;-17.5209114;-3.8337712;3.3567195;-0.0002885;8.0000000
0.4569032;-17.7177066;-3.8767594;3.3565859;-0.0002963;8.0000000
0.4569032;-17.9145033;-3.9197199;3.3564487;-0.0003041;8.0000000
0.4569032;-18.1113015;-3.9626521;3.3563080;-0.0003119;8.0000000
0.4569032;-18.3081013;-4.0055553;3.3561637;-0.0003197;8.0000000
0.4569032;-18.5049029;-4.0484288;3.3560158;-0.0003276;8.0000000
0.4569032;-18.7017063;-4.0912718;3.3558644;-0.0003354;8.0000000
0.4569032;-18.8985117;-4.1340836;3.3557094;-0.0003432;8.0000000
0.4569032;-19.0953191;-4.1768636;3.3555508;-0.0003510;8.0000000
0.4569032;-19.2921288;-4.2196110;3.3553886;-0.0003588;8.0000000
0.4569032;-19.4889407;-4.2623252;3.3552229;-0.0003666;8.0000000
0.4569032;-19.6857551;-4.3050053;3.3550536;-0.0003744;8.0000000
0.4569032;-19.8825720;-4.3476507;3.3548807;-0.0003823;8.0000000
0.4569032;-20.0793915;-4.3902607;3.3547043;-0.0003901;8.0000000
0.4569032;-20.2762138;-4.4328346;3.3545243;-0.0003979;8.0000000
0.4569032;-20.4730389;-4.4753716;3.3543407;-0.0004057;8.0000000
0.4569032;-20.6698669;-4.5178711;3.3541535;-0.0004135;8.0000000
0.4569032;-20.8666981;-4.5603323;3.3539628;-0.0004214;8.0000000
0.4569032;-21.0635324;-4.6027546;3.3537685;-0.0004292;8.0000000
0.4569032;-21.2603701;-4.6451372;3.3535706;-0.0004370;8.0000000
0.4569032;-21.4572111;-4.6874794;3.3533692;-0.0004448;8.0000000
0.4569032;-21.6540557;-4.7297805;3.3531641;-0.0004527;8.0000000
0.4569032;-21.8509039;-4.7720398;3.3529555;-0.0004605;8.0000000
0.4569032;-22.0477558;-4.8142565;3.3527434;-0.0004683;8.0000000
0.4569032;-22.2446116;-4.8564301;3.3525276;-0.0004761;8.0000000
0.4569032;-22.4414714;-4.8985597;3.3523083;-0.0004840;8.0000000
0.4569032;-22.6383352;-4.9406446;3.3520854;-0.0004918;8.0000000
0.4569032;-22.8352033;-4.9826842;3.3518589;-0.0004996;8.0000000
0.4569032;-23.0320756;-5.0246777;3.3516288;-0.0005074;8.0000000
0.4569032;-23.2289523;-5.0666245;3.3513952;-0.0005153;8.0000000
0.4569032;-23.4258336;-5.1085237;3.3511579;-0.0005231;8.0000000
0.4569032;-23.6227195;-5.1503747;3.3509171;-0.0005309;8.0000000
0.4569032;-23.8196101;-5.1921769;3.3506728;-0.0005388;8.0000000
0.4569032;-24.0165056;-5.2339294;3.3504248;-0.0005466;8.0000000
0.4569032;-24.2134060;-5.2756316;3.3501733;-0.0005545;8.0000000
0.4569032;-24.4103115;-5.3172827;3.3499181;-0.0005623;8.0000000
0.4569032;-24.6072222;-5.3588821;3.3496594;-0.0005701;8.0000000
0.4569032;-24.8041382;-5.4004290;3.3493972;-0.0005780;8.0000000
0.4569032;-25.0010597;-5.4419228;3.3491313;-0.0005858;8.0000000
0.4569032;-25.1979866;-5.4833626;3.3488619;-0.0005936;8.0000000
0.4569032;-25.3949192;-5.5247479;3.3485888;-0.0006015;8.0000000
0.4569032;-25.5918575;-5.5660779;3.3483122;-0.0006093;8.0000000
0.4569032;-25.7888016;-5.6073519;3.3480320;-0.0006172;8.0000000
0.4569032;-25.9857518;-5.6485691;3.3477482;-0.0006250;8.0000000
0.4569032;-26.1827080;-5.6897289;3.3474609;-0.0006329;8.0000000
0.4569032;-26.3796704;-5.7308306;3.3471699;-0.0006407;8.0000000
0.4569032;-26.5766391;-5.7718734;3.3468754;-0.0006486;8.0000000
