# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.889518274183086932e-01;-7.585729397341700597e-03;-1.857632652457985589e-02;-6.816034974978847361e-01;7.390432962532347827e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.236157810179691202e-01;1.436420981683476095e-01;-6.781146898336432027e-01;8.049222249824100617e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.539308871582447447e-01;3.060399507191177149e-01;-6.744529796602256599e-01;8.515385932251073528e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.833802010856107723e-01;4.686108576121549296e-01;-6.707453398646577858e-01;8.793274147614795616e-03;8.000000000000000000e+00
3.889518274183086932e-01;5.119843348621955226e-01;6.313484453318856104e-01;-6.670991201725846587e-01;8.908706538865296745e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.397639005501231102e-01;7.942463403627335605e-01;-6.635366997242082565e-01;8.893003699607639201e-03;8.000000000000000000e+00
3.889518274183086932e-01;7.667395102115233119e-01;9.572981691891274680e-01;-6.600590297818402785e-01;8.777750898007160782e-03;8.000000000000000000e+00
3.889518274183086932e-01;8.929317759085187989e-01;1.120497558295488139e+00;-6.566670362992740317e-01;8.594923176847988483e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.018361309703238238e+00;1.283838134166243705e+00;-6.533616200371102911e-01;8.376965595313553767e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.143048723657808852e+00;1.447313523285819636e+00;-6.501436567002726319e-01;8.151284269518424899e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.267014629834356088e+00;1.610917352138641290e+00;-6.470139970958830311e-01;7.923445408744138677e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.390279640295006169e+00;1.774643247209132468e+00;-6.439734673096173534e-01;7.693512162946785846e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.512864367101886431e+00;1.938484834981720528e+00;-6.410228688986756573e-01;7.461547186303773421e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.634789422317122876e+00;2.102435741940828606e+00;-6.381629790994827189e-01;7.227612601730548647e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.756075418002842392e+00;2.266489594570883614e+00;-6.353945510482316150e-01;6.991769970163749792e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.876742966221170761e+00;2.430640019356310244e+00;-6.327183140124058580e-01;6.754080264596121035e-03;8.000000000000000000e+00
3.889518274183086932e-01;1.996812679034235094e+00;2.594880642781534519e+00;-6.301349736314089123e-01;6.514603848822446246e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.116305168504162726e+00;2.759205091330981574e+00;-6.276452121644661153e-01;6.273400460856213591e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.235241046693078992e+00;2.923606991489076101e+00;-6.252496887439633610e-01;6.030529200952675258e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.353640925663110561e+00;3.088079969740244124e+00;-6.229490396324361967e-01;5.786048524168578566e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.471525417476384767e+00;3.252617652568911666e+00;-6.207438784814370836e-01;5.540016237380093050e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.588915134195026280e+00;3.417213666459501642e+00;-6.186347965905589774e-01;5.292489500661995416e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.705830687881165098e+00;3.581861637896443185e+00;-6.166223631649068171e-01;5.043524832937691660e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.822292690596924114e+00;3.746555193364158320e+00;-6.147071255693825620e-01;4.793178121779479231e-03;8.000000000000000000e+00
3.889518274183086932e-01;2.938321754404431552e+00;3.911287959347073073e+00;-6.128896095781678488e-01;4.541504637251170262e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.053938491365812968e+00;4.076053562329613023e+00;-6.111703196178449593e-01;4.288559049667613719e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.169163513543196586e+00;4.240845628796205524e+00;-6.095497390026619611e-01;4.034395451138570593e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.284017432998707520e+00;4.405657785231272605e+00;-6.080283301604587631e-01;3.779067380761820614e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.398520861794472214e+00;4.570483658119242065e+00;-6.066065348478875130e-01;3.522627853323874632e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.512694411992618448e+00;4.735316873944537264e+00;-6.052847743535605396e-01;3.265129391361304336e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.626558695655272224e+00;4.900151059191585112e+00;-6.040634496878416471e-01;3.006624060428047824e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.740134324844559099e+00;5.064979840344811635e+00;-6.029429417580743911e-01;2.747163507416976874e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.853441911622607741e+00;5.229796843888641078e+00;-6.019236115280645061e-01;2.486799001768801726e-03;8.000000000000000000e+00
3.889518274183086932e-01;3.966502068051541485e+00;5.394595696307495913e+00;-6.010058001607330169e-01;2.225581479409893208e-03;8.000000000000000000e+00
3.889518274183086932e-01;4.079335406193489000e+00;5.559370024085806605e+00;-6.001898291428957588e-01;1.963561589246703033e-03;8.000000000000000000e+00
3.889518274183086932e-01;4.191962538110577619e+00;5.724113453707996513e+00;-5.994760003912115165e-01;1.700789742046889940e-03;8.000000000000000000e+00
3.889518274183086932e-01;4.304404075864932899e+00;5.888819611658490771e+00;-5.988645963383947279e-01;1.437316161531486652e-03;8.000000000000000000e+00
3.889518274183086932e-01;4.416680631518679512e+00;6.053482124421714516e+00;-5.983558799988587529e-01;1.173190937500656920e-03;8.000000000000000000e+00
3.889518274183086932e-01;4.528812817133946567e+00;6.218094618482092883e+00;-5.979500950130393067e-01;9.084640808072186585e-04;8.000000000000000000e+00
3.889518274183086932e-01;4.640821244772860510e+00;6.382650720324051008e+00;-5.976474656697015053e-01;6.431855800030402814e-04;8.000000000000000000e+00
3.889518274183086932e-01;4.752726526497545123e+00;6.547144056432014914e+00;-5.974481969056071318e-01;3.774054594589076428e-04;8.000000000000000000e+00
3.889518274183086932e-01;4.864549274370130405e+00;6.711568253290412400e+00;-5.973524742820189859e-01;1.111738387709816943e-04;8.000000000000000000e+00
3.889518274183086932e-01;4.976310100452741914e+00;6.875916937383664163e+00;-5.973604639375497127e-01;-1.554590067352849543e-04;8.000000000000000000e+00
3.889518274183086932e-01;5.088029616807504318e+00;7.040183735196198889e+00;-5.974723125169943971e-01;-4.224425846109740291e-04;8.000000000000000000e+00
3.889518274183086932e-01;5.199728435496545842e+00;7.204362273212439050e+00;-5.976881470757828829e-01;-6.897261231903999276e-04;8.000000000000000000e+00
3.889518274183086932e-01;5.311427168581991154e+00;7.368446177916814221e+00;-5.980080749598696288e-01;-9.572585090160995631e-04;8.000000000000000000e+00
3.889518274183086932e-01;5.423146428125969365e+00;7.532429075793745099e+00;-5.984321836608839096e-01;-1.224988223977498429e-03;8.000000000000000000e+00
3.889518274183086932e-01;5.534906826190608697e+00;7.696304593327662147e+00;-5.989605406464419968e-01;-1.492863282381841740e-03;8.000000000000000000e+00
3.889518274183086932e-01;5.646728974838029380e+00;7.860066357002984283e+00;-5.995931931656768299e-01;-1.760831168171753894e-03;8.000000000000000000e+00
3.889518274183086932e-01;5.758633486130360524e+00;8.023707993304139308e+00;-6.003301680300320298e-01;-2.028838772515527931e-03;8.000000000000000000e+00
3.889518274183086932e-01;5.870640972129732127e+00;8.187223128715556797e+00;-6.011714713695425205e-01;-2.296832331980054077e-03;8.000000000000000000e+00
3.889518274183086932e-01;5.982772044898267971e+00;8.350605389721659222e+00;-6.021170883648385708e-01;-2.564757367524385465e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.095047316498092727e+00;8.513848402806868165e+00;-6.031669829552308570e-01;-2.832558624546207496e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.207487398991337280e+00;8.676945794455617644e+00;-6.043210975233496152e-01;-3.100180014208675592e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.320112904440123636e+00;8.839891191152322136e+00;-6.055793525568532454e-01;-3.367564556295523075e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.432944444906582682e+00;9.002678219381417435e+00;-6.069416462878406415e-01;-3.634654323827479338e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.546002632452837311e+00;9.165300505627323346e+00;-6.084078543107157566e-01;-3.901390389698055315e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.659308079141016634e+00;9.327751676374465006e+00;-6.099778291793094276e-01;-4.167712775572669087e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.772881397033245321e+00;9.490025358107267550e+00;-6.116513999841987070e-01;-4.433560403298156607e-03;8.000000000000000000e+00
3.889518274183086932e-01;6.886743198191649817e+00;9.652115177310157890e+00;-6.134283719112347821e-01;-4.698871049089579921e-03;8.000000000000000000e+00
3.889518274183086932e-01;7.000914094678359234e+00;9.814014760467562937e+00;-6.153085257824081333e-01;-4.963581300748066971e-03;8.000000000000000000e+00
3.889518274183086932e-01;7.115414698555497353e+00;9.975717734063906050e+00;-6.172916175802914962e-01;-5.227626518161775614e-03;8.000000000000000000e+00
3.889518274183086932e-01;7.230265621885191507e+00;1.013721772458361059e+01;-6.193773779573671368e-01;-5.490940797364150111e-03;8.000000000000000000e+00
3.889518274183086932e-01;7.345487476729569920e+00;1.029850835851110702e+01;-6.215655117316724043e-01;-5.753456938396919740e-03;8.000000000000000000e+00
