# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3889518;-0.0075857;-0.0185763;0.8891928;0.0073904;8.0000000
0.3889518;0.1236158;0.1436421;0.8926816;0.0080492;8.0000000
0.3889518;0.2539309;0.3060400;0.8963433;0.0085154;8.0000000
0.3889518;0.3833802;0.4686109;0.9000510;0.0087933;8.0000000
0.3889518;0.5119843;0.6313484;0.9036972;0.0089087;8.0000000
0.3889518;0.6397639;0.7942463;0.9072596;0.0088930;8.0000000
0.3889518;0.7667395;0.9572982;0.9107373;0.0087778;8.0000000
0.3889518;0.8929318;1.1204976;0.9141293;0.0085949;8.0000000
0.3889518;1.0183613;1.2838381;0.9174347;0.0083770;8.0000000
0.3889518;1.1430487;1.4473135;0.9206527;0.0081513;8.0000000
0.3889518;1.2670146;1.6109174;0.9237823;0.0079234;8.0000000
0.3889518;1.3902796;1.7746432;0.9268229;0.0076935;8.0000000
0.3889518;1.5128644;1.9384848;0.9297735;0.0074615;8.0000000
0.3889518;1.6347894;2.1024357;0.9326333;0.0072276;8.0000000
0.3889518;1.7560754;2.2664896;0.9354018;0.0069918;8.0000000
0.3889518;1.8767430;2.4306400;0.9380780;0.0067541;8.0000000
0.3889518;1.9968127;2.5948806;0.9406614;0.0065146;8.0000000
0.3889518;2.1163052;2.7592051;0.9431511;0.0062734;8.0000000
0.3889518;2.2352410;2.9236070;0.9455466;0.0060305;8.0000000
0.3889518;2.3536409;3.0880800;0.9478473;0.0057860;8.0000000
0.3889518;2.4715254;3.2526177;0.9500524;0.0055400;8.0000000
0.3889518;2.5889151;3.4172137;0.9521615;0.0052925;8.0000000
0.3889518;2.7058307;3.5818616;0.9541740;0.0050435;8.0000000
0.3889518;2.8222927;3.7465552;0.9560892;0.0047932;8.0000000
0.3889518;2.9383218;3.9112880;0.9579067;0.0045415;8.0000000
0.3889518;3.0539385;4.0760536;0.9596260;0.0042886;8.0000000
0.3889518;3.1691635;4.2408456;0.9612466;0.0040344;8.0000000
0.3889518;3.2840174;4.4056578;0.9627680;0.0037791;8.0000000
0.3889518;3.3985209;4.5704837;0.9641898;0.0035226;8.0000000
0.3889518;3.5126944;4.7353169;0.9655116;0.0032651;8.0000000
0.3889518;3.6265587;4.9001511;0.9667329;0.0030066;8.0000000
0.3889518;3.7401343;5.0649798;0.9678534;0.0027472;8.0000000
0.3889518;3.8534419;5.2297968;0.9688727;0.0024868;8.0000000
0.3889518;3.9665021;5.3945957;0.9697905;0.0022256;8.0000000
0.3889518;4.0793354;5.5593700;0.9706065;0.0019636;8.0000000
0.3889518;4.1919625;5.7241135;0.9713203;0.0017008;8.0000000
0.3889518;4.3044041;5.8888196;0.9719317;0.0014373;8.0000000
0.3889518;4.4166806;6.0534821;0.9724404;0.0011732;8.0000000
0.3889518;4.5288128;6.2180946;0.9728462;0.0009085;8.0000000
0.3889518;4.6408212;6.3826507;0.9731489;0.0006432;8.0000000
0.3889518;4.7527265;6.5471441;0.9733481;0.0003774;8.0000000
0.3889518;4.8645493;6.7115683;0.9734439;0.0001112;8.0000000
0.3889518;4.9763101;6.8759169;0.9734359;-0.0001555;8.0000000
0.3889518;5.0880296;7.0401837;0.9733240;-0.0004224;8.0000000
0.3889518;5.1997284;7.2043623;0.9731082;-0.0006897;8.0000000
0.3889518;5.3114272;7.3684462;0.9727883;-0.0009573;8.0000000
0.3889518;5.4231464;7.5324291;0.9723641;-0.0012250;8.0000000
0.3889518;5.5349068;7.6963046;0.9718358;-0.0014929;8.0000000
0.3889518;5.6467290;7.8600664;0.9712031;-0.0017608;8.0000000
0.3889518;5.7586335;8.0237080;0.9704662;-0.0020288;8.0000000
0.3889518;5.8706410;8.1872231;0.9696249;-0.0022968;8.0000000
0.3889518;5.9827720;8.3506054;0.9686792;-0.0025648;8.0000000
0.3889518;6.0950473;8.5138484;0.9676293;-0.0028326;8.0000000
0.3889518;6.2074874;8.6769458;0.9664752;-0.0031002;8.0000000
0.3889518;6.3201129;8.8398912;0.9652170;-0.0033676;8.0000000
0.3889518;6.4329444;9.0026782;0.9638547;-0.0036347;8.0000000
0.3889518;6.5460026;9.1653005;0.9623885;-0.0039014;8.0000000
0.3889518;6.6593081;9.3277517;0.9608185;-0.0041677;8.0000000
0.3889518;6.7728814;9.4900254;0.9591449;-0.0044336;8.0000000
0.3889518;6.8867432;9.6521152;0.9573680;-0.0046989;8.0000000
0.3889518;7.0009141;9.8140148;0.9554878;-0.0049636;8.0000000
0.3889518;7.1154147;9.9757177;0.9535047;-0.0052276;8.0000000
0.3889518;7.2302656;10.1372177;0.9514189;-0.0054909;8.0000000
0.3889518;7.3454875;10.2985084;0.9492308;-0.0057535;8.0000000
0.3889518;7.4611009;10.4595833;0.9469406;-0.0060151;8.0000000
0.3889518;7.5771264;10.6204361;0.9445487;-0.0062758;8.0000000
0.3889518;7.6935848;10.7810604;0.9420555;-0.0065355;8.0000000
0.3889518;7.8104965;10.9414499;0.9394614;-0.0067939;8.0000000
0.3889518;7.9278821;11.1015981;0.9367668;-0.0070431;8.0000000
0.3889518;8.0457624;11.2614988;0.9339721;-0.0072649;8.0000000
0.3889518;8.1641580;11.4211454;0.9310779;-0.0074410;8.0000000
0.3889518;8.2830893;11.5805318;0.9280847;-0.0075529;8.0000000
0.3889518;8.4025771;11.7396514;0.9249938;-0.0075823;8.0000000
0.3889518;8.5226419;11.8984979;0.9218367;-0.0075111;8.0000000
0.3889518;8.6433044;12.0570650;0.9186836;-0.0073291;8.0000000
0.3889518;8.7645844;12.2153467;0.9156068;-0.0070358;8.0000000
0.3889518;8.8864715;12.3733572;0.9126783;-0.0066318;8.0000000
0.3889518;9.0089169;12.5311359;0.9099698;-0.0061175;8.0000000
0.3889518;9.1318689;12.6887242;0.9075522;-0.0055012;8.0000000
0.3889518;9.2552761;12.8461632;0.9054656;-0.0048012;8.0000000
0.3889518;9.3790870;13.0034942;0.9037118;-0.0040363;8.0000000
0.3889518;9.5032500;13.1607584;0.9022901;-0.0032252;8.0000000
0.3889518;9.6277136;13.3179971;0.9011997;-0.0023865;8.0000000
0.3889518;9.7524264;13.4752515;0.9004397;-0.0015387;8.0000000
0.3889518;9.8773368;13.6325628;0.9000092;-0.0006924;8.0000000
0.3889518;10.0023932;13.7899722;0.8999076;0.0001518;8.0000000
0.3889518;10.1275443;13.9475210;0.9001339;0.0009940;8.0000000
0.3889518;10.2527384;14.1052504;0.9006874;0.0018340;8.0000000
0.3889518;10.3779241;14.2632017;0.9015672;0.0026718;8.0000000
0.3889518;10.5030499;14.4214161;0.9027725;0.0035075;8.0000000
0.3889518;10.6280642;14.5799348;0.9043024;0.0043410;8.0000000
0.3889518;10.7529155;14.7387991;0.9061562;0.0051723;8.0000000
0.3889518;10.8775523;14.8980501;0.9083329;0.0060013;8.0000000
0.3889518;11.0019232;15.0577292;0.9108318;0.0068279;8.0000000
0.3889518;11.1259765;15.2178775;0.9136518;0.0076521;8.0000000
0.3889518;11.2496608;15.3785363;0.9167921;0.0084738;8.0000000
0.3889518;11.3729245;15.5397469;0.9202517;0.0092927;8.0000000
0.3889518;11.4957162;15.7015504;0.9240295;0.0101089;8.0000000
0.3889518;11.6179844;15.8639881;0.9281245;0.0109220;8.0000000
0.3889518;11.7396775;16.0271012;0.9325355;0.0117319;8.0000000
0.3889518;11.8607440;16.1909310;0.9372613;0.0125384;8.0000000
0.3889518;11.9811324;16.3555186;0.9423004;0.0133411;8.0000000
0.3889518;12.1007912;16.5209054;0.9476516;0.0141381;8.0000000
0.3889518;12.2196689;16.6871326;0.9533131;0.0149010;8.0000000
0.3889518;12.3377139;16.8542414;0.9592833;0.0155816;8.0000000
0.3889518;12.4548748;17.0222730;0.9655603;0.0161314;8.0000000
0.3889518;12.5711001;17.1912686;0.9721421;0.0165029;8.0000000
0.3889518;12.6863381;17.3612696;0.9790197;0.0166487;8.0000000
0.3889518;12.8005375;17.5323170;0.9860822;0.0165241;8.0000000
0.3889518;12.9136467;17.7044523;0.9931403;0.0161101;8.0000000
0.3889518;13.0256200;17.8777104;1.0000047;0.0154079;8.0000000
0.3889518;13.1365001;18.0520320;1.0064886;0.0144190;8.0000000
0.3889518;13.2463991;18.2272838;1.0124072;0.0131464;8.0000000
0.3889518;13.3554309;18.4033307;1.0175840;0.0116189;8.0000000
0.3889518;13.4637096;18.5800372;1.0219438;0.0098852;8.0000000
0.3889518;13.5713490;18.7572682;1.0254895;0.0079937;8.0000000
0.3889518;13.6784631;18.9348883;1.0282250;0.0059916;8.0000000
0.3889518;13.7851659;19.1127624;1.0301527;0.0039255;8.0000000
0.3889518;13.8915713;19.2907551;1.0312741;0.0018393;8.0000000
0.3889518;13.9977932;19.4687312;1.0315890;-0.0002494;8.0000000
0.3889518;14.1039456;19.6465554;1.0310963;-0.0023434;8.0000000
0.3889518;14.2101425;19.8240925;1.0297931;-0.0044460;8.0000000
0.3889518;14.3164978;20.0012072;1.0276754;-0.0065607;8.0000000
0.3889518;14.4231254;20.1777641;1.0247378;-0.0086906;8.0000000
0.3889518;14.5301393;20.3536282;1.0209736;-0.0108392;8.0000000
0.3889518;14.6376534;20.5286640;1.0163748;-0.0130094;8.0000000
0.3889518;14.7457817;20.7027364;1.0109321;-0.0152044;8.0000000
0.3889518;14.8546382;20.8757101;1.0046349;-0.0174268;8.0000000
0.3889518;14.9643367;21.0474497;0.9974717;-0.0196793;8.0000000
0.3889518;15.0749913;21.2178201;0.9894299;-0.0219640;8.0000000
0.3889518;15.1867159;21.3866860;0.9804958;-0.0242828;8.0000000
0.3889518;15.2996244;21.5539120;0.9706552;-0.0266370;8.0000000
0.3889518;15.4138307;21.7193630;0.9598933;-0.0290276;8.0000000
0.3889518;15.5294489;21.8829037;0.9481948;-0.0314547;8.0000000
