# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.970969727527001725e-01;9.824379573483354999e-02;1.179130213675849692e-02;2.517923603029921686e+00;3.225465864769943864e-03;8.000000000000000000e+00
3.970969727527001725e-01;-2.612173393704086619e-02;-1.613048873056227017e-01;2.519929344195556364e+00;4.108584134864604054e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.497571379156016069e-01;-3.342761333003105295e-01;2.522190020196702243e+00;4.777141976316102122e-03;8.000000000000000000e+00
3.970969727527001725e-01;-2.726754318236804808e-01;-5.071244372628040953e-01;2.524562613924123955e+00;5.237118072516633999e-03;8.000000000000000000e+00
3.970969727527001725e-01;-3.948896312841091438e-01;-6.798518006086007315e-01;2.526926178725746652e+00;5.517876231483084988e-03;8.000000000000000000e+00
3.970969727527001725e-01;-5.164127519197186933e-01;-8.524602247531977151e-01;2.529255902759321550e+00;5.654472878518736721e-03;8.000000000000000000e+00
3.970969727527001725e-01;-6.372578093533390886e-01;-1.024951711112092045e+00;2.531551220610745556e+00;5.681995072566286761e-03;8.000000000000000000e+00
3.970969727527001725e-01;-7.574378192078038419e-01;-1.197328261100782498e+00;2.533811573050164689e+00;5.635833778407792899e-03;8.000000000000000000e+00
3.970969727527001725e-01;-8.769657971059428014e-01;-1.369591876134765407e+00;2.536036407285343852e+00;5.551874479295650089e-03;8.000000000000000000e+00
3.970969727527001725e-01;-9.958547586705869259e-01;-1.541744557629537882e+00;2.538225177211243189e+00;5.460446689649393025e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.114117719524569061e+00;-1.713788307000599698e+00;2.540377343655642051e+00;5.367672559095409274e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.231767695290718834e+00;-1.885725125663446189e+00;2.542492374620674678e+00;5.273570410361404573e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.348817701591867424e+00;-2.057557015033574466e+00;2.544569745520133708e+00;5.178159157105539402e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.465280754050848566e+00;-2.229285976526484081e+00;2.546608939412436712e+00;5.081458292913980032e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.581169868290489999e+00;-2.400914011557670591e+00;2.548609447229119418e+00;4.983487880016517109e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.696498059933625902e+00;-2.572443121542633548e+00;2.550570767998766808e+00;4.884268537749442834e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.811278344603085788e+00;-2.743875307896868510e+00;2.552492409066272838e+00;4.783821430782455447e-03;8.000000000000000000e+00
3.970969727527001725e-01;-1.925523737921702061e+00;-2.915212572035873695e+00;2.554373886307347519e+00;4.682168257136766314e-03;8.000000000000000000e+00
3.970969727527001725e-01;-2.039247255512305568e+00;-3.086456915375146881e+00;2.556214724338196298e+00;4.579331236009856476e-03;8.000000000000000000e+00
3.970969727527001725e-01;-2.152461912997726490e+00;-3.257610339330183624e+00;2.558014456720286489e+00;4.475333095434374554e-03;8.000000000000000000e+00
3.970969727527001725e-01;-2.265180726000797673e+00;-3.428674845316484365e+00;2.559772626160157660e+00;4.370197059787848427e-03;8.000000000000000000e+00
