# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3970970;0.0982438;0.0117913;4.0887199;0.0032255;8.0000000
0.3970970;-0.0261217;-0.1613049;4.0907257;0.0041086;8.0000000
0.3970970;-0.1497571;-0.3342761;4.0929863;0.0047771;8.0000000
0.3970970;-0.2726754;-0.5071244;4.0953589;0.0052371;8.0000000
0.3970970;-0.3948896;-0.6798518;4.0977225;0.0055179;8.0000000
0.3970970;-0.5164128;-0.8524602;4.1000522;0.0056545;8.0000000
0.3970970;-0.6372578;-1.0249517;4.1023475;0.0056820;8.0000000
0.3970970;-0.7574378;-1.1973283;4.1046079;0.0056358;8.0000000
0.3970970;-0.8769658;-1.3695919;4.1068327;0.0055519;8.0000000
0.3970970;-0.9958548;-1.5417446;4.1090215;0.0054604;8.0000000
0.3970970;-1.1141177;-1.7137883;4.1111737;0.0053677;8.0000000
0.3970970;-1.2317677;-1.8857251;4.1132887;0.0052736;8.0000000
0.3970970;-1.3488177;-2.0575570;4.1153661;0.0051782;8.0000000
0.3970970;-1.4652808;-2.2292860;4.1174053;0.0050815;8.0000000
0.3970970;-1.5811699;-2.4009140;4.1194058;0.0049835;8.0000000
0.3970970;-1.6964981;-2.5724431;4.1213671;0.0048843;8.0000000
0.3970970;-1.8112783;-2.7438753;4.1232887;0.0047838;8.0000000
0.3970970;-1.9255237;-2.9152126;4.1251702;0.0046822;8.0000000
0.3970970;-2.0392473;-3.0864569;4.1270111;0.0045793;8.0000000
0.3970970;-2.1524619;-3.2576103;4.1288108;0.0044753;8.0000000
0.3970970;-2.2651807;-3.4286748;4.1305690;0.0043702;8.0000000
0.3970970;-2.3774167;-3.5996524;4.1322851;0.0042639;8.0000000
0.3970970;-2.4891829;-3.7705451;4.1339588;0.0041566;8.0000000
0.3970970;-2.6004923;-3.9413549;4.1355897;0.0040482;8.0000000
0.3970970;-2.7113578;-4.1120837;4.1371772;0.0039388;8.0000000
0.3970970;-2.8217927;-4.2827337;4.1387210;0.0038283;8.0000000
0.3970970;-2.9318097;-4.4533067;4.1402207;0.0037168;8.0000000
0.3970970;-3.0414221;-4.6238048;4.1416760;0.0036044;8.0000000
0.3970970;-3.1506427;-4.7942300;4.1430863;0.0034911;8.0000000
0.3970970;-3.2594846;-4.9645843;4.1444515;0.0033768;8.0000000
0.3970970;-3.3679608;-5.1348697;4.1457710;0.0032617;8.0000000
0.3970970;-3.4760844;-5.3050882;4.1470446;0.0031457;8.0000000
0.3970970;-3.5838683;-5.4752418;4.1482719;0.0030289;8.0000000
0.3970970;-3.6913256;-5.6453325;4.1494526;0.0029113;8.0000000
0.3970970;-3.7984692;-5.8153623;4.1505865;0.0027929;8.0000000
0.3970970;-3.9053122;-5.9853332;4.1516731;0.0026738;8.0000000
0.3970970;-4.0118676;-6.1552473;4.1527122;0.0025539;8.0000000
0.3970970;-4.1181485;-6.3251064;4.1537036;0.0024334;8.0000000
0.3970970;-4.2241678;-6.4949126;4.1546469;0.0023123;8.0000000
0.3970970;-4.3299385;-6.6646679;4.1555419;0.0021905;8.0000000
0.3970970;-4.4354737;-6.8343744;4.1563885;0.0020681;8.0000000
0.3970970;-4.5407864;-7.0040339;4.1571862;0.0019452;8.0000000
0.3970970;-4.6458896;-7.1736486;4.1579350;0.0018218;8.0000000
0.3970970;-4.7507963;-7.3432204;4.1586346;0.0016978;8.0000000
0.3970970;-4.8555195;-7.5127513;4.1592849;0.0015734;8.0000000
0.3970970;-4.9600723;-7.6822433;4.1598856;0.0014486;8.0000000
0.3970970;-5.0644676;-7.8516984;4.1604366;0.0013233;8.0000000
0.3970970;-5.1687185;-8.0211187;4.1609377;0.0011977;8.0000000
0.3970970;-5.2728381;-8.1905061;4.1613889;0.0010717;8.0000000
0.3970970;-5.3768392;-8.3598626;4.1617899;0.0009455;8.0000000
0.3970970;-5.4807349;-8.5291902;4.1621406;0.0008189;8.0000000
0.3970970;-5.5845383;-8.6984909;4.1624410;0.0006921;8.0000000
0.3970970;-5.6882623;-8.8677668;4.1626910;0.0005652;8.0000000
0.3970970;-5.7919201;-9.0370198;4.1628904;0.0004380;8.0000000
0.3970970;-5.8955244;-9.2062520;4.1630393;0.0003107;8.0000000
0.3970970;-5.9990885;-9.3754652;4.1631375;0.0001833;8.0000000
0.3970970;-6.1026254;-9.5446616;4.1631851;0.0000558;8.0000000
0.3970970;-6.2061479;-9.7138432;4.1631820;-0.0000718;8.0000000
0.3970970;-6.3096692;-9.8830118;4.1631281;-0.0001993;8.0000000
0.3970970;-6.4132023;-10.0521697;4.1630236;-0.0003269;8.0000000
0.3970970;-6.5167601;-10.2213186;4.1628684;-0.0004543;8.0000000
0.3970970;-6.6203558;-10.3904607;4.1626625;-0.0005817;8.0000000
0.3970970;-6.7240022;-10.5595979;4.1624060;-0.0007090;8.0000000
0.3970970;-6.8277125;-10.7287323;4.1620989;-0.0008362;8.0000000
0.3970970;-6.9314996;-10.8978658;4.1617413;-0.0009631;8.0000000
0.3970970;-7.0353766;-11.0670005;4.1613333;-0.0010898;8.0000000
0.3970970;-7.1393565;-11.2361383;4.1608750;-0.0012163;8.0000000
0.3970970;-7.2434522;-11.4052812;4.1603664;-0.0013423;8.0000000
0.3970970;-7.3476768;-11.5744313;4.1598078;-0.0014659;8.0000000
0.3970970;-7.4520434;-11.7435906;4.1591991;-0.0015841;8.0000000
0.3970970;-7.5565649;-11.9127610;4.1585407;-0.0016937;8.0000000
0.3970970;-7.6612544;-12.0819446;4.1578325;-0.0017919;8.0000000
0.3970970;-7.7661248;-12.2511433;4.1570756;-0.0018756;8.0000000
0.3970970;-7.8711892;-12.4203592;4.1562777;-0.0019420;8.0000000
0.3970970;-7.9764606;-12.5895942;4.1554510;-0.0019901;8.0000000
0.3970970;-8.0819511;-12.7588503;4.1546075;-0.0020200;8.0000000
0.3970970;-8.1876621;-12.9281288;4.1537593;-0.0020316;8.0000000
0.3970970;-8.2935893;-13.0974302;4.1529185;-0.0020253;8.0000000
0.3970970;-8.3997279;-13.2667553;4.1520961;-0.0020030;8.0000000
0.3970970;-8.5060732;-13.4361050;4.1512964;-0.0019677;8.0000000
