# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.959267491503457026e-01;8.452021601649595262e-03;-2.162896714100992490e-02;5.600545284711393457e-01;-3.443731071180680279e-04;8.000000000000000000e+00
3.959267491503457026e-01;-9.828993606796201932e-02;1.486343023377885986e-01;5.599284395850956386e-01;-3.238917119541212877e-04;8.000000000000000000e+00
3.959267491503457026e-01;-2.050506206441014834e-01;3.189725399605841671e-01;5.598093379371853473e-01;-3.058409541327671379e-04;8.000000000000000000e+00
3.959267491503457026e-01;-3.118293248912101800e-01;4.893832057338517449e-01;5.596956294933903564e-01;-2.901513664038014991e-04;8.000000000000000000e+00
3.959267491503457026e-01;-4.186253415737304362e-01;6.598637596640671843e-01;5.595859859469163311e-01;-2.764867402408456121e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.254379634561046064e-01;8.304116617577058657e-01;5.594801354561376172e-01;-2.644445451631300434e-04;8.000000000000000000e+00
3.959267491503457026e-01;-6.322664833027737963e-01;1.001024372021243725e+00;5.593780703830950607e-01;-2.536226985476550014e-04;8.000000000000000000e+00
3.959267491503457026e-01;-7.391101938781803327e-01;1.171699350461155698e+00;5.592797833840768007e-01;-2.436195674213540027e-04;8.000000000000000000e+00
3.959267491503457026e-01;-8.459683879467660983e-01;1.342434057083918386e+00;5.591852674082842256e-01;-2.340339589446104322e-04;8.000000000000000000e+00
3.959267491503457026e-01;-9.528403582729725319e-01;1.513225951896006061e+00;5.590945156965609897e-01;-2.245317232694934051e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.059725397621242848e+00;1.684072494903896322e+00;5.590075217801695473e-01;-2.150454720226035110e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.166622798756017598e+00;1.854971146114062996e+00;5.589242794796285274e-01;-2.055744754811882297e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.273531854441738220e+00;2.025919365532981242e+00;5.588447829035998460e-01;-1.961180066625613531e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.380451857442848596e+00;2.196914613167128216e+00;5.587690264478331059e-01;-1.866753411880473488e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.487382100523789052e+00;2.367954349022978633e+00;5.586970047941641759e-01;-1.772457571479354413e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.594321876449001918e+00;2.539036033107008095e+00;5.586287129095635073e-01;-1.678285349663213161e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.701270477982929741e+00;2.710157125425693536e+00;5.585641460452395179e-01;-1.584229572674071020e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.808227197890012627e+00;2.881315085985507451e+00;5.585032997357992635e-01;-1.490283087412404154e-04;8.000000000000000000e+00
3.959267491503457026e-01;-1.915191328934694459e+00;3.052507374792927664e+00;5.584461697984530737e-01;-1.396438760127063623e-04;8.000000000000000000e+00
3.959267491503457026e-01;-2.022162163881415786e+00;3.223731451854429775e+00;5.583927523322782527e-01;-1.302689475086125383e-04;8.000000000000000000e+00
3.959267491503457026e-01;-2.129138995494619824e+00;3.394984777176489388e+00;5.583430437175307404e-01;-1.209028133267930151e-04;8.000000000000000000e+00
3.959267491503457026e-01;-2.236121116538746900e+00;3.566264810765581217e+00;5.582970406150118414e-01;-1.115447651040908563e-04;8.000000000000000000e+00
3.959267491503457026e-01;-2.343107819778240675e+00;3.737569012628181753e+00;5.582547399654869125e-01;-1.021940958881540159e-04;8.000000000000000000e+00
3.959267491503457026e-01;-2.450098397977541698e+00;3.908894842770766598e+00;5.582161389891484582e-01;-9.285010000564210741e-05;8.000000000000000000e+00
3.959267491503457026e-01;-2.557092143901091408e+00;4.080239761199809578e+00;5.581812351851409559e-01;-8.351207293413458492e-05;8.000000000000000000e+00
3.959267491503457026e-01;-2.664088350313333908e+00;4.251601227921788961e+00;5.581500263311274246e-01;-7.417931117123470323e-05;8.000000000000000000e+00
3.959267491503457026e-01;-2.771086309978708417e+00;4.422976702943175908e+00;5.581225104829155015e-01;-6.485111210782372243e-05;8.000000000000000000e+00
3.959267491503457026e-01;-2.878085315661659482e+00;4.594363646270451795e+00;5.580986859741257078e-01;-5.552677389884740734e-05;8.000000000000000000e+00
3.959267491503457026e-01;-2.985084660126627210e+00;4.765759517910089116e+00;5.580785514159178895e-01;-4.620559533432682813e-05;8.000000000000000000e+00
3.959267491503457026e-01;-3.092083636138052594e+00;4.937161777868561252e+00;5.580621056967620675e-01;-3.688687571227602176e-05;8.000000000000000000e+00
3.959267491503457026e-01;-3.199081536460381070e+00;5.108567886152350468e+00;5.580493479822683511e-01;-2.756991471027366055e-05;8.000000000000000000e+00
3.959267491503457026e-01;-3.306077653858050525e+00;5.279975302767924816e+00;5.580402777150554883e-01;-1.825401225759552086e-05;8.000000000000000000e+00
3.959267491503457026e-01;-3.413071281095505505e+00;5.451381487721764785e+00;5.580348946146811429e-01;-8.938468407907801115e-06;8.000000000000000000e+00
3.959267491503457026e-01;-3.520061710937187005e+00;5.622783901020343755e+00;5.580331986776156938e-01;3.774167881517405486e-07;8.000000000000000000e+00
3.959267491503457026e-01;-3.627048236147536908e+00;5.794180002670138663e+00;5.580351901772702128e-01;9.694343412635939646e-06;8.000000000000000000e+00
3.959267491503457026e-01;-3.734030149490997985e+00;5.965567252677623777e+00;5.580408696640715149e-01;1.901301180479079668e-05;8.000000000000000000e+00
3.959267491503457026e-01;-3.841006743732009898e+00;6.136943111049274258e+00;5.580502379655944978e-01;2.833412269240011725e-05;8.000000000000000000e+00
3.959267491503457026e-01;-3.947977311635017639e+00;6.308305037791567926e+00;5.580632961867344477e-01;3.765837731628805433e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.054941145964459537e+00;6.479650492910978166e+00;5.580800457099379663e-01;4.698647756188806582e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.161897539484781028e+00;6.650976936413981910e+00;5.581004881954871877e-01;5.631912608621313299e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.268845784960422662e+00;6.822281828307055207e+00;5.581246255818226309e-01;6.565702644527459807e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.375785175155825435e+00;6.993562628596673214e+00;5.581524600859317786e-01;7.500088322486598593e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.482715002835430340e+00;7.164816797289307537e+00;5.581839942037722935e-01;8.435140216887911048e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.589634560763682813e+00;7.336041794391440440e+00;5.582192307107667339e-01;9.370929031076096567e-05;8.000000000000000000e+00
3.959267491503457026e-01;-4.696543141705022961e+00;7.507235079909543529e+00;5.582581726623332408e-01;1.030752561012689470e-04;8.000000000000000000e+00
3.959267491503457026e-01;-4.803440038423890890e+00;7.678394113850091962e+00;5.583008233944650733e-01;1.124500095398155614e-04;8.000000000000000000e+00
3.959267491503457026e-01;-4.910324543684730259e+00;7.849516356219565338e+00;5.583471865243807564e-01;1.218342623073832788e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.017195950251983838e+00;8.020599267024433487e+00;5.583972659512044245e-01;1.312287278965233001e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.124053550890092623e+00;8.191640306271176897e+00;5.584510658567172214e-01;1.406341217443824473e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.230896638363499385e+00;8.362636933966269837e+00;5.585085907061473343e-01;1.500511613649453083e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.337724505436642453e+00;8.533586610116184801e+00;5.585698452490128751e-01;1.594805664843043820e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.444536444873967262e+00;8.704486794727401389e+00;5.586348345200367049e-01;1.689230591746968219e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.551331749439913921e+00;8.875334947806390318e+00;5.587035638400843496e-01;1.783793639880922922e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.658109711898927863e+00;9.046128529359636516e+00;5.587760388171854053e-01;1.878502080952768353e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.764869625015446530e+00;9.216864999393603597e+00;5.588522653475878066e-01;1.973363214192166233e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.871610781553913583e+00;9.387541817914776487e+00;5.589322496168729337e-01;2.068384367773945401e-04;8.000000000000000000e+00
3.959267491503457026e-01;-5.978332474278770015e+00;9.558156444929625906e+00;5.590159981011364465e-01;2.163572900168562628e-04;8.000000000000000000e+00
3.959267491503457026e-01;-6.085033995954459485e+00;9.728706340444629674e+00;5.591035175681975389e-01;2.258936201564349538e-04;8.000000000000000000e+00
3.959267491503457026e-01;-6.191714639345423876e+00;9.899188964466265617e+00;5.591948150789010086e-01;2.354481695272931361e-04;8.000000000000000000e+00
3.959267491503457026e-01;-6.298373697216103295e+00;1.006960177700100090e+01;5.592898979884353139e-01;2.450216839138014569e-04;8.000000000000000000e+00
3.959267491503457026e-01;-6.405010462330940513e+00;1.023994223805531867e+01;5.593887739477390042e-01;2.546149127011472025e-04;8.000000000000000000e+00
3.959267491503457026e-01;-6.511624227454377412e+00;1.041020780763568965e+01;5.594914509049502271e-01;2.642286090123990828e-04;8.000000000000000000e+00
