# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3959267;0.0084520;-0.0216290;2.1308509;-0.0003444;8.0000000
0.3959267;-0.0982899;0.1486343;2.1307248;-0.0003239;8.0000000
0.3959267;-0.2050506;0.3189725;2.1306057;-0.0003058;8.0000000
0.3959267;-0.3118293;0.4893832;2.1304920;-0.0002902;8.0000000
0.3959267;-0.4186253;0.6598638;2.1303823;-0.0002765;8.0000000
0.3959267;-0.5254380;0.8304117;2.1302765;-0.0002644;8.0000000
0.3959267;-0.6322665;1.0010244;2.1301744;-0.0002536;8.0000000
0.3959267;-0.7391102;1.1716994;2.1300761;-0.0002436;8.0000000
0.3959267;-0.8459684;1.3424341;2.1299816;-0.0002340;8.0000000
0.3959267;-0.9528404;1.5132260;2.1298908;-0.0002245;8.0000000
0.3959267;-1.0597254;1.6840725;2.1298038;-0.0002150;8.0000000
0.3959267;-1.1666228;1.8549711;2.1297206;-0.0002056;8.0000000
0.3959267;-1.2735319;2.0259194;2.1296411;-0.0001961;8.0000000
0.3959267;-1.3804519;2.1969146;2.1295654;-0.0001867;8.0000000
0.3959267;-1.4873821;2.3679543;2.1294933;-0.0001772;8.0000000
0.3959267;-1.5943219;2.5390360;2.1294250;-0.0001678;8.0000000
0.3959267;-1.7012705;2.7101571;2.1293605;-0.0001584;8.0000000
0.3959267;-1.8082272;2.8813151;2.1292996;-0.0001490;8.0000000
0.3959267;-1.9151913;3.0525074;2.1292425;-0.0001396;8.0000000
0.3959267;-2.0221622;3.2237315;2.1291891;-0.0001303;8.0000000
0.3959267;-2.1291390;3.3949848;2.1291394;-0.0001209;8.0000000
0.3959267;-2.2361211;3.5662648;2.1290934;-0.0001115;8.0000000
0.3959267;-2.3431078;3.7375690;2.1290511;-0.0001022;8.0000000
0.3959267;-2.4500984;3.9088948;2.1290125;-0.0000929;8.0000000
0.3959267;-2.5570921;4.0802398;2.1289776;-0.0000835;8.0000000
0.3959267;-2.6640884;4.2516012;2.1289464;-0.0000742;8.0000000
0.3959267;-2.7710863;4.4229767;2.1289188;-0.0000649;8.0000000
0.3959267;-2.8780853;4.5943636;2.1288950;-0.0000555;8.0000000
0.3959267;-2.9850847;4.7657595;2.1288749;-0.0000462;8.0000000
0.3959267;-3.0920836;4.9371618;2.1288584;-0.0000369;8.0000000
0.3959267;-3.1990815;5.1085679;2.1288457;-0.0000276;8.0000000
0.3959267;-3.3060777;5.2799753;2.1288366;-0.0000183;8.0000000
0.3959267;-3.4130713;5.4513815;2.1288312;-0.0000089;8.0000000
0.3959267;-3.5200617;5.6227839;2.1288295;0.0000004;8.0000000
0.3959267;-3.6270482;5.7941800;2.1288315;0.0000097;8.0000000
0.3959267;-3.7340301;5.9655673;2.1288372;0.0000190;8.0000000
0.3959267;-3.8410067;6.1369431;2.1288466;0.0000283;8.0000000
0.3959267;-3.9479773;6.3083050;2.1288596;0.0000377;8.0000000
0.3959267;-4.0549411;6.4796505;2.1288764;0.0000470;8.0000000
0.3959267;-4.1618975;6.6509769;2.1288968;0.0000563;8.0000000
0.3959267;-4.2688458;6.8222818;2.1289210;0.0000657;8.0000000
0.3959267;-4.3757852;6.9935626;2.1289488;0.0000750;8.0000000
0.3959267;-4.4827150;7.1648168;2.1289803;0.0000844;8.0000000
0.3959267;-4.5896346;7.3360418;2.1290156;0.0000937;8.0000000
0.3959267;-4.6965431;7.5072351;2.1290545;0.0001031;8.0000000
0.3959267;-4.8034400;7.6783941;2.1290972;0.0001125;8.0000000
0.3959267;-4.9103245;7.8495164;2.1291435;0.0001218;8.0000000
0.3959267;-5.0171960;8.0205993;2.1291936;0.0001312;8.0000000
0.3959267;-5.1240536;8.1916403;2.1292474;0.0001406;8.0000000
0.3959267;-5.2308966;8.3626369;2.1293049;0.0001501;8.0000000
0.3959267;-5.3377245;8.5335866;2.1293662;0.0001595;8.0000000
0.3959267;-5.4445364;8.7044868;2.1294312;0.0001689;8.0000000
0.3959267;-5.5513317;8.8753349;2.1294999;0.0001784;8.0000000
0.3959267;-5.6581097;9.0461285;2.1295724;0.0001879;8.0000000
0.3959267;-5.7648696;9.2168650;2.1296486;0.0001973;8.0000000
0.3959267;-5.8716108;9.3875418;2.1297286;0.0002068;8.0000000
0.3959267;-5.9783325;9.5581564;2.1298123;0.0002164;8.0000000
0.3959267;-6.0850340;9.7287063;2.1298998;0.0002259;8.0000000
0.3959267;-6.1917146;9.8991890;2.1299911;0.0002354;8.0000000
0.3959267;-6.2983737;10.0696018;2.1300862;0.0002450;8.0000000
0.3959267;-6.4050105;10.2399422;2.1301851;0.0002546;8.0000000
0.3959267;-6.5116242;10.4102078;2.1302878;0.0002642;8.0000000
0.3959267;-6.6182143;10.5803959;2.1303943;0.0002739;8.0000000
0.3959267;-6.7247799;10.7505041;2.1305046;0.0002835;8.0000000
0.3959267;-6.8313205;10.9205298;2.1306187;0.0002932;8.0000000
0.3959267;-6.9378351;11.0904704;2.1307367;0.0003029;8.0000000
0.3959267;-7.0443233;11.2603234;2.1308585;0.0003126;8.0000000
0.3959267;-7.1507842;11.4300863;2.1309841;0.0003224;8.0000000
0.3959267;-7.2572172;11.5997565;2.1311137;0.0003322;8.0000000
0.3959267;-7.3636215;11.7693315;2.1312471;0.0003420;8.0000000
0.3959267;-7.4699964;11.9388087;2.1313844;0.0003518;8.0000000
0.3959267;-7.5763413;12.1081857;2.1315256;0.0003617;8.0000000
0.3959267;-7.6826554;12.2774598;2.1316707;0.0003715;8.0000000
0.3959267;-7.7889380;12.4466285;2.1318197;0.0003815;8.0000000
0.3959267;-7.8951884;12.6156894;2.1319726;0.0003914;8.0000000
0.3959267;-8.0014059;12.7846398;2.1321295;0.0004014;8.0000000
0.3959267;-8.1075898;12.9534772;2.1322904;0.0004114;8.0000000
0.3959267;-8.2137394;13.1221990;2.1324552;0.0004215;8.0000000
0.3959267;-8.3198539;13.2908028;2.1326240;0.0004315;8.0000000
0.3959267;-8.4259328;13.4592860;2.1327968;0.0004417;8.0000000
0.3959267;-8.5319751;13.6276461;2.1329736;0.0004518;8.0000000
0.3959267;-8.6379804;13.7958804;2.1331545;0.0004620;8.0000000
0.3959267;-8.7439478;13.9639865;2.1333393;0.0004722;8.0000000
0.3959267;-8.8498766;14.1319618;2.1335283;0.0004819;8.0000000
0.3959267;-8.9557662;14.2998039;2.1337213;0.0004900;8.0000000
0.3959267;-9.0616158;14.4675101;2.1339184;0.0004953;8.0000000
0.3959267;-9.1674247;14.6350778;2.1341196;0.0004966;8.0000000
0.3959267;-9.2731922;14.8025047;2.1343248;0.0004929;8.0000000
0.3959267;-9.3789177;14.9697881;2.1345320;0.0004828;8.0000000
0.3959267;-9.4846003;15.1369254;2.1347368;0.0004659;8.0000000
0.3959267;-9.5902396;15.3039147;2.1349345;0.0004420;8.0000000
0.3959267;-9.6958401;15.4707663;2.1351207;0.0004111;8.0000000
0.3959267;-9.8014123;15.6375051;2.1352907;0.0003732;8.0000000
0.3959267;-9.9069667;15.8041564;2.1354399;0.0003289;8.0000000
0.3959267;-10.0125141;15.9707459;2.1355658;0.0002793;8.0000000
0.3959267;-10.1180650;16.1372990;2.1356683;0.0002255;8.0000000
0.3959267;-10.2236303;16.3038413;2.1357472;0.0001687;8.0000000
0.3959267;-10.3292206;16.4703982;2.1358026;0.0001101;8.0000000
0.3959267;-10.4348465;16.6369952;2.1358344;0.0000508;8.0000000
0.3959267;-10.5405187;16.8036579;2.1358427;-0.0000084;8.0000000
0.3959267;-10.6462478;16.9704117;2.1358274;-0.0000676;8.0000000
0.3959267;-10.7520446;17.1372823;2.1357887;-0.0001266;8.0000000
0.3959267;-10.8579198;17.3042950;2.1357266;-0.0001854;8.0000000
0.3959267;-10.9638839;17.4714753;2.1356411;-0.0002439;8.0000000
0.3959267;-11.0699477;17.6388489;2.1355325;-0.0003022;8.0000000
0.3959267;-11.1761218;17.8064411;2.1354008;-0.0003601;8.0000000
0.3959267;-11.2824170;17.9742775;2.1352461;-0.0004177;8.0000000
0.3959267;-11.3888438;18.1423837;2.1350687;-0.0004748;8.0000000
0.3959267;-11.4954129;18.3107850;2.1348687;-0.0005314;8.0000000
0.3959267;-11.6021351;18.4795071;2.1346462;-0.0005876;8.0000000
0.3959267;-11.7090210;18.6485754;2.1344016;-0.0006432;8.0000000
0.3959267;-11.8160812;18.8180154;2.1341350;-0.0006981;8.0000000
0.3959267;-11.9233265;18.9878526;2.1338468;-0.0007525;8.0000000
0.3959267;-12.0307675;19.1581126;2.1335370;-0.0008062;8.0000000
0.3959267;-12.1384148;19.3288208;2.1332061;-0.0008591;8.0000000
0.3959267;-12.2462793;19.5000027;2.1328544;-0.0009113;8.0000000
0.3959267;-12.3543714;19.6716839;2.1324820;-0.0009628;8.0000000
0.3959267;-12.4627019;19.8438899;2.1320894;-0.0010134;8.0000000
0.3959267;-12.5712815;20.0166462;2.1316769;-0.0010631;8.0000000
0.3959267;-12.6801208;20.1899782;2.1312448;-0.0011120;8.0000000
0.3959267;-12.7892305;20.3639115;2.1307934;-0.0011600;8.0000000
0.3959267;-12.8986213;20.5384715;2.1303232;-0.0012071;8.0000000
0.3959267;-13.0083039;20.7136839;2.1298346;-0.0012532;8.0000000
0.3959267;-13.1182889;20.8895740;2.1293278;-0.0012983;8.0000000
0.3959267;-13.2285869;21.0661675;2.1288033;-0.0013425;8.0000000
0.3959267;-13.3392088;21.2434898;2.1282615;-0.0013856;8.0000000
0.3959267;-13.4501650;21.4215663;2.1277028;-0.0014277;8.0000000
0.3959267;-13.5614664;21.6004227;2.1271277;-0.0014753;8.0000000
0.3959267;-13.6731236;21.7800845;2.1265364;-0.0016089;8.0000000
0.3959267;-13.7851472;21.9605770;2.1259296;-0.0019538;8.0000000
0.3959267;-13.8975479;22.1419259;2.1253076;-0.0026369;8.0000000
0.3959267;-14.0103364;22.3241566;2.1246708;-0.0037894;8.0000000
0.3959267;-14.1235234;22.5072947;2.1239933;-0.0055521;8.0000000
0.3959267;-14.2371195;22.6913656;2.1229577;-0.0080760;8.0000000
0.3959267;-14.3511354;22.8763949;2.1210677;-0.0114589;4.4750756
0.3959267;-14.4655281;23.0623860;2.1178212;-0.0157736;4.4750756
0.3959267;-14.5796575;23.2490973;2.1126995;-0.0211164;4.4750756
0.3959267;-14.6925109;23.4361342;2.1051454;-0.0276047;4.4750756
0.3959267;-14.8030701;23.6230999;2.0945615;-0.0353142;4.4750756
0.3959267;-14.9103168;23.8095974;2.0805608;-0.0443117;4.4750756
0.3959267;-15.0132329;23.9952298;2.0628556;-0.0547039;4.4750756
0.3959267;-15.1107999;24.1796004;2.0410651;-0.0666350;4.4750756
0.3959267;-15.2019997;24.3623121;2.0146988;-0.0802785;4.4750756
0.3959267;-15.2858140;24.5429682;1.9831396;-0.0958205;4.4750756
0.3959267;-15.3612245;24.7211717;1.9456256;-0.1134866;4.4750756
0.3959267;-15.4272130;24.8965258;1.9012340;-0.1334469;4.4750756
0.3959267;-15.4827611;25.0686336;1.8488736;-0.1556623;4.4750756
0.3959267;-15.5268507;25.2370982;1.7873012;-0.1796582;4.4750756
0.3959267;-15.5584634;25.4015226;1.7151826;-0.2041196;4.4750756
0.3959267;-15.5765810;25.5615101;1.6312370;-0.2274556;4.4750756
0.3959267;-15.5801853;25.7166638;1.5345037;-0.2482450;4.4750756
0.3959267;-15.5682579;25.8665867;1.4247565;-0.2654489;4.4750756
0.3959267;-15.5397807;26.0108820;1.3033840;-0.2784739;4.4750756
0.3959267;-15.4937352;26.1491528;1.1749756;-0.2871514;4.4750756
0.3959267;-15.4291034;26.2810023;1.0450681;-0.2916840;4.4750756
0.3959267;-15.3452359;26.4059149;0.9183656;-0.2923755;4.4750756
0.3959267;-15.2433280;26.5227825;0.7978904;-0.2896503;4.4750756
0.3959267;-15.1251497;26.6303122;0.6847485;-0.2840677;4.5400431
0.3959267;-14.9924715;26.7272113;0.5782734;-0.2764119;4.5400431
0.3959267;-14.8470635;26.8121866;0.4763819;-0.2674867;4.6786418
0.3959267;-14.6906963;26.8839452;0.3769109;-0.2578050;4.6786418
0.3959267;-14.5251401;26.9411943;0.2779533;-0.2474615;4.8642627
0.3959267;-14.3521653;26.9826409;0.1786842;-0.2361365;4.8642627
0.3959267;-14.1735422;27.0069920;0.0805870;-0.2233708;5.1198550
0.3959267;-13.9910389;27.0129597;6.2692021;-0.2088727;5.1198550
0.3959267;-13.8060018;27.0002132;6.1808321;-0.1923759;5.5169059
0.3959267;-13.6188577;26.9705090;6.1013093;-0.1736326;5.8070456
0.3959267;-13.4299119;26.9258785;6.0330062;-0.1527216;6.1918536
0.3959267;-13.2394700;26.8683535;5.9770740;-0.1304467;6.6996829
0.3959267;-13.0478373;26.7999655;5.9325843;-0.1077963;7.3700234
0.3959267;-12.8553193;26.7227462;5.8984287;-0.0858038;8.0000000
0.3959267;-12.6622215;26.6387270;5.8736807;-0.0654803;8.0000000
0.3959267;-12.4688493;26.5499397;5.8572040;-0.0477638;8.0000000
0.3959267;-12.2755081;26.4584157;5.8472988;-0.0331764;8.0000000
0.3959267;-12.0825025;26.3661807;5.8424076;-0.0215072;8.0000000
0.3959267;-11.8900354;26.2745944;5.8411117;-0.0124767;8.0000000
0.3959267;-11.6981183;26.1837624;5.8420551;-0.0058514;8.0000000
0.3959267;-11.5067417;26.0936514;5.8438963;-0.0013445;8.0000000
0.3959267;-11.3158958;26.0042282;5.8457196;0.0014727;8.0000000
0.3959267;-11.1255712;25.9154593;5.8474313;0.0029934;8.0000000
0.3959267;-10.9357580;25.8273115;5.8490299;0.0035753;8.0000000
0.3959267;-10.7464467;25.7397514;5.8505136;0.0035608;8.0000000
0.3959267;-10.5576277;25.6527457;5.8518807;0.0032882;8.0000000
0.3959267;-10.3692913;25.5662611;5.8531298;0.0029886;8.0000000
0.3959267;-10.1814279;25.4802643;5.8542592;0.0026852;8.0000000
0.3959267;-9.9940278;25.3947220;5.8552674;0.0023782;8.0000000
0.3959267;-9.8070814;25.3096008;5.8561532;0.0020678;8.0000000
0.3959267;-9.6205791;25.2248674;5.8569152;0.0017542;8.0000000
0.3959267;-9.4345112;25.1404885;5.8575521;0.0014374;8.0000000
0.3959267;-9.2488681;25.0564308;5.8580627;0.0011178;8.0000000
0.3959267;-9.0636402;24.9726610;5.8584459;0.0007955;8.0000000
0.3959267;-8.8788178;24.8891457;5.8587006;0.0004706;8.0000000
0.3959267;-8.6943914;24.8058516;5.8588259;0.0001435;8.0000000
0.3959267;-8.5103511;24.7227454;5.8588210;-0.0001858;8.0000000
0.3959267;-8.3266875;24.6397938;5.8586849;-0.0005171;8.0000000
0.3959267;-8.1433909;24.5569635;5.8584170;-0.0008500;8.0000000
0.3959267;-7.9604516;24.4742211;5.8580166;-0.0011845;8.0000000
0.3959267;-7.7778600;24.3915333;5.8574832;-0.0015202;8.0000000
0.3959267;-7.5956066;24.3088668;5.8568163;-0.0018571;8.0000000
0.3959267;-7.4136815;24.2261883;5.8560154;-0.0021947;8.0000000
0.3959267;-7.2320753;24.1434645;5.8550804;-0.0025330;8.0000000
0.3959267;-7.0507782;24.0606620;5.8540109;-0.0028717;8.0000000
0.3959267;-6.8697807;23.9777476;5.8528069;-0.0032105;8.0000000
0.3959267;-6.6890731;23.8946878;5.8514684;-0.0035493;8.0000000
0.3959267;-6.5086457;23.8114495;5.8499955;-0.0038877;8.0000000
0.3959267;-6.3284890;23.7279992;5.8483882;-0.0042256;8.0000000
0.3959267;-6.1485932;23.6443036;5.8466469;-0.0045626;8.0000000
0.3959267;-5.9689488;23.5603295;5.8447719;-0.0048987;8.0000000
0.3959267;-5.7895462;23.4760434;5.8427638;-0.0052334;8.0000000
0.3959267;-5.6103756;23.3914122;5.8406230;-0.0055665;8.0000000
0.3959267;-5.4314274;23.3064024;5.8383502;-0.0058979;8.0000000
0.3959267;-5.2526921;23.2209808;5.8359462;-0.0062271;8.0000000
0.3959267;-5.0741600;23.1351140;5.8334118;-0.0065518;8.0000000
