# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.975624104880740028e-01;-7.692293915262879977e-01;-2.073693711515532945e-01;1.815042621815257107e+00;9.346349198631631215e-04;8.000000000000000000e+00
3.975624104880740028e-01;-9.634850939771441025e-01;-2.558202514917493620e-01;1.815451271379182607e+00;9.813392712250531766e-04;8.000000000000000000e+00
3.975624104880740028e-01;-1.157730507692545929e+00;-3.043574857734984707e-01;1.815873475041961171e+00;1.017238703225747986e-03;8.000000000000000000e+00
3.975624104880740028e-01;-1.351966190244119348e+00;-3.529810695260379161e-01;1.816302079369019218e+00;1.042634422138361775e-03;8.000000000000000000e+00
3.975624104880740028e-01;-1.546192699203489784e+00;-4.016909982786037170e-01;1.816731124495330363e+00;1.059026723333154245e-03;8.000000000000000000e+00
3.975624104880740028e-01;-1.740410592142283219e+00;-4.504872675604332244e-01;1.817159415850740700e+00;1.068215478813483400e-03;8.000000000000000000e+00
3.975624104880740028e-01;-1.934620426632130297e+00;-4.993698729007637893e-01;1.817586949962066711e+00;1.072000230408245254e-03;8.000000000000000000e+00
3.975624104880740028e-01;-2.128822760244653889e+00;-5.483388098288315415e-01;1.818013723370901502e+00;1.072180046489745048e-03;8.000000000000000000e+00
3.975624104880740028e-01;-2.323018150551479089e+00;-5.973940738738729994e-01;1.818439732633715167e+00;1.070553403605806241e-03;8.000000000000000000e+00
3.975624104880740028e-01;-2.517207155124238316e+00;-6.465356605651270128e-01;1.818864974321933836e+00;1.068618560245394259e-03;8.000000000000000000e+00
3.975624104880740028e-01;-2.711390331534551112e+00;-6.957635654318281571e-01;1.819289445022034712e+00;1.066675150663162069e-03;8.000000000000000000e+00
3.975624104880740028e-01;-2.905568237354050343e+00;-7.450777840032150046e-01;1.819713141335631335e+00;1.064723213031157877e-03;8.000000000000000000e+00
3.975624104880740028e-01;-3.099741430154359101e+00;-7.944783118085237961e-01;1.820136059879557955e+00;1.062762785738805048e-03;8.000000000000000000e+00
3.975624104880740028e-01;-3.293910467507103146e+00;-8.439651443769909944e-01;1.820558197285956581e+00;1.060793907389102420e-03;8.000000000000000000e+00
3.975624104880740028e-01;-3.488075906983912233e+00;-8.935382772378541727e-01;1.820979550202364905e+00;1.058816616798401817e-03;8.000000000000000000e+00
3.975624104880740028e-01;-3.682238306156412566e+00;-9.431977059203505709e-01;1.821400115291794464e+00;1.056830952993056787e-03;8.000000000000000000e+00
