# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3975624;-0.7692294;-0.2073694;3.3858389;0.0009346;8.0000000
0.3975624;-0.9634851;-0.2558203;3.3862476;0.0009813;8.0000000
0.3975624;-1.1577305;-0.3043575;3.3866698;0.0010172;8.0000000
0.3975624;-1.3519662;-0.3529811;3.3870984;0.0010426;8.0000000
0.3975624;-1.5461927;-0.4016910;3.3875275;0.0010590;8.0000000
0.3975624;-1.7404106;-0.4504873;3.3879557;0.0010682;8.0000000
0.3975624;-1.9346204;-0.4993699;3.3883833;0.0010720;8.0000000
0.3975624;-2.1288228;-0.5483388;3.3888101;0.0010722;8.0000000
0.3975624;-2.3230182;-0.5973941;3.3892361;0.0010706;8.0000000
0.3975624;-2.5172072;-0.6465357;3.3896613;0.0010686;8.0000000
0.3975624;-2.7113903;-0.6957636;3.3900858;0.0010667;8.0000000
0.3975624;-2.9055682;-0.7450778;3.3905095;0.0010647;8.0000000
0.3975624;-3.0997414;-0.7944783;3.3909324;0.0010628;8.0000000
0.3975624;-3.2939105;-0.8439651;3.3913545;0.0010608;8.0000000
0.3975624;-3.4880759;-0.8935383;3.3917759;0.0010588;8.0000000
0.3975624;-3.6822383;-0.9431977;3.3921964;0.0010568;8.0000000
0.3975624;-3.8763982;-0.9929434;3.3926162;0.0010548;8.0000000
0.3975624;-4.0705562;-1.0427754;3.3930352;0.0010528;8.0000000
0.3975624;-4.2647128;-1.0926937;3.3934534;0.0010508;8.0000000
0.3975624;-4.4588687;-1.1426983;3.3938708;0.0010488;8.0000000
0.3975624;-4.6530242;-1.1927891;3.3942873;0.0010468;8.0000000
0.3975624;-4.8471801;-1.2429662;3.3947031;0.0010447;8.0000000
0.3975624;-5.0413368;-1.2932296;3.3951181;0.0010427;8.0000000
0.3975624;-5.2354950;-1.3435792;3.3955322;0.0010406;8.0000000
0.3975624;-5.4296551;-1.3940151;3.3959455;0.0010386;8.0000000
0.3975624;-5.6238177;-1.4445373;3.3963580;0.0010365;8.0000000
0.3975624;-5.8179835;-1.4951457;3.3967697;0.0010344;8.0000000
0.3975624;-6.0121529;-1.5458403;3.3971806;0.0010324;8.0000000
0.3975624;-6.2063265;-1.5966212;3.3975906;0.0010303;8.0000000
0.3975624;-6.4005049;-1.6474883;3.3979998;0.0010282;8.0000000
