# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
3.589541762390787705e-01;-2.708700441497374767e-03;4.832965480366230998e-03;-1.452115402401798372e+00;-8.624403705220307168e-04;8.000000000000000000e+00
3.589541762390787705e-01;2.019478454852301763e-01;2.921365058454693242e-02;-1.451893841597154511e+00;-2.647424515084919380e-04;8.000000000000000000e+00
3.589541762390787705e-01;4.063899184485584848e-01;5.366716643139712861e-02;-1.451519413051212348e+00;2.180809565817069383e-04;8.000000000000000000e+00
3.589541762390787705e-01;6.106218033873350715e-01;7.819180144055133674e-02;-1.451073318034192594e+00;5.868433833997031314e-04;8.000000000000000000e+00
3.589541762390787705e-01;8.146477852404059306e-01;1.027858440316438415e-01;-1.450623502383114438e+00;8.452173509757646142e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.018472148946619305e+00;1.274475826243090526e-01;-1.450183627940929032e+00;1.009188189256331582e-03;8.000000000000000000e+00
3.589541762390787705e-01;1.222099179444821715e+00;1.521753056381813241e-01;-1.449753748570738132e+00;1.097667098385145387e-03;8.000000000000000000e+00
3.589541762390787705e-01;1.425533161673860016e+00;1.769673014928951071e-01;-1.449333917124998150e+00;1.129456555464981990e-03;8.000000000000000000e+00
3.589541762390787705e-01;1.628778380572581952e+00;2.018218586080846866e-01;-1.448924185431712308e+00;1.123345120124918028e-03;8.000000000000000000e+00
3.589541762390787705e-01;1.831839121079834376e+00;2.267372654033846802e-01;-1.448524604280844175e+00;1.098173865087393895e-03;8.000000000000000000e+00
3.589541762390787705e-01;2.034719668134463255e+00;2.517118102984290950e-01;-1.448135223410953465e+00;1.069706797456370598e-03;8.000000000000000000e+00
3.589541762390787705e-01;2.237424306675316110e+00;2.767437817128525213e-01;-1.447756091496064990e+00;1.041105838546609822e-03;8.000000000000000000e+00
3.589541762390787705e-01;2.439957321641240018e+00;3.018314680662891880e-01;-1.447387256132771416e+00;1.012374003607420482e-03;8.000000000000000000e+00
3.589541762390787705e-01;2.642322997971083165e+00;3.269731577783739351e-01;-1.447028763827577391e+00;9.835143427129437472e-04;8.000000000000000000e+00
3.589541762390787705e-01;2.844525620603690186e+00;3.521671392687406033e-01;-1.446680659984492801e+00;9.545299400687168485e-04;8.000000000000000000e+00
3.589541762390787705e-01;3.046569474477910600e+00;3.774117009570238657e-01;-1.446342988892875825e+00;9.254239133034928167e-04;8.000000000000000000e+00
3.589541762390787705e-01;3.248458844532589929e+00;4.027051312628579516e-01;-1.446015793715534903e+00;8.961994127466283008e-04;8.000000000000000000e+00
3.589541762390787705e-01;3.450198015706575028e+00;4.280457186058774233e-01;-1.445699116477090707e+00;8.668596206919120277e-04;8.000000000000000000e+00
3.589541762390787705e-01;3.651791272938712751e+00;4.534317514057163434e-01;-1.445392998052609013e+00;8.374077506470623856e-04;8.000000000000000000e+00
3.589541762390787705e-01;3.853242901167852619e+00;4.788615180820096073e-01;-1.445097478156504023e+00;8.078470465701859593e-04;8.000000000000000000e+00
3.589541762390787705e-01;4.054557185332837932e+00;5.043333070543909447e-01;-1.444812595331717464e+00;7.781807820926760558e-04;8.000000000000000000e+00
3.589541762390787705e-01;4.255738410372517322e+00;5.298454067424952507e-01;-1.444538386939182573e+00;7.484122597292756874e-04;8.000000000000000000e+00
3.589541762390787705e-01;4.456790861225738531e+00;5.553961055659566437e-01;-1.444274889147572516e+00;7.185448100761314969e-04;8.000000000000000000e+00
3.589541762390787705e-01;4.657718822831348859e+00;5.809836919444095749e-01;-1.444022136923340360e+00;6.885817909952879996e-04;8.000000000000000000e+00
3.589541762390787705e-01;4.858526580128192940e+00;6.066064542974886065e-01;-1.443780164021054579e+00;6.585265867887707750e-04;8.000000000000000000e+00
3.589541762390787705e-01;5.059218418055121624e+00;6.322626810448280787e-01;-1.443549002974032103e+00;6.283826073596267053e-04;8.000000000000000000e+00
3.589541762390787705e-01;5.259798621550975994e+00;6.579506606060618878e-01;-1.443328685085278895e+00;5.981532873627063611e-04;8.000000000000000000e+00
3.589541762390787705e-01;5.460271475554610454e+00;6.836686814008250401e-01;-1.443119240418735627e+00;5.678420853437444842e-04;8.000000000000000000e+00
3.589541762390787705e-01;5.660641265004866085e+00;7.094150318487515428e-01;-1.442920697790833984e+00;5.374524828682344414e-04;8.000000000000000000e+00
3.589541762390787705e-01;5.860912274840591074e+00;7.351880003694757360e-01;-1.442733084762371387e+00;5.069879836400435248e-04;8.000000000000000000e+00
3.589541762390787705e-01;6.061088790000635385e+00;7.609858753826322930e-01;-1.442556427630701466e+00;4.764521126098224387e-04;8.000000000000000000e+00
3.589541762390787705e-01;6.261175095423842762e+00;7.868069453078554432e-01;-1.442390751422251149e+00;4.458484150737227251e-04;8.000000000000000000e+00
3.589541762390787705e-01;6.461175476049062283e+00;8.126494985647796376e-01;-1.442236079885357736e+00;4.151804557636093809e-04;8.000000000000000000e+00
3.589541762390787705e-01;6.661094216815139468e+00;8.385118235730392167e-01;-1.442092435483441237e+00;3.844518179280971147e-04;8.000000000000000000e+00
3.589541762390787705e-01;6.860935602660922505e+00;8.643922087522684095e-01;-1.441959839388505138e+00;3.536661024046692018e-04;8.000000000000000000e+00
3.589541762390787705e-01;7.060703918525257805e+00;8.902889425221016673e-01;-1.441838311474972878e+00;3.228269266843730246e-04;8.000000000000000000e+00
3.589541762390787705e-01;7.260403449346993554e+00;9.162003133021737744e-01;-1.441727870313863846e+00;2.919379239687830288e-04;8.000000000000000000e+00
3.589541762390787705e-01;7.460038480064973498e+00;9.421246095121184050e-01;-1.441628533167308657e+00;2.610027422192317463e-04;8.000000000000000000e+00
3.589541762390787705e-01;7.659613295618046713e+00;9.680601195715703433e-01;-1.441540315983408593e+00;2.300250431997516584e-04;8.000000000000000000e+00
3.589541762390787705e-01;7.859132180945061386e+00;9.940051319001640406e-01;-1.441463233391439669e+00;1.990085015128001498e-04;8.000000000000000000e+00
3.589541762390787705e-01;8.058599420984862149e+00;1.019957934917533615e+00;-1.441397298697405738e+00;1.679568036298813391e-04;8.000000000000000000e+00
3.589541762390787705e-01;8.258019300676297192e+00;1.045916817043313518e+00;-1.441342523879941995e+00;1.368736469155691572e-04;8.000000000000000000e+00
3.589541762390787705e-01;8.457396104958215588e+00;1.071880066697138201e+00;-1.441298919586567528e+00;1.057627386466338833e-04;8.000000000000000000e+00
3.589541762390787705e-01;8.656734118769463748e+00;1.097845972298642669e+00;-1.441266495130297809e+00;7.462779502673514852e-05;8.000000000000000000e+00
3.589541762390787705e-01;8.856037627048884531e+00;1.123812822267459932e+00;-1.441245258486604230e+00;4.347254019559916940e-05;8.000000000000000000e+00
3.589541762390787705e-01;9.055310914735326122e+00;1.149778905023225439e+00;-1.441235216290740029e+00;1.230070523577324988e-05;8.000000000000000000e+00
3.589541762390787705e-01;9.254558266767642039e+00;1.175742508985573087e+00;-1.441236373835416584e+00;-1.888397282618696247e-05;8.000000000000000000e+00
3.589541762390787705e-01;9.453783968084669809e+00;1.201701922574137882e+00;-1.441248735068843878e+00;-5.007775201956128966e-05;8.000000000000000000e+00
3.589541762390787705e-01;9.652992303625264725e+00;1.227655434208553276e+00;-1.441272302593131549e+00;-8.127688643405126911e-05;8.000000000000000000e+00
3.589541762390787705e-01;9.852187558328267869e+00;1.253601332308454275e+00;-1.441307077663048331e+00;-1.124776272246757358e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.005137401713252920e+01;1.279537905293474997e+00;-1.441353060185149415e+00;-1.436762236208418396e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.025055596497689336e+01;1.305463441583250006e+00;-1.441410248717258868e+00;-1.748689239342820893e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.044973768680021031e+01;1.331376229597413641e+00;-1.441478640468325079e+00;-2.060519765704448003e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.064892346754132468e+01;1.357274557755600242e+00;-1.441558231298631032e+00;-2.372216310385965644e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.084811759213908644e+01;1.383156714477444149e+00;-1.441649015720374072e+00;-2.683741389632642244e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.104732434553233844e+01;1.409020988182579703e+00;-1.441750986898606923e+00;-2.995057550945431392e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.124654801265992887e+01;1.434865667290641023e+00;-1.441864136652543760e+00;-3.306127383179929911e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.144579287846070947e+01;1.460689040221263335e+00;-1.441988455457227758e+00;-3.616913526642244058e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.164506322787352488e+01;1.486489395394080759e+00;-1.442123932445563916e+00;-3.927378683147222526e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.184436334583721617e+01;1.512265021228726969e+00;-1.442270555410710475e+00;-4.237485626081331997e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.204369751729063687e+01;1.538014206144836749e+00;-1.442428310808836711e+00;-4.547197210422743575e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.224307002717263337e+01;1.563735238562044882e+00;-1.442597183762234225e+00;-4.856476382738740961e-04;8.000000000000000000e+00
3.589541762390787705e-01;1.244248516042204855e+01;1.589426406899985267e+00;-1.442777158062794385e+00;-5.165286191151681342e-04;8.000000000000000000e+00
