# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.3589542;-0.0027087;0.0048330;0.1186809;-0.0008624;8.0000000
0.3589542;0.2019478;0.0292137;0.1189025;-0.0002647;8.0000000
0.3589542;0.4063899;0.0536672;0.1192769;0.0002181;8.0000000
0.3589542;0.6106218;0.0781918;0.1197230;0.0005868;8.0000000
0.3589542;0.8146478;0.1027858;0.1201728;0.0008452;8.0000000
0.3589542;1.0184721;0.1274476;0.1206127;0.0010092;8.0000000
0.3589542;1.2220992;0.1521753;0.1210426;0.0010977;8.0000000
0.3589542;1.4255332;0.1769673;0.1214624;0.0011295;8.0000000
0.3589542;1.6287784;0.2018219;0.1218721;0.0011233;8.0000000
0.3589542;1.8318391;0.2267373;0.1222717;0.0010982;8.0000000
0.3589542;2.0347197;0.2517118;0.1226611;0.0010697;8.0000000
0.3589542;2.2374243;0.2767438;0.1230402;0.0010411;8.0000000
0.3589542;2.4399573;0.3018315;0.1234091;0.0010124;8.0000000
0.3589542;2.6423230;0.3269732;0.1237676;0.0009835;8.0000000
0.3589542;2.8445256;0.3521671;0.1241157;0.0009545;8.0000000
0.3589542;3.0465695;0.3774117;0.1244533;0.0009254;8.0000000
0.3589542;3.2484588;0.4027051;0.1247805;0.0008962;8.0000000
0.3589542;3.4501980;0.4280457;0.1250972;0.0008669;8.0000000
0.3589542;3.6517913;0.4534318;0.1254033;0.0008374;8.0000000
0.3589542;3.8532429;0.4788615;0.1256988;0.0008078;8.0000000
0.3589542;4.0545572;0.5043333;0.1259837;0.0007782;8.0000000
0.3589542;4.2557384;0.5298454;0.1262579;0.0007484;8.0000000
0.3589542;4.4567909;0.5553961;0.1265214;0.0007185;8.0000000
0.3589542;4.6577188;0.5809837;0.1267742;0.0006886;8.0000000
0.3589542;4.8585266;0.6066065;0.1270162;0.0006585;8.0000000
0.3589542;5.0592184;0.6322627;0.1272473;0.0006284;8.0000000
0.3589542;5.2597986;0.6579507;0.1274676;0.0005982;8.0000000
0.3589542;5.4602715;0.6836687;0.1276771;0.0005678;8.0000000
0.3589542;5.6606413;0.7094150;0.1278756;0.0005375;8.0000000
0.3589542;5.8609123;0.7351880;0.1280632;0.0005070;8.0000000
0.3589542;6.0610888;0.7609859;0.1282399;0.0004765;8.0000000
0.3589542;6.2611751;0.7868069;0.1284056;0.0004458;8.0000000
0.3589542;6.4611755;0.8126495;0.1285602;0.0004152;8.0000000
0.3589542;6.6610942;0.8385118;0.1287039;0.0003845;8.0000000
0.3589542;6.8609356;0.8643922;0.1288365;0.0003537;8.0000000
0.3589542;7.0607039;0.8902889;0.1289580;0.0003228;8.0000000
0.3589542;7.2604034;0.9162003;0.1290685;0.0002919;8.0000000
0.3589542;7.4600385;0.9421246;0.1291678;0.0002610;8.0000000
0.3589542;7.6596133;0.9680601;0.1292560;0.0002300;8.0000000
0.3589542;7.8591322;0.9940051;0.1293331;0.0001990;8.0000000
0.3589542;8.0585994;1.0199579;0.1293990;0.0001680;8.0000000
0.3589542;8.2580193;1.0459168;0.1294538;0.0001369;8.0000000
0.3589542;8.4573961;1.0718801;0.1294974;0.0001058;8.0000000
0.3589542;8.6567341;1.0978460;0.1295298;0.0000746;8.0000000
0.3589542;8.8560376;1.1238128;0.1295511;0.0000435;8.0000000
0.3589542;9.0553109;1.1497789;0.1295611;0.0000123;8.0000000
0.3589542;9.2545583;1.1757425;0.1295600;-0.0000189;8.0000000
0.3589542;9.4537840;1.2017019;0.1295476;-0.0000501;8.0000000
0.3589542;9.6529923;1.2276554;0.1295240;-0.0000813;8.0000000
0.3589542;9.8521876;1.2536013;0.1294892;-0.0001125;8.0000000
