# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
4.493270440464930404e-01;-3.631898443754888461e-02;-2.936090462951357338e-02;-3.775981944353421493e-01;-5.875218470925494541e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.756621130806044040e-02;1.568457679003751326e-01;-3.778680404211938182e-01;-5.804117832526830591e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.115284347428891765e-01;3.431003004747412155e-01;-3.781322345717803568e-01;-5.696853415011869258e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.855656140914792307e-01;5.294022062103331816e-01;-3.783880757003741380e-01;-5.555009986715426021e-04;8.000000000000000000e+00
4.493270440464930404e-01;2.596756775783742310e-01;7.157509982239027568e-01;-3.786350353999075047e-01;-5.386208760150702334e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.338565534281178193e-01;9.021461896322056084e-01;-3.788731274187349118e-01;-5.199557664804668831e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.081061698652523329e-01;1.088587293551988910e+00;-3.791023651695126784e-01;-5.004137559141813010e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.824224551143212469e-01;1.275073823100007386e+00;-3.793227617300245491e-01;-4.807495654900845964e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.568033373998680924e-01;1.461605291393013317e+00;-3.795343298439948221e-01;-4.611133704900081671e-04;8.000000000000000000e+00
4.493270440464930404e-01;6.312467449464357339e-01;1.648181211547758318e+00;-3.797370819218945925e-01;-4.415044300782783901e-04;8.000000000000000000e+00
4.493270440464930404e-01;7.057506059785660923e-01;1.834801096680989563e+00;-3.799310300417413355e-01;-4.219220051798310413e-04;8.000000000000000000e+00
4.493270440464930404e-01;7.803128487208049746e-01;2.021464459909468214e+00;-3.801161859498805029e-01;-4.023653584604445013e-04;8.000000000000000000e+00
4.493270440464930404e-01;8.549314013976926363e-01;2.208170814349936339e+00;-3.802925610617682306e-01;-3.828337543054285150e-04;8.000000000000000000e+00
4.493270440464930404e-01;9.296041922337734409e-01;2.394919673119152215e+00;-3.804601664627389468e-01;-3.633264587975100447e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.004329149453591530e+00;2.581710549333867899e+00;-3.806190129087576590e-01;-3.438427396945336711e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.079104201281688491e+00;2.768542956110830566e+00;-3.807691108271744618e-01;-3.243818664096950700e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.153927275942608466e+00;2.955416406566795384e+00;-3.809104703174610584e-01;-3.049431099867086080e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.228796301660894263e+00;3.142330413818516632e+00;-3.810431011519375133e-01;-2.855257430781873215e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.303709206661088471e+00;3.329284490982741485e+00;-3.811670127764916760e-01;-2.661290399260614662e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.378663919167734342e+00;3.516278151176221112e+00;-3.812822143112897244e-01;-2.467522763357580802e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.453658367405375351e+00;3.703310907515711126e+00;-3.813887145514696098e-01;-2.273947296551369682e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.528690479598555418e+00;3.890382273117964473e+00;-3.814865219678309494e-01;-2.080556787519439316e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.603758183971816909e+00;4.077491761099730105e+00;-3.815756447075169255e-01;-1.887344039908938514e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.678859408749701965e+00;4.264638884577759192e+00;-3.816560905946759785e-01;-1.694301872107530939e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.753992082156755616e+00;4.451823156668807790e+00;-3.817278671311226113e-01;-1.501423117019786541e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.829154132417519563e+00;4.639044090489623962e+00;-3.817909814969830951e-01;-1.308700621844802745e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.904343487756537279e+00;4.826301199156959321e+00;-3.818454405513325156e-01;-1.116127247832206243e-04;8.000000000000000000e+00
4.493270440464930404e-01;1.979558076398352684e+00;5.013593995787569035e+00;-3.818912508328229372e-01;-9.236958700622487409e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.054795826567507699e+00;5.200921993498202944e+00;-3.819284185602964676e-01;-7.313993772265164981e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.130054666488545578e+00;5.388284705405610886e+00;-3.819569496333952152e-01;-5.392306713833168333e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.205332524386011794e+00;5.575681644626552469e+00;-3.819768496331554797e-01;-3.471826677390062025e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.280627328484445382e+00;5.763112324277769538e+00;-3.819881238225903974e-01;-1.552482944225252410e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.355937007008392481e+00;5.950576257476019926e+00;-3.819907771472719205e-01;3.657950774686210518e-06;8.000000000000000000e+00
4.493270440464930404e-01;2.431259488182394790e+00;6.138072957338053470e+00;-3.819848142358885923e-01;2.283077854794748535e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.506592700230998005e+00;6.325601936980625339e+00;-3.819702394008039903e-01;4.199435732474757476e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.581934571378740717e+00;6.513162709520479154e+00;-3.819470566386038435e-01;6.114938935115722478e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.657283029850170841e+00;6.700754788074378965e+00;-3.819152696306256090e-01;8.029657569335104121e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.732636003869828745e+00;6.888377685759069280e+00;-3.818748817434893805e-01;9.943661626182187497e-05;8.000000000000000000e+00
4.493270440464930404e-01;2.807991421662256570e+00;7.076030915691299938e+00;-3.818258960296085913e-01;1.185702098302828672e-04;8.000000000000000000e+00
4.493270440464930404e-01;2.883347211452000458e+00;7.263713990987828772e+00;-3.817683152276911684e-01;1.376980540612408714e-04;8.000000000000000000e+00
4.493270440464930404e-01;2.958701301463602551e+00;7.451426424765403844e+00;-3.817021417632451286e-01;1.568208455261340046e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.034051619921604104e+00;7.639167730140777657e+00;-3.816273777490493124e-01;1.759392797276925987e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.109396095050550812e+00;7.826937420230702713e+00;-3.815440249856438815e-01;1.950540511214360025e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.184732655074984375e+00;8.014735008151934181e+00;-3.814520849617855092e-01;2.141658531358717015e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.260059228219447824e+00;8.202560007021215682e+00;-3.813515588549045709e-01;2.332753781966479542e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.335373742708485079e+00;8.390411929955305936e+00;-3.812424475315556727e-01;2.523833177429232397e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.410674126766637837e+00;8.578290290070951229e+00;-3.811247515478510817e-01;2.714903622551633031e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.485958308618452239e+00;8.766194600484915611e+00;-3.809984711498892729e-01;2.905972012691634683e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.561224216488468208e+00;8.954124374313934709e+00;-3.808636062741737049e-01;3.097045233995834412e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.636469778601228775e+00;9.142079124674767243e+00;-3.807201565480247130e-01;3.288130163602699749e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.711692923181280968e+00;9.330058364684171934e+00;-3.805681212899700849e-01;3.479233669837770082e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.786891578453164708e+00;9.518061607458893292e+00;-3.804074995101498491e-01;3.670362612414408612e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.862063672641423029e+00;9.706088366115682931e+00;-3.802382899106888647e-01;3.861523842612328171e-04;8.000000000000000000e+00
4.493270440464930404e-01;3.937207133970599848e+00;9.894138153771296018e+00;-3.800604908860742981e-01;4.052724203511080120e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.012319890665238198e+00;1.008221048354248239e+01;-3.798741005235188872e-01;4.243970530119781310e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.087399870949881553e+00;1.027030486854599367e+01;-3.796791166033173237e-01;4.435269649607516255e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.162445003049072056e+00;1.045842082189857969e+01;-3.794755365992008578e-01;4.626628381501008878e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.237453215187354516e+00;1.064655785671700272e+01;-3.792633576786652583e-01;4.818053537796425975e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.312422435589271075e+00;1.083471548611800195e+01;-3.790425767033147597e-01;5.009551923197818214e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.387350592479364764e+00;1.102289322321833609e+01;-3.788131902291840269e-01;5.201130335284519322e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.462235614082178614e+00;1.121109058113475498e+01;-3.785751945070396918e-01;5.392795564640864370e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.537075428622256545e+00;1.139930707298401025e+01;-3.783285854827176387e-01;5.584554395072392156e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.611867964324139813e+00;1.158754221188285705e+01;-3.780733587974005605e-01;5.776413603748537049e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.686611149412373223e+00;1.177579551094804344e+01;-3.778095097879141662e-01;5.968379961348407566e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.761302912111499808e+00;1.196406648329631928e+01;-3.775370334870351563e-01;6.160460232223246473e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.835941180646061710e+00;1.215235464204444504e+01;-3.772559246237414676e-01;6.352661174578659153e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.910523883240603737e+00;1.234065950030916525e+01;-3.769661776235049278e-01;6.544989540582091649e-04;8.000000000000000000e+00
4.493270440464930404e-01;4.985048948119668033e+00;1.252898057120723330e+01;-3.766677866085608173e-01;6.737452076488844232e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.059514303507796740e+00;1.271731736785540079e+01;-3.763607453981510087e-01;6.930055522876196186e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.133917877629536441e+00;1.290566940337042645e+01;-3.760450475087957489e-01;7.122806614655120610e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.208257598709425729e+00;1.309403619086905124e+01;-3.757206861545325793e-01;7.315712081266116272e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.282531394972009409e+00;1.328241724346803032e+01;-3.753876542471672462e-01;7.508778646838576648e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.356737194641830513e+00;1.347081207428412064e+01;-3.750459443964975215e-01;7.702013030201287176e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.430872925943435625e+00;1.365922019643407204e+01;-3.746955489105592285e-01;7.895421945108508505e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.504936517101363336e+00;1.384764112303463435e+01;-3.743364597958485085e-01;8.089012100275809383e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.578925896340157564e+00;1.403607436720255741e+01;-3.739686687575340951e-01;8.282790199544988984e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.652838991884364006e+00;1.422451944205459995e+01;-3.735921671996966786e-01;8.476762941915577318e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.726673731958523028e+00;1.441297586070751002e+01;-3.732069462255194203e-01;8.670937021686931853e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.800428044787179438e+00;1.460144313627803925e+01;-3.728129966375139936e-01;8.865319128547780687e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.874099858594872714e+00;1.478992078188293391e+01;-3.724103089377122089e-01;9.059915947588590042e-04;8.000000000000000000e+00
4.493270440464930404e-01;5.947687101606152993e+00;1.497840831063895628e+01;-3.719988733278785098e-01;9.254734159500461153e-04;8.000000000000000000e+00
4.493270440464930404e-01;6.021187702045557977e+00;1.516690523566285620e+01;-3.715786797097049288e-01;9.449780440525100845e-04;8.000000000000000000e+00
4.493270440464930404e-01;6.094599588137631585e+00;1.535541107007137995e+01;-3.711497176850011570e-01;9.645061462592568330e-04;8.000000000000000000e+00
4.493270440464930404e-01;6.167920688106916849e+00;1.554392532698128093e+01;-3.707119765559023783e-01;9.840583893351547221e-04;8.000000000000000000e+00
4.493270440464930404e-01;6.241148930177959464e+00;1.573244751950931786e+01;-3.702654453250371347e-01;1.003635439621381516e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.314282242575300685e+00;1.592097716077223524e+01;-3.698101126957358264e-01;1.023237963041849366e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.387318553523482656e+00;1.610951376388678824e+01;-3.693459670722072374e-01;1.042866625105304040e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.460255791247049295e+00;1.629805684196972493e+01;-3.688729965597192795e-01;1.062522090909588440e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.533091883970545410e+00;1.648660590813780047e+01;-3.683911889647955018e-01;1.082205025142567861e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.605824759918511369e+00;1.667516047550776648e+01;-3.679005317953869536e-01;1.101916092085960912e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.678452347315491977e+00;1.686372005719637812e+01;-3.674010122610547047e-01;1.121655955612805731e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.750972574386031155e+00;1.705228416632038346e+01;-3.668926172731623581e-01;1.141425279191167746e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.823383369354667494e+00;1.724085231599652701e+01;-3.663753334450405852e-01;1.161224725880246732e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.895682660445951129e+00;1.742942401934157459e+01;-3.658491470921818589e-01;1.181054958331551226e-03;8.000000000000000000e+00
4.493270440464930404e-01;6.967868375884422427e+00;1.761799878947227782e+01;-3.653140442324260828e-01;1.200916638784450471e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.039938443894617315e+00;1.780657613950536700e+01;-3.647700105861280129e-01;1.220810429066669254e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.111890792701092145e+00;1.799515558255762215e+01;-3.642170315763677557e-01;1.240736990584218481e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.183723350528380180e+00;1.818373663174578070e+01;-3.636550923291184123e-01;1.260696984321766408e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.255434045601028004e+00;1.837231880018659780e+01;-3.630841776734445858e-01;1.280691070838067000e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.327020806143577758e+00;1.856090160099682151e+01;-3.625042721416931180e-01;1.300719910247799321e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.398481560380576028e+00;1.874948454729320702e+01;-3.619153599696938173e-01;1.320784162232563515e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.469814236536558738e+00;1.893806715219250236e+01;-3.613174250969528600e-01;1.340884486018209271e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.541016762836076914e+00;1.912664892881146983e+01;-3.607104511668548508e-01;1.361021540368042432e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.612087067503667370e+00;1.931522939026684682e+01;-3.600944215268955251e-01;1.381195983577326132e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.683023078763875802e+00;1.950380804967539916e+01;-3.594693192288527239e-01;1.401408473457591746e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.753822724841249681e+00;1.969238442015387491e+01;-3.588351270290355277e-01;1.421659667323172662e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.824483933960323156e+00;1.988095801481901148e+01;-3.581918273885071891e-01;1.441950221980084490e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.895004634345644590e+00;2.006952834678757824e+01;-3.575394024732956311e-01;1.462280793716883931e-03;8.000000000000000000e+00
4.493270440464930404e-01;7.965382754221758788e+00;2.025809492917632326e+01;-3.568778341546505750e-01;1.482652038275079822e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.035616221813207005e+00;2.044665727510199460e+01;-3.562071040092853469e-01;1.503064610843758957e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.105702965344532274e+00;2.063521489768135098e+01;-3.555271933196189060e-01;1.523519166041055126e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.175640913040274071e+00;2.082376731003112980e+01;-3.548380830740414105e-01;1.544016357887462989e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.245427993124982535e+00;2.101231402526809688e+01;-3.541397539671915506e-01;1.564556839793793683e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.315062133823197144e+00;2.120085455650900386e+01;-3.534321864002250013e-01;1.585141264537391756e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.384541263359459151e+00;2.138938841687059522e+01;-3.527153604811039678e-01;1.605770284235883165e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.453863309958313366e+00;2.157791511946962260e+01;-3.519892560249036073e-01;1.626444550327407887e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.523026201844306371e+00;2.176643417742284825e+01;-3.512538525541124557e-01;1.647164713544429712e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.592027867241977646e+00;2.195494510384701670e+01;-3.505091292989597207e-01;1.667931423887543440e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.660866234375866668e+00;2.214344741185887244e+01;-3.497550651977516800e-01;1.688745330596320678e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.729539231470525351e+00;2.233194061457518842e+01;-3.489916388972083006e-01;1.706779059684671983e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.798044786750491397e+00;2.252042422511269493e+01;-3.482188287528347193e-01;1.698320200840843430e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.866380828440309614e+00;2.270889775658815779e+01;-3.474366128292838418e-01;1.630268364138172344e-03;8.000000000000000000e+00
4.493270440464930404e-01;8.934545284764519479e+00;2.289736072211831441e+01;-3.466449689007506940e-01;1.469431891580921063e-03;8.000000000000000000e+00
4.493270440464930404e-01;9.002536083947667578e+00;2.308581263481993062e+01;-3.458540401070751003e-01;1.185412124617151505e-03;8.000000000000000000e+00
4.493270440464930404e-01;9.070351154214298717e+00;2.327425300780976158e+01;-3.451490429886063804e-01;7.686934756866404487e-04;8.000000000000000000e+00
4.493270440464930404e-01;9.137996252749452708e+00;2.346267905452527813e+01;-3.446489399784740115e-01;2.191289990713543394e-04;8.000000000000000000e+00
4.493270440464930404e-01;9.205534918531535382e+00;2.365107101557701341e+01;-3.444730212915780854e-01;-4.633652197458350600e-04;8.000000000000000000e+00
4.493270440464930404e-01;9.273056557583066351e+00;2.383940153338863865e+01;-3.447305370897595367e-01;-1.276023697844135170e-03;8.000000000000000000e+00
4.493270440464930404e-01;9.340650697279606618e+00;2.402764321473753384e+01;-3.454556706151699075e-01;-2.195171458875137208e-03;8.000000000000000000e+00
4.493270440464930404e-01;9.408406864996726071e+00;2.421576866640110026e+01;-3.466489281459430583e-01;-3.187717152907897349e-03;8.000000000000000000e+00
4.493270440464930404e-01;9.476414588109996373e+00;2.440375049515675343e+01;-3.483105890967694851e-01;-4.220444981141584055e-03;8.000000000000000000e+00
4.493270440464930404e-01;9.544763393994980305e+00;2.459156130778187332e+01;-3.504408557573597260e-01;-5.262893334035599786e-03;8.000000000000000000e+00
