# 
# 
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps
0.4493270;-0.0363190;-0.0293609;1.1931981;-0.0005875;8.0000000
0.4493270;0.0375662;0.1568458;1.1929283;-0.0005804;8.0000000
0.4493270;0.1115284;0.3431003;1.1926641;-0.0005697;8.0000000
0.4493270;0.1855656;0.5294022;1.1924083;-0.0005555;8.0000000
0.4493270;0.2596757;0.7157510;1.1921613;-0.0005386;8.0000000
0.4493270;0.3338566;0.9021462;1.1919232;-0.0005200;8.0000000
0.4493270;0.4081062;1.0885873;1.1916940;-0.0005004;8.0000000
0.4493270;0.4824225;1.2750738;1.1914736;-0.0004807;8.0000000
0.4493270;0.5568033;1.4616053;1.1912620;-0.0004611;8.0000000
0.4493270;0.6312467;1.6481812;1.1910592;-0.0004415;8.0000000
0.4493270;0.7057506;1.8348011;1.1908653;-0.0004219;8.0000000
0.4493270;0.7803128;2.0214645;1.1906801;-0.0004024;8.0000000
0.4493270;0.8549314;2.2081708;1.1905038;-0.0003828;8.0000000
0.4493270;0.9296042;2.3949197;1.1903362;-0.0003633;8.0000000
0.4493270;1.0043291;2.5817105;1.1901773;-0.0003438;8.0000000
0.4493270;1.0791042;2.7685430;1.1900272;-0.0003244;8.0000000
0.4493270;1.1539273;2.9554164;1.1898859;-0.0003049;8.0000000
0.4493270;1.2287963;3.1423304;1.1897532;-0.0002855;8.0000000
0.4493270;1.3037092;3.3292845;1.1896293;-0.0002661;8.0000000
0.4493270;1.3786639;3.5162782;1.1895141;-0.0002468;8.0000000
0.4493270;1.4536584;3.7033109;1.1894076;-0.0002274;8.0000000
0.4493270;1.5286905;3.8903823;1.1893098;-0.0002081;8.0000000
0.4493270;1.6037582;4.0774918;1.1892207;-0.0001887;8.0000000
0.4493270;1.6788594;4.2646389;1.1891402;-0.0001694;8.0000000
0.4493270;1.7539921;4.4518232;1.1890685;-0.0001501;8.0000000
0.4493270;1.8291541;4.6390441;1.1890053;-0.0001309;8.0000000
0.4493270;1.9043435;4.8263012;1.1889509;-0.0001116;8.0000000
0.4493270;1.9795581;5.0135940;1.1889051;-0.0000924;8.0000000
0.4493270;2.0547958;5.2009220;1.1888679;-0.0000731;8.0000000
0.4493270;2.1300547;5.3882847;1.1888394;-0.0000539;8.0000000
0.4493270;2.2053325;5.5756816;1.1888195;-0.0000347;8.0000000
0.4493270;2.2806273;5.7631123;1.1888082;-0.0000155;8.0000000
0.4493270;2.3559370;5.9505763;1.1888055;0.0000037;8.0000000
0.4493270;2.4312595;6.1380730;1.1888115;0.0000228;8.0000000
0.4493270;2.5065927;6.3256019;1.1888261;0.0000420;8.0000000
0.4493270;2.5819346;6.5131627;1.1888493;0.0000611;8.0000000
0.4493270;2.6572830;6.7007548;1.1888811;0.0000803;8.0000000
0.4493270;2.7326360;6.8883777;1.1889214;0.0000994;8.0000000
0.4493270;2.8079914;7.0760309;1.1889704;0.0001186;8.0000000
0.4493270;2.8833472;7.2637140;1.1890280;0.0001377;8.0000000
0.4493270;2.9587013;7.4514264;1.1890942;0.0001568;8.0000000
0.4493270;3.0340516;7.6391677;1.1891689;0.0001759;8.0000000
0.4493270;3.1093961;7.8269374;1.1892523;0.0001951;8.0000000
0.4493270;3.1847327;8.0147350;1.1893442;0.0002142;8.0000000
0.4493270;3.2600592;8.2025600;1.1894448;0.0002333;8.0000000
0.4493270;3.3353737;8.3904119;1.1895539;0.0002524;8.0000000
0.4493270;3.4106741;8.5782903;1.1896716;0.0002715;8.0000000
0.4493270;3.4859583;8.7661946;1.1897979;0.0002906;8.0000000
0.4493270;3.5612242;8.9541244;1.1899327;0.0003097;8.0000000
0.4493270;3.6364698;9.1420791;1.1900762;0.0003288;8.0000000
0.4493270;3.7116929;9.3300584;1.1902282;0.0003479;8.0000000
0.4493270;3.7868916;9.5180616;1.1903888;0.0003670;8.0000000
0.4493270;3.8620637;9.7060884;1.1905580;0.0003862;8.0000000
0.4493270;3.9372071;9.8941382;1.1907358;0.0004053;8.0000000
0.4493270;4.0123199;10.0822105;1.1909222;0.0004244;8.0000000
0.4493270;4.0873999;10.2703049;1.1911172;0.0004435;8.0000000
0.4493270;4.1624450;10.4584208;1.1913208;0.0004627;8.0000000
0.4493270;4.2374532;10.6465579;1.1915330;0.0004818;8.0000000
0.4493270;4.3124224;10.8347155;1.1917538;0.0005010;8.0000000
0.4493270;4.3873506;11.0228932;1.1919831;0.0005201;8.0000000
0.4493270;4.4622356;11.2110906;1.1922211;0.0005393;8.0000000
0.4493270;4.5370754;11.3993071;1.1924677;0.0005585;8.0000000
0.4493270;4.6118680;11.5875422;1.1927230;0.0005776;8.0000000
0.4493270;4.6866111;11.7757955;1.1929868;0.0005968;8.0000000
0.4493270;4.7613029;11.9640665;1.1932593;0.0006160;8.0000000
0.4493270;4.8359412;12.1523546;1.1935404;0.0006353;8.0000000
0.4493270;4.9105239;12.3406595;1.1938301;0.0006545;8.0000000
0.4493270;4.9850489;12.5289806;1.1941285;0.0006737;8.0000000
0.4493270;5.0595143;12.7173174;1.1944356;0.0006930;8.0000000
0.4493270;5.1339179;12.9056694;1.1947513;0.0007123;8.0000000
0.4493270;5.2082576;13.0940362;1.1950756;0.0007316;8.0000000
0.4493270;5.2825314;13.2824172;1.1954087;0.0007509;8.0000000
0.4493270;5.3567372;13.4708121;1.1957504;0.0007702;8.0000000
0.4493270;5.4308729;13.6592202;1.1961008;0.0007895;8.0000000
0.4493270;5.5049365;13.8476411;1.1964599;0.0008089;8.0000000
0.4493270;5.5789259;14.0360744;1.1968277;0.0008283;8.0000000
0.4493270;5.6528390;14.2245194;1.1972042;0.0008477;8.0000000
0.4493270;5.7266737;14.4129759;1.1975894;0.0008671;8.0000000
0.4493270;5.8004280;14.6014431;1.1979833;0.0008865;8.0000000
0.4493270;5.8740999;14.7899208;1.1983860;0.0009060;8.0000000
0.4493270;5.9476871;14.9784083;1.1987975;0.0009255;8.0000000
0.4493270;6.0211877;15.1669052;1.1992176;0.0009450;8.0000000
